date,open,high,low,close,volume,openinterest
2019-12-30,60.9,60.7,61.9,59.7,117730,0
2019-12-29,60,60.4,60.7,59.8,43650,0
2019-12-26,60.5,59.1,61,59.1,155200,0
2019-12-24,59.8,58.3,59.9,58.3,108900,0
2019-12-23,58.7,59.8,59.8,58.4,53440,0
2019-12-22,59.3,58.7,59.5,58.5,54360,0
2019-12-19,58.5,58.4,58.9,58,36100,0
2019-12-18,58.1,57.5,58.2,57.4,40190,0
2019-12-17,57.8,58,58.8,57.4,81460,0
2019-12-15,58.8,59,59.4,57.5,125410,0
2019-12-12,59.2,58.2,59.5,57.7,107010,0
2019-12-11,58.4,57.7,59.3,57.5,116170,0
2019-12-10,57.7,58.5,58.5,57.4,75870,0
2019-12-09,57.4,58.1,58.5,57,65820,0
2019-12-08,58.1,59.3,59.3,58,95120,0
2019-12-05,59,59.6,60.5,58.9,103240,0
2019-12-04,60,59.9,60.9,59.5,99750,0
2019-12-03,59.5,60.6,60.7,59,104890,0
2019-12-02,60.1,61.7,62,59.6,270740,0
2019-12-01,61.7,61.4,63.7,61.4,600290,0
2019-11-28,61.3,58.6,62.5,58.2,921740,0
2019-11-27,58.6,59.3,59.6,58.5,594450,0
2019-11-26,58.6,59,59.7,55,155850,0
2019-11-25,59.2,59.4,59.8,59,70980,0
2019-11-24,59.5,60,60.2,59.4,100830,0
2019-11-21,60,60,60.5,59.4,71870,0
2019-11-20,59.9,61,61,59.4,170900,0
2019-11-19,60.3,60.3,61.1,59.9,209020,0
2019-11-18,60,60.1,60.3,59.9,209280,0
2019-11-17,59.9,58.6,60,58.5,40630,0
2019-11-14,58.7,59.1,60,58,77820,0
2019-11-13,59.1,59.7,60.6,58.9,130560,0
2019-11-12,60.1,61.1,61.1,59.9,161730,0
2019-11-11,61.1,62.5,62.5,60.8,118440,0
2019-11-07,62,63,63,61.4,172950,0
2019-11-06,63.2,63.3,64.1,61,427890,0
2019-11-05,63.3,63.6,64.2,62.8,186560,0
2019-11-04,64.4,64,64.5,64,34890,0
2019-11-03,64.6,63.1,64.9,62.5,111600,0
2019-10-31,66.3,67,67.7,65,173460,0
2019-10-30,66.6,66.9,67,66.4,39790,0
2019-10-29,66.5,66.2,66.7,65,61970,0
2019-10-28,66.9,67.2,67.2,66.2,25670,0
2019-10-27,65.5,67.9,67.9,65,278610,0
2019-10-24,67.8,67.2,68,67,13510,0
2019-10-23,67.2,67.1,68.5,67,21580,0
2019-10-22,68.6,68.9,69.1,68.2,32190,0
2019-10-21,68.9,70,70,68.7,30430,0
2019-10-20,69,70.5,70.5,68.8,44860,0
2019-10-17,69.4,71.1,71.1,69.1,31300,0
2019-10-16,70.1,71,71.9,69.9,52840,0
2019-10-15,69.9,71.5,71.6,69.6,159560,0
2019-10-14,72.3,72.3,72.9,72.2,83300,0
2019-10-13,73.3,72,73.5,71.2,300000,0
2019-10-10,71.1,73.5,73.5,71,145430,0
2019-10-09,73.7,73.2,74,72.8,78220,0
2019-10-07,73.5,73.8,73.9,72.8,225490,0
2019-10-06,73.5,72.3,74,72.2,197020,0
2019-10-03,72.9,70.6,73.1,70.6,125500,0
2019-10-02,71.1,71.2,71.5,70.7,30780,0
2019-10-01,70.7,70.2,71.5,70.2,23520,0
2019-09-30,70.2,70.7,70.8,70,41610,0
2019-09-29,70.6,71,71,70.5,13160,0
2019-09-26,71,70.6,71.1,70.4,41030,0
2019-09-25,70.9,70.3,71.1,69.9,17010,0
2019-09-24,70.4,71.6,71.9,69.5,274440,0
2019-09-23,70.9,70.8,71.2,70.2,57790,0
2019-09-22,70.3,70.7,71,70,16340,0
