date,open,high,low,close,volume
2020-12-30,1180.8,1166.0,1199.5,1166.0,191110
2020-12-29,1159.8,1121.6,1165.0,1121.6,149470
2020-12-28,1121.7,1114.0,1125.0,1102.1,163630
2020-12-27,1108.8,1080.1,1113.5,1080.0,102690
2020-12-24,1078.4,1078.3,1088.0,1070.0,70500
2020-12-23,1078.3,1086.0,1089.8,1073.0,75180
2020-12-22,1085.4,1096.0,1097.0,1081.0,95690
2020-12-21,1095.5,1086.1,1109.0,1086.1,53440
2020-12-20,1090.0,1115.0,1123.0,1087.2,67300
2020-12-17,1109.2,1124.9,1130.0,1101.0,56300
2020-12-15,1116.2,1096.0,1142.0,1085.0,161190
2020-12-14,1098.4,1110.0,1122.0,1094.7,103830
2020-12-13,1104.1,1060.0,1124.0,1060.0,198960
2020-12-10,1060.0,1050.2,1069.9,1050.2,51480
2020-12-09,1050.2,1058.0,1058.0,1046.0,32240
2020-12-08,1049.2,1064.0,1064.0,1045.0,27150
2020-12-07,1052.6,1065.0,1071.4,1050.5,63000
2020-12-06,1064.6,1074.9,1074.9,1057.0,35000
2020-12-03,1061.8,1069.4,1075.5,1049.9,57340
2020-12-02,1057.5,1032.2,1059.9,1031.0,37850
2020-12-01,1032.2,1030.0,1036.8,1029.0,24240
2020-11-30,1029.9,1030.0,1031.9,1021.2,19320
2020-11-29,1029.5,1034.0,1034.9,1027.1,30640
2020-11-26,1034.0,1033.2,1039.0,1033.0,46810
2020-11-25,1033.2,1035.6,1039.8,1032.6,16310
2020-11-24,1035.4,1034.2,1040.0,1034.2,34900
2020-11-23,1034.2,1039.0,1042.0,1020.0,26570
2020-11-22,1039.1,1050.0,1055.0,1037.5,27650
2020-11-19,1050.1,1041.1,1058.0,1035.9,39040
2020-11-18,1043.5,1060.0,1060.0,1039.0,59140
2020-11-17,1057.7,1060.3,1070.0,1030.0,48430
2020-11-16,1066.3,1060.4,1070.0,1059.0,39800
2020-11-15,1060.4,1072.0,1079.0,1060.0,48880
2020-11-12,1067.7,1095.0,1095.0,1059.0,75680
2020-11-10,1107.4,1116.0,1116.3,1103.0,54330
2020-11-09,1115.3,1108.0,1169.0,1108.0,40470
2020-11-08,1103.7,1104.0,1106.8,1098.0,52040
2020-11-05,1097.4,1095.0,1102.0,1085.2,60340
2020-11-04,1087.3,1088.0,1096.0,1087.0,26900
2020-11-03,1085.9,1089.0,1095.0,1083.2,85230
2020-11-02,1085.5,1092.0,1105.0,1085.0,84750
2020-11-01,1089.6,1096.0,1096.0,1086.0,22120
2020-10-29,1086.4,1089.1,1090.9,1081.5,34770
2020-10-28,1089.1,1098.1,1100.0,1087.0,65720
2020-10-27,1098.0,1097.8,1104.0,1093.0,42280
2020-10-25,1097.3,1115.0,1118.8,1090.0,58160
2020-10-22,1109.7,1117.0,1139.7,1107.0,76570
2020-10-21,1116.4,1102.0,1121.0,1102.0,48960
2020-10-20,1101.7,1125.0,1130.8,1099.9,104890
2020-10-19,1116.9,1126.0,1132.1,1115.0,45510
2020-10-18,1125.3,1113.0,1144.0,1113.0,76250
2020-10-15,1105.2,1089.9,1110.0,1088.0,37960
2020-10-14,1085.3,1078.0,1088.9,1071.2,30100
2020-10-13,1071.0,1070.0,1075.0,1060.0,27070
