date,open,high,low,close,volume,openinterest
2019-12-30,323.3,324.33,326.2,323,95770,0
2019-12-29,322.97,318.7,323.93,318.67,56850,0
2019-12-26,318.7,319.33,322.33,318.17,56980,0
2019-12-24,318.17,320.97,325.67,316.73,84830,0
2019-12-23,320.93,323.43,325.33,320.37,69430,0
2019-12-22,324.43,326.3,326.3,322.83,47290,0
2019-12-19,326.4,328.7,331.33,325.8,98440,0
2019-12-18,328.5,334.93,334.93,323.67,91190,0
2019-12-17,332.8,337.73,339.97,332.33,72010,0
2019-12-15,337.53,338.37,341.63,337,72240,0
2019-12-12,337.47,336.33,341.67,336.3,101380,0
2019-12-11,336.27,341.67,342.67,334.7,111740,0
2019-12-10,341.33,350,350,339.47,128140,0
2019-12-09,346.83,358.33,358.33,346.37,163340,0
2019-12-08,354.77,358.33,361.3,354.07,60320,0
2019-12-05,357.43,357.77,359.17,357.07,53690,0
2019-12-04,357.23,359.7,362.97,356.7,73670,0
2019-12-03,359.7,362.97,363.33,358.47,59140,0
2019-12-02,361.7,363,365,360,70520,0
2019-12-01,350.03,347.03,352.67,345.3,50550,0
2019-11-28,357.53,360,361.87,357,64930,0
2019-11-27,359.67,363,363.33,359.33,95020,0
2019-11-26,360.67,363.57,363.57,360.37,76370,0
2019-11-25,363.43,365.5,366.67,362.33,75700,0
2019-11-24,364.63,361.67,368.67,361.67,49360,0
2019-11-21,361.27,363.33,365,360.5,44120,0
2019-11-20,361.03,363.33,364.93,360.17,45410,0
2019-11-19,361.73,364.2,364.2,361.37,86700,0
2019-11-18,364.2,364.7,367.67,363.5,79240,0
2019-11-17,364.67,366.67,369.03,363.33,76480,0
2019-11-14,366.47,368.63,370,364.73,92900,0
2019-11-13,368.63,372.1,372.1,367.07,75850,0
2019-11-12,372.1,376.57,376.57,371.67,84370,0
2019-11-11,375.77,378.3,378.3,373.7,118480,0
2019-11-07,375.43,378.33,378.63,375,55280,0
2019-11-06,375.53,379.67,379.97,374.53,50450,0
2019-11-05,375.13,376.67,378.33,374.4,50150,0
2019-11-04,376.27,383.3,383.3,375.33,62450,0
2019-11-03,383.03,386,389.33,381.7,99040,0
2019-10-31,383.17,376.3,385.07,374.63,321320,0
2019-10-30,374.57,373.67,376.67,372.37,104960,0
2019-10-29,373.17,371.87,375,370.67,61780,0
2019-10-28,373,370,377.33,369.67,141580,0
2019-10-27,366.57,366.67,373.3,365,71410,0
2019-10-24,364.03,356.33,366.33,352.33,55470,0
2019-10-23,352.47,355.83,357.67,350,59980,0
2019-10-22,355.83,365.7,367.53,353.33,141940,0
2019-10-21,365.7,375.87,375.87,364.37,126390,0
2019-10-20,375.87,366.77,381,365.83,92770,0
2019-10-17,366.77,366.67,368.33,365.7,85660,0
2019-10-16,366.27,373,373,365.33,64160,0
2019-10-15,369.9,369.33,371.67,365.67,88180,0
2019-10-14,367.13,372.6,372.6,365.07,53990,0
2019-10-13,370.43,371.67,375,370,56620,0
2019-10-10,369.43,371.67,373.67,368.67,55280,0
2019-10-09,371.1,377.63,378.33,370,67930,0
2019-10-07,378.07,380.7,382.37,377.4,60740,0
2019-10-06,380.7,383,384.33,379.67,31850,0
2019-10-03,380.3,381.03,382.67,379.67,36770,0
2019-10-02,380.4,382.9,382.9,380.03,39100,0
2019-10-01,381.07,384.33,386.3,380.5,57920,0
2019-09-30,383.37,388.93,388.93,383,58360,0
2019-09-29,384.83,390.33,391.33,383.67,83490,0
2019-09-26,389.73,393.33,394,388.4,75340,0
2019-09-25,390.37,394.4,395,389.37,88520,0
2019-09-24,394.3,399.4,400,393.7,113230,0
2019-09-23,399.4,393.3,401.67,390.33,143590,0
2019-09-22,389.37,381.6,391.3,380.67,81480,0
2019-09-19,380.6,385,393.23,380,136570,0
2019-09-18,383.2,395,396.47,381.17,120770,0
2019-09-17,392.73,395,410,391,336910,0
2019-09-16,388.6,367.2,390.1,367.2,251870,0
2019-09-15,367.17,372.87,375.67,365.67,102150,0
2019-09-12,372.87,380,380,369.67,125560,0
2019-09-11,379.5,385.7,389.67,378.33,185900,0
2019-09-09,384.47,390,390.33,384,171730,0
2019-09-08,389.8,390.83,393.33,388.37,110290,0
2019-09-05,390.83,393.33,394.67,390,99460,0
2019-09-04,390.43,397.3,397.3,390,138010,0
2019-09-03,397.27,402.53,402.53,397,102040,0
