date,open,high,low,close,volume,openinterest
2019-12-30,53.45,53.45,54.18,53.09,275430,0
2019-12-29,53.27,53.18,54.55,53,737030,0
2019-12-26,53.09,52.82,53.18,51.91,366420,0
2019-12-24,51.91,51.91,52.27,51.27,411030,0
2019-12-23,52.09,52,53.27,51.91,565240,0
2019-12-22,52.27,51.18,52.64,50.55,484640,0
2019-12-19,51.18,50.55,51.82,50.45,432020,0
2019-12-18,50,49.36,50.18,48.18,515800,0
2019-12-17,49.27,51.18,51.18,49.09,442240,0
2019-12-15,51.36,52.64,52.64,50.91,425980,0
2019-12-12,52.45,52.55,52.73,51.36,295560,0
2019-12-11,52.45,51.64,53.27,50.55,280640,0
2019-12-10,51.18,52.91,53.64,50.91,268090,0
2019-12-09,52.91,56,56,52.45,399250,0
2019-12-08,56,57.45,57.55,55.64,199020,0
2019-12-05,57.45,58.64,58.91,57.18,414680,0
2019-12-04,58.55,59.82,59.82,58.27,276280,0
2019-12-03,59.09,59.55,60.18,58.91,216460,0
2019-12-02,59.45,60.91,61.27,59.36,268490,0
2019-12-01,49.64,49.64,49.64,49.64,447430,0
2019-11-28,61.45,62.36,63.64,61.09,825680,0
2019-11-27,61.55,61.82,62.82,60.91,841530,0
2019-11-26,61.09,62,63.36,60.36,1470000,0
2019-11-25,61.82,61.18,62.73,60.73,1330000,0
2019-11-24,61.27,58.82,61.82,57.73,1300000,0
2019-11-21,58.02,58.84,59.17,57.6,1020000,0
2019-11-20,58.84,59.75,59.92,58.68,517940,0
2019-11-19,60,58.76,60.41,58.76,1140000,0
2019-11-18,58.76,57.93,59.01,57.93,489660,0
2019-11-17,57.85,57.85,58.26,57.19,313420,0
2019-11-14,57.85,59.75,59.83,57.52,493090,0
2019-11-13,59.75,60.08,61.65,59.59,722260,0
2019-11-12,59.83,59.09,60.17,58.43,601160,0
2019-11-11,58.02,58.84,59.34,57.69,420100,0
2019-11-07,58.76,57.6,59.09,57.52,609360,0
2019-11-06,57.11,57.11,57.77,56.69,292320,0
2019-11-05,56.94,58.35,58.6,56.45,371810,0
2019-11-04,58.6,57.6,59.17,57.11,534850,0
2019-11-03,56.78,56.45,57.36,55.62,391000,0
2019-10-31,56.03,55.54,56.94,55.21,499210,0
2019-10-30,55.37,57.6,58.26,54.71,689140,0
2019-10-29,57.77,59.75,60.08,56.28,497800,0
2019-10-28,59.01,60.17,60.74,58.76,371740,0
2019-10-27,59.5,60.58,61.16,57.85,1190000,0
2019-10-24,60.74,60.08,61.49,58.84,575040,0
2019-10-23,60.08,61.65,61.98,59.92,308410,0
2019-10-22,62.15,62.64,63.06,61.57,334290,0
2019-10-21,61.82,61.49,62.81,61.4,304100,0
2019-10-20,61.4,63.22,63.22,61.07,411140,0
2019-10-17,63.22,65.95,66.94,62.4,844420,0
2019-10-16,65.29,59.83,65.29,59.83,887270,0
2019-10-15,59.42,59.09,60.17,58.43,321770,0
2019-10-14,58.93,59.67,60.58,58.51,327340,0
2019-10-13,59.01,61.9,61.9,58.68,470160,0
2019-10-10,60.83,64.3,64.3,60.33,540090,0
2019-10-09,64.21,66.03,66.03,64.05,282540,0
2019-10-07,65.79,66.36,66.36,65.54,171510,0
2019-10-06,66.2,66.78,66.94,65.95,197590,0
2019-10-03,66.53,67.11,67.19,66.28,200690,0
2019-10-02,66.78,66.69,67.6,65.7,270720,0
2019-10-01,66.28,69.09,69.09,65.37,517920,0
2019-09-30,68.51,69.01,69.5,68.43,308340,0
2019-09-29,68.76,69.01,69.5,68.6,237720,0
2019-09-26,68.76,69.59,69.59,68.6,401040,0
2019-09-25,69.42,71.07,71.07,69.01,195230,0
2019-09-24,70.41,70.25,71.49,70.25,266660,0
2019-09-23,69.5,69.17,70.08,68.18,431950,0
2019-09-22,69.09,70.74,71.24,68.93,422350,0
2019-09-19,70.74,71.07,71.9,70.25,299010,0
2019-09-18,70.83,73.31,73.72,70.25,370870,0
2019-09-17,72.81,73.14,74.3,71.9,355590,0
2019-09-16,72.64,71.65,74.13,71.65,291030,0
2019-09-15,73.31,71.9,73.47,70.74,524640,0
2019-09-12,71.49,74.3,74.38,70.25,461160,0
2019-09-11,74.05,74.63,75.62,73.88,318410,0
