date,open,high,low,close,volume,openinterest
2019-12-30,44.9,43.1,45.1,43.1,1780000,0
2019-12-29,43,42.2,43.1,42.2,622500,0
2019-12-26,42.4,41.5,42.8,40.5,1310000,0
2019-12-24,41.5,42,42.6,40.8,1080000,0
2019-12-23,42.4,43.9,44,42.1,1560000,0
2019-12-22,43.5,42.7,43.8,41.6,1690000,0
2019-12-19,42.3,42.1,43.5,40.8,1940000,0
2019-12-18,42.1,40.5,42.4,40.5,2100000,0
2019-12-17,39.9,38.5,40.7,38.5,3360000,0
2019-12-15,38,37.2,38.2,36.9,1940000,0
2019-12-12,36.9,36.4,37.2,35.9,956540,0
2019-12-11,36.1,35.6,36.3,34.8,1920000,0
2019-12-10,35.5,36,36.5,35.2,813260,0
2019-12-09,35.9,37,37,35.8,1350000,0
2019-12-08,37.1,37.4,38.4,36.8,1530000,0
2019-12-05,37,35,37.4,34.8,1900000,0
2019-12-04,34.5,34.6,35.1,33.9,1130000,0
2019-12-03,34.6,35.6,35.6,34.5,628550,0
2019-12-02,35.2,35.3,35.9,35,1000000,0
2019-12-01,34.6,34.9,35.7,33.7,2640000,0
2019-11-28,35.4,35.6,36.1,35.2,1170000,0
2019-11-27,35.6,36.7,37.2,35.3,1870000,0
2019-11-26,36.6,36.4,38,35.4,3270000,0
2019-11-25,36.4,36.9,37.2,35.3,3040000,0
2019-11-24,37,34.4,37.3,34.2,3090000,0
2019-11-21,34.1,33.1,34.6,31.2,8530000,0
2019-11-20,33.8,31.9,34.2,31.9,2580000,0
2019-11-19,31.3,28.6,31.3,28.4,2090000,0
2019-11-18,28.5,28.1,29,27.9,682460,0
2019-11-17,28.2,28.3,28.8,28,1910000,0
2019-11-14,28.4,28.1,28.5,27.2,939090,0
2019-11-13,28.1,28.7,28.7,27.7,498680,0
2019-11-12,28.4,27.5,28.8,27.1,971900,0
2019-11-11,27.5,27.9,28.3,27.3,1160000,0
2019-11-07,27.7,26.9,27.8,26.9,1290000,0
2019-11-06,26.8,27,27.2,26.3,661100,0
2019-11-05,26.9,27,27.2,26.7,308600,0
2019-11-04,27.1,27.5,27.6,26.9,614620,0
2019-11-03,27.3,27.5,28.4,27.1,542920,0
2019-10-31,27.5,26.3,27.6,26.3,934720,0
2019-10-30,26.3,26.8,27,26.2,684530,0
2019-10-29,26.8,26.7,27.3,26,756070,0
2019-10-28,26.8,24,27.5,24,2230000,0
2019-10-27,25.1,26.6,26.6,24.9,1460000,0
2019-10-24,26.2,26.3,27,26,719610,0
2019-10-23,26.7,28.2,28.4,26.4,1140000,0
2019-10-22,28.6,28.5,28.8,28.3,1890000,0
2019-10-21,28.7,29.3,29.3,28.5,663500,0
2019-10-20,29.2,29,29.6,28.4,2010000,0
2019-10-17,28.8,28.4,29,28.2,1850000,0
2019-10-16,28.6,28,28.9,27.9,3610000,0
2019-10-15,27.9,28,28.3,27.8,1400000,0
2019-10-14,28,27.9,28.2,27.6,2530000,0
2019-10-13,28.2,28.4,28.6,27.7,1970000,0
2019-10-10,28.8,29.3,29.4,28.4,1910000,0
2019-10-09,29.2,28.2,29.3,28,1750000,0
2019-10-07,28.1,28.7,28.8,27.8,4070000,0
2019-10-06,28.7,29.2,30,28.2,3870000,0
2019-10-03,29.1,28,29.5,27.9,2790000,0
2019-10-02,27.9,27.4,28.4,27.4,3810000,0
2019-10-01,27.4,27.2,27.5,26.6,3030000,0
2019-09-30,27,27.7,27.7,26.5,716550,0
2019-09-29,27.7,27.8,28.3,27.6,1470000,0
2019-09-26,28.1,28.2,28.4,27.5,2120000,0
2019-09-25,27.9,28,28.3,26.8,4410000,0
2019-09-24,27.8,27.2,28.1,27,3160000,0
2019-09-23,27,25.5,27.1,25.1,1810000,0
2019-09-22,25,25.8,26.1,24.3,3190000,0
2019-09-19,25.8,26.8,27.2,25.5,2500000,0
2019-09-18,26.8,27.1,27.6,26.5,3410000,0
2019-09-17,27.1,28,28,27,3860000,0
2019-09-16,28,28.7,28.7,27.7,3120000,0
2019-09-15,28.7,29,29.4,28,4270000,0
2019-09-12,29,27.7,29.2,27.7,8180000,0
2019-09-11,27.6,27,28.2,26.9,4060000,0
2019-09-09,26.9,26.3,27.2,26.1,4660000,0
2019-09-08,26.2,26.2,26.4,25.9,2080000,0
2019-09-05,26,25.7,26.2,25.6,2820000,0
2019-09-04,25.6,25.7,25.8,25.2,3000000,0
2019-09-03,25.6,25.9,26.1,25.5,3510000,0
2019-09-02,25.9,25.4,26,25.2,2870000,0
2019-09-01,25.4,25.5,25.5,25,3560000,0
2019-08-29,25.4,25.8,26.2,25.3,3170000,0
2019-08-28,25.8,25.5,25.9,25.3,3880000,0
2019-08-27,25.3,25.2,25.5,24.8,3880000,0
2019-08-26,25.1,24.6,25.4,24.6,5240000,0
2019-08-25,24.6,25,25,24.5,2240000,0
2019-08-22,24.9,25.4,25.8,24.6,4570000,0
2019-08-21,25.3,24.5,25.4,24.4,4180000,0
2019-08-20,24.5,24.5,24.8,24,3080000,0
2019-08-19,24.4,23.5,24.6,23.5,4130000,0
2019-08-18,23.5,23.3,23.7,23.3,1530000,0
2019-08-08,23.6,23.5,23.7,23.4,3440000,0
2019-08-07,23.5,24,24.1,23.3,2790000,0
2019-08-06,23.9,23.6,24.1,23.3,3340000,0
2019-08-05,23.5,23.7,23.8,22.9,4030000,0
2019-08-04,23.6,23.8,24.3,23.4,4680000,0
2019-08-01,23.5,23.2,23.7,22.7,3770000,0
2019-07-31,23.1,23.4,24.1,23,4970000,0
2019-07-30,23.1,22.3,23.4,22.3,3230000,0
2019-07-29,22.2,22.5,22.8,22,3210000,0
2019-07-28,22.6,22.4,23.3,22.3,5640000,0
2019-07-25,22.4,21.3,23,21.1,4420000,0
2019-07-24,21.3,21.4,21.9,21.3,2700000,0
2019-07-23,21.1,20.8,21.4,20.1,3040000,0
2019-07-22,21,20.6,22.5,20.6,1680000,0
2019-07-21,21.6,20.2,22.4,20,12380000,0
2019-07-18,20.4,20.4,20.7,20.1,383900,0
2019-07-17,20.4,20.1,20.8,20.1,692600,0
2019-07-16,20,19.9,20.1,19.8,360920,0
2019-07-15,20.1,19.9,20.1,19.8,396730,0
2019-07-14,19.9,20,20.2,19.9,380350,0
2019-07-11,20.1,20,20.2,19.9,427930,0
2019-07-10,20.1,20,20.3,19.9,417490,0
2019-07-09,20.1,20.2,20.2,19.5,193150,0
2019-07-08,20.1,20.1,20.2,20,166670,0
2019-07-07,20.2,20.2,20.3,20,173550,0
2019-07-04,20.1,20.2,20.2,19.9,533410,0
2019-07-03,20.1,20,20.2,20,218370,0
2019-07-02,20.1,20,20.2,20,305650,0
2019-06-30,20.1,20,20.2,19.9,315980,0
2019-06-27,20.2,20,20.3,19.8,628890,0
2019-06-26,20.1,20,20.2,19.9,440270,0
2019-06-25,20,19.8,20.1,19.8,296380,0
2019-06-24,20,19.8,20,19.8,284850,0
2019-06-23,19.9,19.7,20,19.7,389310,0
2019-06-20,19.8,20,20,19.8,345630,0
2019-06-19,20,19.8,20.2,19.8,451070,0
2019-06-18,20,19.7,20.1,19.7,452210,0
2019-06-17,20,20.3,20.5,19.8,469450,0
2019-06-16,20,20.1,20.3,19.9,422310,0
2019-06-13,20,20.1,20.1,19.8,618090,0
2019-06-12,19.9,20.3,20.4,19.9,448870,0
2019-06-11,20,20,20.1,19.8,655650,0
2019-06-10,19.9,19.9,20,19.6,309700,0
2019-06-09,20.1,19.8,20.2,19.8,463550,0
2019-05-30,19.9,20.2,20.3,19.7,320660,0
2019-05-29,19.8,19.9,20.1,19.6,486480,0
2019-05-28,19.6,19.9,19.9,19.4,247750,0
2019-05-27,19.7,19.7,20,19.6,641080,0
2019-05-26,19.6,19.8,20,19.6,450600,0
2019-05-23,19.7,19.4,19.8,19.4,508380,0
2019-05-22,19.5,19.6,19.9,19.4,1250000,0
2019-05-21,19.7,20.2,20.2,19.5,505740,0
2019-05-20,20.2,20.5,20.9,19.1,2060000,0
2019-05-19,20.5,20.1,21.4,19.9,3300000,0
2019-05-16,19.9,19.5,20.1,19.3,359250,0
2019-05-15,19.8,19.6,19.9,19.4,261870,0
2019-05-14,19.8,19.9,20.1,19.5,155880,0
2019-05-13,19.6,19.6,19.7,19.5,56230,0
2019-05-12,19.7,20,20.1,19.5,301530,0
2019-05-09,19.6,19.6,19.9,19.4,154970,0
2019-05-08,19.5,20,20,19.4,291710,0
2019-05-07,19.7,20.4,20.4,19.6,364980,0
2019-05-06,20.4,19.9,20.5,19.6,792570,0
2019-05-05,19.8,19.6,20,19,654080,0
2019-05-02,19.4,19.3,19.6,19,230950,0
2019-04-30,19,18.6,19.2,18.5,214710,0
2019-04-29,18.8,19,19.1,18.6,164080,0
2019-04-28,19,18.7,19.2,18.6,175040,0
2019-04-25,18.6,18.2,18.7,18.1,103230,0
2019-04-24,18.5,18.4,18.6,18.3,96910,0
2019-04-23,18.6,19,19,18.5,66200,0
2019-04-21,18.7,18.4,18.9,18.3,178620,0
2019-04-18,18.3,18.4,18.5,18.2,95990,0
2019-04-17,18.4,18.3,18.5,18.1,152360,0
2019-04-16,18.3,18.6,18.6,18.2,33550,0
2019-04-15,18.4,18.2,18.5,18.2,78250,0
2019-04-11,18.3,18.7,18.7,18.2,99140,0
2019-04-10,18.4,18.5,18.6,18.3,221150,0
2019-04-09,18.5,18.5,18.6,18.4,247850,0
2019-04-08,18.5,18.5,18.6,18.5,154200,0
2019-04-07,18.5,18.5,18.6,18.4,115250,0
2019-04-04,18.6,18.5,18.7,18.5,129750,0
2019-04-03,18.5,18.5,18.7,18.5,44700,0
2019-04-02,18.5,18.2,18.6,18.1,120710,0
2019-04-01,18.3,18,18.4,18,58590,0
2019-03-31,18.2,18.2,18.3,18.1,41980,0
2019-03-28,18.2,18,18.3,18,79650,0
2019-03-27,18.2,18,18.3,18,254920,0
2019-03-25,18,18.4,18.4,17.6,95890,0
2019-03-24,18,18.1,18.3,17.9,45000,0
2019-03-21,18.1,18.5,18.6,18.1,126420,0
2019-03-20,18.6,18.5,18.8,18.3,74590,0
2019-03-19,18.5,18.3,18.7,18.3,116260,0
2019-03-18,18.5,18.4,18.6,18.3,233430,0
2019-03-14,18.5,18.7,18.8,18.4,221780,0
2019-03-13,18.8,18.8,19,18.7,200970,0
2019-03-12,19,18.8,19.1,18.7,131880,0
2019-03-11,18.9,19,19.2,18.6,141000,0
2019-03-10,18.9,18.7,19,18.6,120650,0
2019-03-07,18.9,18.9,19,18.6,76350,0
2019-03-06,18.7,18.6,19,18.6,62990,0
2019-03-05,18.7,19,19,18.7,103820,0
2019-03-04,18.9,19.2,19.2,18.8,134560,0
2019-03-03,19.3,19.5,19.5,19.1,113900,0
2019-02-27,19.6,19.4,19.8,19.4,194750,0
2019-02-26,19.5,19.4,19.6,19.4,159260,0
2019-02-25,19.5,19.6,19.7,19.4,208170,0
2019-02-24,19.6,19.5,19.7,19.5,153140,0
2019-02-20,19.6,19.7,19.9,19.5,114960,0
2019-02-19,19.7,19.7,19.8,19.6,168170,0
2019-02-18,19.8,19.9,19.9,19.7,109120,0
2019-02-17,19.9,19.6,20,19.5,370650,0
2019-02-14,19.6,19.5,19.7,19.5,136450,0
2019-02-13,19.2,19.8,19.8,19.2,336020,0
2019-02-12,19.6,19.7,19.7,19.5,209610,0
2019-02-11,19.7,19.9,19.9,19.6,354510,0
2019-02-10,19.8,19.7,20,19.7,478200,0
2019-02-07,19.8,19.9,20.3,19.7,181780,0
2019-02-06,19.8,20.1,20.1,19.7,516790,0
2019-02-05,20.1,20.2,20.5,20,500480,0
2019-02-04,20.2,19.8,20.5,19.7,690210,0
2019-02-03,19.8,19.8,20,19.7,233370,0
2019-01-31,19.8,20.3,20.4,19.8,270300,0
2019-01-30,20.2,20,20.4,19.9,1580000,0
2019-01-29,19.7,19.8,19.9,19.5,499150,0
2019-01-28,19.6,19.7,20,19.4,463010,0
2019-01-27,19.8,19.5,20,19.4,557750,0
2019-01-24,19.6,19.7,19.8,19.5,250170,0
2019-01-23,19.9,19.9,20.2,19.6,737860,0
2019-01-22,19.9,20.1,20.2,19.6,660010,0
2019-01-21,20,19.9,20.4,19.9,639820,0
2019-01-20,19.9,20.1,20.1,19.8,628490,0
2019-01-17,20.3,20.2,20.4,19.8,1320000,0
2019-01-16,19.8,19.9,20.2,19.7,1220000,0
2019-01-15,20,20.8,20.9,19.7,991380,0
2019-01-14,20.6,20.5,20.9,19.9,1000000,0
2019-01-13,20.3,20,20.5,19.8,1630000,0
2019-01-10,19.8,18.6,20.1,18.4,2160000,0
2019-01-09,18.5,18.3,18.6,18.3,439300,0
2019-01-08,18.3,18.5,18.5,17.9,677520,0
2019-01-07,18.5,18.4,18.7,18.2,778180,0
2019-01-06,18.3,16.7,18.3,16.7,1310000,0
2019-01-03,16.7,16.8,16.8,16.4,123470,0
2019-01-02,16.7,16.5,16.8,16.3,163870,0
2019-01-01,16.2,16.2,16.4,16.1,213010,0
2018-12-27,16.2,16.1,16.3,16.1,98950,0
2018-12-26,16.1,16.1,16.2,16,128070,0
2018-12-24,16,16.1,16.2,16,57910,0
2018-12-23,16.1,16.2,16.3,16,76630,0
2018-12-20,16.1,16.3,16.3,16,158940,0
2018-12-19,16.3,16.2,16.4,16.2,42520,0
2018-12-18,16.2,16.4,16.5,16.2,78510,0
2018-12-17,16.4,16.5,16.5,16.2,186670,0
2018-12-13,16.5,16.7,16.7,16.5,79370,0
2018-12-12,16.5,16.4,16.7,16.4,77400,0
2018-12-11,16.4,16.8,16.9,16.4,240740,0
2018-12-10,16.8,16.7,16.9,16.6,180520,0
2018-12-09,16.6,16.7,16.7,16.6,139950,0
2018-12-06,16.6,16.7,16.9,16.6,194140,0
2018-12-05,16.6,16.5,16.8,16.5,164550,0
2018-12-04,16.7,16.7,16.8,16.6,113600,0
2018-12-03,16.6,16.5,16.7,16.3,76730,0
2018-12-02,16.5,16.5,16.5,16.4,79550,0
2018-11-29,16.4,16.5,16.6,16.3,226450,0
2018-11-28,16.4,16.8,16.8,16.3,98160,0
2018-11-27,16.6,16.4,16.8,16.4,70820,0
2018-11-26,16.4,16.9,16.9,16.3,272310,0
2018-11-25,16.8,16.9,17,16.7,140820,0
2018-11-22,17,17.1,17.3,17,211230,0
2018-11-20,17.1,17,17.2,16.8,142260,0
2018-11-19,17,16.8,17,16.7,245970,0
2018-11-18,17,17,17.2,16.9,318550,0
2018-11-15,16.8,17,17,16.8,125590,0
2018-11-14,16.8,17.1,17.2,16.7,238050,0
2018-11-13,17,17.4,17.4,16.9,188190,0
2018-11-12,17.3,17.2,17.5,17.1,213270,0
2018-11-11,17.3,17,17.4,16.9,171470,0
2018-11-08,17.1,16.9,17.2,16.9,64200,0
2018-11-07,17,16.8,17.3,16.8,92950,0
2018-11-06,16.8,16.9,17.2,16.8,99330,0
2018-11-05,17,17,17.2,16.9,95290,0
2018-11-04,17,17,17.2,16.7,201890,0
2018-11-01,17.2,17,17.5,17,122550,0
2018-10-31,17,16.9,17.2,16.7,185260,0
2018-10-30,16.8,16.9,17,16.7,97820,0
2018-10-29,17,16.7,17.1,16.7,89860,0
2018-10-28,16.8,17.1,17.3,16.6,190270,0
2018-10-25,17.1,17.2,17.3,16.8,674340,0
2018-10-24,17.2,17.2,17.4,16.8,258150,0
2018-10-23,17,17.2,17.2,16.7,252090,0
2018-10-22,17.2,17.9,17.9,17.2,242890,0
2018-10-21,17.9,17.9,18,17.8,60190,0
2018-10-18,18,18.2,18.2,18,75090,0
2018-10-17,18.2,18.1,18.3,18.1,194700,0
2018-10-16,18.1,18.2,18.3,18.1,298580,0
2018-10-15,18.1,18,18.3,18,116010,0
2018-10-14,18.2,18.1,18.3,18,80690,0
2018-10-11,18.2,18.1,18.6,18.1,498750,0
2018-10-10,18.2,18.2,18.3,18.1,198900,0
2018-10-09,18.1,18.1,18.2,18,175380,0
2018-10-08,18,17.9,18,17.8,29500,0
2018-10-07,17.6,17.7,18,17.6,158130,0
2018-10-04,17.7,18.1,18.1,17.7,271770,0
2018-10-03,18.2,18.2,18.3,18,185180,0
2018-10-02,18.3,18,18.5,18,163480,0
2018-10-01,18.2,18,18.3,18,217840,0
2018-09-30,18.2,18.2,18.3,18.1,83950,0
2018-09-27,18.2,18.3,18.5,18.1,307280,0
2018-09-26,18.2,18.2,18.3,18.1,408190,0
2018-09-25,18.2,18.1,18.3,18.1,197430,0
2018-09-24,18.3,18.5,18.5,18.1,152460,0
2018-09-23,18.2,18.3,18.5,18.1,139730,0
2018-09-20,18.2,18.1,18.5,18.1,490210,0
2018-09-19,18.2,18.5,19,18,495310,0
2018-09-18,18.7,18.8,19.5,18.6,552100,0
2018-09-17,18.6,18.1,18.8,18.1,571610,0
2018-09-16,18.1,18.3,18.4,18,153850,0
2018-09-13,18,18.2,18.4,18,673670,0
2018-09-12,18,18.1,18.5,17.9,626990,0
2018-09-11,18,17.8,18.1,17.8,309910,0
2018-09-10,17.8,18,18.1,17.7,743370,0
2018-09-09,18,17.9,18.2,17.9,260950,0
2018-09-06,17.8,17.9,18,17.8,121720,0
2018-09-05,17.9,18.1,18.3,17.9,161110,0
2018-09-04,17.9,17.9,18,17.9,222900,0
2018-09-03,17.9,18.1,18.2,17.8,489240,0
2018-08-30,18.1,18.2,18.2,18,177090,0
2018-08-29,18.1,18.4,18.4,18,427490,0
2018-08-28,18.4,18.3,18.5,18,148010,0
2018-08-27,18.3,18.1,18.4,18,133880,0
2018-08-26,18.1,18.1,18.2,17.7,166890,0
2018-08-20,18.4,18,18.5,18,348730,0
2018-08-19,18,17.5,18,17.5,266310,0
2018-08-16,17.5,17.5,17.8,17.5,219400,0
2018-08-14,17.6,18,18,17.5,132770,0
2018-08-13,17.7,18.1,18.1,17.6,180930,0
2018-08-12,17.9,17.9,18,17.8,130070,0
2018-08-09,17.9,18,18.2,17.9,127940,0
2018-08-08,18,18.1,18.2,17.9,159170,0
2018-08-07,18.2,18.4,18.4,18,134440,0
2018-08-06,18.3,18.1,18.6,18.1,374320,0
2018-08-05,18,18,18.2,17.9,282250,0
2018-08-02,17.9,18,18.2,17.8,570140,0
2018-08-01,18.1,18.1,18.2,18,138990,0
2018-07-31,18.1,18.4,18.4,18,154820,0
2018-07-30,18.3,18.3,18.5,18.3,285000,0
2018-07-29,18.3,18.4,18.6,18.2,239900,0
2018-07-26,18.4,18.3,18.5,18.2,163600,0
2018-07-25,18.4,18.8,18.9,18.4,194330,0
2018-07-24,18.7,18,18.8,18,344220,0
2018-07-23,18,18,18.3,18,313050,0
2018-07-22,18,18,18.1,17.9,160500,0
2018-07-19,18,18.3,18.6,17.9,275950,0
2018-07-18,18.3,18.3,18.6,18.3,117490,0
2018-07-17,18.3,18.5,18.5,18.3,170140,0
2018-07-16,18.5,19.1,19.1,18.4,462080,0
2018-07-15,19,19.1,19.8,18.8,594160,0
2018-07-12,19,18.3,19.1,18.3,876150,0
2018-07-11,18.2,18.3,18.4,18,259790,0
2018-07-10,18.2,18.1,18.7,18,546800,0
2018-07-09,18.1,18,18.4,17.9,312990,0
2018-07-08,17.9,18.8,18.8,17.6,171670,0
2018-07-05,17.6,17.7,18,17.5,202840,0
2018-07-04,17.7,17.7,18,17.6,167550,0
2018-07-03,17.8,18.1,18.1,17.6,721060,0
2018-07-02,18.1,17.9,18.3,17.8,205910,0
2018-06-28,18,18,18.2,17.9,147720,0
2018-06-27,18,18.1,18.3,17.9,183330,0
2018-06-26,18,18.4,18.6,17.9,735320,0
2018-06-25,18.4,18.2,18.5,18.2,299880,0
2018-06-24,18.1,18.3,19.2,18,610510,0
2018-06-21,17.9,18.3,18.3,17.9,463850,0
2018-06-20,18.2,18.5,18.5,18.2,94070,0
2018-06-19,18.5,18.6,18.8,18.4,161420,0
2018-06-18,18.7,18.4,18.9,18.4,61550,0
2018-06-12,18.4,19,19,18.2,320870,0
2018-06-11,18.6,18.8,18.8,18.5,216490,0
2018-06-10,18.6,18.7,18.7,18.5,176480,0
2018-06-07,18.6,18.8,18.8,18.5,143320,0
2018-06-06,18.8,18.9,19.2,18.7,148320,0
2018-06-05,18.9,19.1,19.1,18.5,99210,0
2018-06-04,18.6,18.7,18.9,18.6,70100,0
2018-06-03,18.8,19,19,18.7,96350,0
2018-05-31,18.8,18.8,19,18.7,73700,0
2018-05-30,18.9,19,19.1,18.8,137980,0
2018-05-29,19.1,19.2,19.2,18.9,94360,0
2018-05-28,18.7,18.7,18.9,18.5,103860,0
2018-05-27,18.7,18.9,18.9,18.5,104780,0
2018-05-24,18.8,19,19.3,18.8,124830,0
2018-05-23,19.1,19.1,19.3,19,83420,0
2018-05-22,19,19.3,19.3,18.7,80580,0
2018-05-21,19.3,19.6,19.6,19.2,112090,0
2018-05-20,19.7,19.9,19.9,19.6,64260,0
2018-05-17,19.7,20,20.3,19.5,179660,0
2018-05-16,20.3,19.8,20.5,19.7,179330,0
2018-05-15,19.8,20.1,20.2,19.8,93690,0
2018-05-14,20,20.1,20.3,19.9,206190,0
2018-05-13,20,20.3,20.3,19.9,132840,0
2018-05-10,20.2,20.5,20.6,20.1,291540,0
2018-05-09,20.6,20.4,20.8,20.4,152100,0
2018-05-08,20.5,20.7,20.7,20.3,258630,0
2018-05-07,20.6,21.3,21.4,20.4,264720,0
2018-05-06,21.6,20.9,21.8,20.9,1040000,0
2018-05-03,21,20.9,21.2,20.7,214090,0
2018-04-30,20.9,20.6,21.1,20.3,301110,0
2018-04-26,20.4,20.6,20.6,20,140030,0
2018-04-25,20.5,20.3,20.6,20.1,250640,0
2018-04-24,20.3,20.3,20.5,19.7,565900,0
2018-04-23,20.2,21,21,20.1,570060,0
