date,open,high,low,close,volume,openinterest
2019-12-30,57.1,57.4,57.7,56.8,2330000,0
2019-12-29,56.8,56.6,57,56.3,77800,0
2019-12-26,56.6,56.3,57.7,56.3,840460,0
2019-12-24,56.6,57,57,56.5,316670,0
2019-12-23,56.9,57.1,57.1,56.6,421940,0
2019-12-22,57.2,56.2,57.5,56.2,85090,0
2019-12-19,57.1,57,57.7,56.7,82370,0
2019-12-18,56.8,56.6,57,56.5,249340,0
2019-12-17,56.6,56.8,57.4,56.3,982710,0
2019-12-15,56.8,56.8,57.5,56.5,58080,0
2019-12-12,56.9,57.5,57.5,56.1,338260,0
2019-12-11,57.5,57.8,58,57.4,69460,0
2019-12-10,57.8,58.5,58.5,57.5,378450,0
2019-12-09,57.5,58.4,58.4,57.4,804390,0
2019-12-08,57.8,58.5,58.8,57.6,103630,0
2019-12-05,58.5,58.9,59,58.3,214600,0
2019-12-04,58.5,58.8,58.8,58.2,839480,0
2019-12-03,58.1,59.8,59.8,57.9,595680,0
2019-12-02,59.1,59.2,60.7,58.5,1020000,0
2019-12-01,59.3,57.7,59.5,57.7,162740,0
2019-11-28,58,58.4,59,57.9,1080000,0
2019-11-27,58.3,59.7,59.7,57.8,354490,0
2019-11-26,59,60,60.3,58.5,626700,0
2019-11-25,59.5,60.2,60.4,59,1780000,0
2019-11-24,60.1,60.8,60.9,59.2,202210,0
2019-11-21,60.7,60.2,61.1,60.1,322830,0
2019-11-20,60.2,61.2,61.9,60,462170,0
2019-11-19,61.2,59.9,61.7,59.5,1120000,0
2019-11-18,59.7,59.7,60,58.4,326980,0
2019-11-17,58.9,58.3,59.3,58,190860,0
2019-11-14,58.3,59,60,57.4,611240,0
2019-11-13,58.6,60,60.2,58.5,619000,0
2019-11-12,59.3,60.3,60.3,58.5,734850,0
2019-11-11,59.7,57.9,60,57.5,410740,0
2019-11-07,57.9,56.9,58.1,56.5,529480,0
2019-11-06,57.3,54.9,57.7,54.7,1850000,0
2019-11-05,54.7,52,55.1,52,2890000,0
2019-11-04,52,52,52.1,51,2120000,0
2019-11-03,52.2,51,52.6,50.5,418840,0
2019-10-31,50.6,53.8,53.8,50,2430000,0
2019-10-30,53.3,55.4,55.4,52.5,841520,0
2019-10-29,54.5,56.4,56.4,54.2,515910,0
2019-10-28,55.8,56,56,55.5,258390,0
2019-10-27,55.6,56.2,56.2,55.5,207310,0
2019-10-24,56.8,56.2,57.4,56.2,643170,0
2019-10-23,56.6,56.8,57,56.4,673060,0
2019-10-22,57.2,58.5,58.5,56.9,914610,0
2019-10-21,58.5,59.1,59.1,58.2,581970,0
2019-10-20,59,58.6,59.8,58.6,67590,0
2019-10-17,58.7,59,59.4,58.4,334850,0
2019-10-16,59,59.5,60,58.6,281650,0
2019-10-15,60.1,60.3,60.8,59.1,372530,0
2019-10-14,60.3,60.5,61,60,724870,0
2019-10-13,60.5,60.6,60.8,60.3,158350,0
2019-10-10,60.8,61.3,61.5,60.8,265990,0
2019-10-09,61.5,61.3,61.7,61.1,346230,0
2019-10-07,61.3,61.6,61.8,60.9,70130,0
2019-10-06,61.6,61.9,61.9,61.2,125200,0
2019-10-03,61.6,61.9,61.9,61.5,101990,0
2019-10-02,61.6,61.9,62,61.4,143160,0
2019-10-01,61.5,61.1,61.8,61.1,131240,0
2019-09-30,61.5,61.6,62,60.9,523790,0
2019-09-29,61.7,61,62.2,60.7,193570,0
2019-09-26,60.9,61.5,62.1,60.3,382040,0
2019-09-25,61.2,62.4,62.4,60.4,250510,0
2019-09-24,62.4,62.5,62.8,62,807300,0
2019-09-23,62.3,60,62.6,60,1550000,0
2019-09-22,59.8,59.4,60.3,58.4,326920,0
2019-09-19,59.2,59.5,59.8,59.1,662570,0
2019-09-18,59.5,60,60.1,59.4,492650,0
2019-09-17,59.4,59.6,60,59,1380000,0
2019-09-16,59.4,58,60.1,57.5,1190000,0
2019-09-15,57.9,57.6,58,57,203170,0
2019-09-12,57.4,55.9,57.8,55.9,363690,0
2019-09-11,56,56.5,56.5,55.9,572480,0
2019-09-09,56.5,57.4,58.4,56.2,541010,0
2019-09-08,57.4,58,58.3,57,240470,0
2019-09-05,57.6,57.7,57.8,57.1,175040,0
2019-09-04,57,56.1,57.5,56,1630000,0
2019-09-03,56.1,57.8,58.3,56,857370,0
2019-09-02,56.9,58.9,58.9,56.5,846000,0
2019-09-01,58,58,59,57.5,536650,0
2019-08-29,57.9,59.6,60,57.7,484420,0
2019-08-28,59.5,60.6,61.4,59.1,404090,0
2019-08-27,60.6,60.5,61.1,60.3,733540,0
2019-08-26,60.1,60.9,60.9,60,344560,0
2019-08-25,60.9,61.5,62.4,60.8,379460,0
2019-08-22,61,61,61.8,60.8,240700,0
2019-08-21,61.1,60.8,62.3,60.8,731860,0
2019-08-20,60.9,61.5,62,60.8,435590,0
2019-08-19,61.1,61.9,61.9,61,413470,0
2019-08-18,61,60.8,62.9,60.8,400380,0
2019-08-08,61.6,61.4,62.9,61.4,778810,0
2019-08-07,62.2,62.5,62.9,61.8,611540,0
2019-08-06,62,62.5,62.5,61.6,942180,0
2019-08-05,62.2,62,62.9,61.8,1050000,0
2019-08-04,62.5,63,63,62.2,213740,0
2019-08-01,62.7,62.8,63.2,62.6,453210,0
2019-07-31,62.9,62.6,63.5,62.5,523920,0
2019-07-30,62.6,62.8,63.5,62.2,214360,0
2019-07-29,62.8,62.6,63.7,62.5,252170,0
2019-07-28,63.1,62.5,63.8,62.1,303500,0
2019-07-25,62.7,62.4,63.4,62,1160000,0
2019-07-24,62.4,62,63,61,601340,0
2019-07-23,62.7,60.5,63.3,60.5,912760,0
2019-07-22,61.2,61.9,62.4,60.8,575990,0
2019-07-21,61.9,61.1,62.3,61.1,342720,0
2019-07-18,61.6,61.4,61.9,61.2,502010,0
2019-07-17,61.6,61.1,62,61.1,155860,0
2019-07-16,61.3,60.7,62,60.6,1530000,0
2019-07-15,60.8,61.7,61.7,60.5,553020,0
2019-07-14,61.7,62.5,62.5,61,312580,0
2019-07-11,62.5,63,63,62.3,192110,0
2019-07-10,62,63.1,63.1,61.8,510170,0
2019-07-09,63.5,62,63.8,62,253590,0
2019-07-08,62.3,63.6,63.6,62,852780,0
2019-07-07,63.5,64.2,64.4,63.1,132140,0
2019-07-04,64.6,64.1,65.9,63.3,409980,0
2019-07-03,64.1,64.9,65,63.9,877550,0
2019-07-02,65,65.4,65.6,64.7,388380,0
2019-06-30,66.1,66.1,67,65.2,663130,0
