date,open,high,low,close,volume,openinterest
2019-12-30,39.2,39,39.7,38.4,14100,0
2019-12-29,38.7,39.8,39.9,38.3,79660,0
2019-12-26,40.3,39.2,40.3,39.2,18320,0
2019-12-24,39.6,39.3,39.9,39.3,3380,0
2019-12-23,39.3,39.7,40.2,39,12690,0
2019-12-22,39.6,40.4,40.4,39.1,7750,0
2019-12-19,40.4,40.5,40.5,40.4,3400,0
2019-12-18,40.2,40,40.7,40,19460,0
2019-12-17,40,41.1,41.2,40,39290,0
2019-12-15,41.1,41.5,41.5,41,10000,0
2019-12-12,41.9,41.8,41.9,41.6,26580,0
2019-12-11,41.8,42.2,43,41.4,11880,0
2019-12-10,42.2,42.4,42.4,41.7,15520,0
2019-12-09,42.4,44.5,44.9,42.2,11650,0
2019-12-08,43.9,42.1,44.9,42.1,233660,0
2019-12-05,42.8,43,43.3,42.3,33500,0
2019-12-04,43.1,43,43.8,43,11840,0
2019-12-03,43.4,43.3,43.6,43,41440,0
2019-12-02,43.2,44,44,43.1,32190,0
2019-12-01,43.9,43.8,44,43.1,42980,0
2019-11-28,43.8,43.5,44.2,42.9,42450,0
2019-11-27,43.6,43,44.7,42.5,109320,0
2019-11-26,43.5,44.3,45.9,42.9,189770,0
2019-11-25,44.5,44.7,45.4,44.2,56330,0
2019-11-24,45.1,47,47,44.6,34110,0
2019-11-21,46.7,47,47,46,23880,0
2019-11-20,46.1,47.3,47.5,45,26580,0
2019-11-19,46.7,47.6,47.6,46,39850,0
2019-11-18,47.3,47,47.4,46.2,39630,0
2019-11-17,46.8,46.6,47.5,46.5,310330,0
2019-11-14,46.4,47.7,48.8,46.2,22460,0
2019-11-13,47.2,48.4,49.2,46.2,176080,0
2019-11-12,49.2,48.1,49.6,47.6,309620,0
2019-11-11,48.3,48,49,47.5,140980,0
2019-11-07,48,47.4,48.4,47.4,90700,0
2019-11-06,47.4,47,47.8,46.8,49420,0
2019-11-05,47.5,48,49,46.8,92990,0
2019-11-04,47,47,51,46.7,18120,0
2019-11-03,47.5,47,48,46.8,79320,0
2019-10-31,47.6,47.2,47.6,46.6,19960,0
2019-10-30,47.2,47,47.4,46.5,27260,0
2019-10-29,47,46.5,47.4,46,51010,0
2019-10-28,46.5,48.2,48.6,46,53010,0
2019-10-27,50.6,48.4,51,48.4,128660,0
2019-10-24,48.9,48,49.5,47.2,43880,0
2019-10-23,47.9,47.9,48.5,47.5,44580,0
2019-10-22,48.1,48.9,49,47.9,31440,0
2019-10-21,48.8,49,49.2,48.6,36060,0
2019-10-20,49.2,48.1,49.4,48.1,23120,0
2019-10-17,48.9,49.9,49.9,48.7,4330,0
2019-10-16,49.6,49,50.4,47.9,35360,0
2019-10-15,47,47.4,47.8,46.9,86410,0
2019-10-14,47.9,49.2,49.6,47.8,34200,0
2019-10-13,48.9,49.6,50.3,48.7,47570,0
2019-10-10,49.6,50,50,49.5,10650,0
2019-10-09,50.2,50.8,50.8,49.6,51500,0
2019-10-07,50.8,51.1,51.1,50.7,13390,0
2019-10-06,51.2,50.5,51.3,50.5,34060,0
2019-10-03,51.1,50.7,51.4,50.4,34080,0
2019-10-02,51.2,51.5,51.5,50.1,23370,0
2019-10-01,50.4,51.9,52,50,24700,0
2019-09-30,51,51.7,52.5,50.9,13990,0
2019-09-29,51.7,50.9,52,50.8,54200,0
2019-09-26,51.3,50.7,51.5,50.6,32830,0
2019-09-25,50.7,51.3,51.6,50.4,37670,0
2019-09-24,51.1,50.5,51.8,50.4,22810,0
2019-09-23,50.4,51,51.4,50.1,23700,0
2019-09-22,51,50.7,52.8,49.8,48430,0
2019-09-19,50.9,52.9,53.3,50.7,18360,0
2019-09-18,51.9,55.9,55.9,51.6,59190,0
2019-09-17,51,50.7,51.4,50.7,22340,0
2019-09-16,50.7,50,51,50,34710,0
2019-09-15,50.7,51.8,51.9,50.1,18550,0
2019-09-12,52,53.2,53.2,51.9,13080,0
2019-09-11,52.6,52.4,53.4,52.4,10190,0
2019-09-09,53,53.4,53.4,52.4,23320,0
2019-09-08,53.2,52.4,53.5,52.4,14490,0
2019-09-05,52.8,52.7,52.8,52.1,30930,0
2019-09-04,53.1,53.9,53.9,52.5,16090,0
2019-09-03,53.9,52.7,54,52.7,36940,0
2019-09-02,52.9,54.8,54.8,52.8,21090,0
2019-09-01,54.8,54.7,54.9,54,26420,0
2019-08-29,55.3,55.8,55.8,54.8,22010,0
2019-08-28,55.8,55.1,55.9,54.6,70940,0
2019-08-27,55.1,55.9,55.9,54.5,44130,0
2019-08-26,54.9,56,56,54.8,66240,0
2019-08-25,55.4,55.5,55.7,55.2,20260,0
2019-08-22,55.5,56,56,54.9,43730,0
2019-08-21,55.2,55.4,55.9,55,40820,0
2019-08-20,55,55.5,55.5,54.4,51970,0
2019-08-19,55.1,54.2,55.4,54.2,35000,0
2019-08-18,54.6,54.3,55,54.3,49470,0
2019-08-08,54.5,55,55.5,54.3,14270,0
2019-08-07,55,55.3,56.1,54.1,27920,0
2019-08-06,55.3,55.5,55.5,54.4,18740,0
2019-08-05,55.5,55.3,55.9,55.3,29440,0
2019-08-04,55.3,55.5,55.8,55.2,17910,0
2019-08-01,55.3,56,56.4,54.5,55350,0
2019-07-31,56.1,56.3,56.5,55.7,21980,0
2019-07-30,56.3,53.7,56.5,53.6,33760,0
2019-07-29,54.5,54,54.9,53.9,23910,0
2019-07-28,54.8,53,55,53,23070,0
2019-07-25,53.3,52.7,54.1,52.6,17620,0
2019-07-24,52.9,51.8,54.8,51.7,27130,0
2019-07-23,51.6,52.1,52.1,51,39640,0
2019-07-22,53,52,53.8,52,21990,0
2019-07-21,53.7,55,55,53.5,28300,0
2019-07-18,54.5,54.6,55.5,54,38840,0
2019-07-17,55.6,55,55.8,54,22370,0
2019-07-16,54.9,55.2,56.4,54.2,15710,0
2019-07-15,56.6,55.5,56.9,55.4,26740,0
2019-07-14,56,56.2,57.2,55.4,30800,0
2019-07-11,56.4,56.7,56.8,56,22390,0
2019-07-10,56.7,56.9,57.4,56.4,29730,0
2019-07-09,57.5,57.6,58,57,33840,0
2019-07-08,57.5,57,57.7,56.9,44660,0
2019-07-07,57.4,58.2,58.2,57,46360,0
2019-07-04,57.3,57.5,58,56.9,76120,0
2019-07-03,57.5,57.6,57.9,56.9,23480,0
2019-07-02,58.3,57.4,58.6,57.4,44940,0
2019-06-30,57.4,57.1,57.7,56.8,36360,0
2019-06-27,57.1,57.1,57.5,56.5,47330,0
2019-06-26,57.1,56.2,57.3,56.2,16910,0
2019-06-25,56.2,57.3,57.4,55.6,106680,0
2019-06-24,57.2,56.6,57.3,56,48670,0
2019-06-23,56.9,57.6,57.6,56.7,40090,0
2019-06-20,57.6,57.9,58,56.8,52540,0
2019-06-19,57.7,57.9,57.9,57.6,17390,0
2019-06-18,57.7,57.9,58,57.7,23840,0
2019-06-17,57.8,58.2,58.9,57.1,58810,0
2019-06-16,58.3,58.5,58.7,57.7,57540,0
2019-06-13,58.5,58.5,58.9,58.1,45090,0
2019-06-12,58.6,58.9,59,58,83340,0
2019-06-11,58.1,57.6,58.9,57.3,41380,0
2019-06-10,57.6,57.6,58,56.9,50410,0
2019-06-09,56.9,57.1,57.5,56.6,22440,0
2019-05-30,57.1,57,58,56.8,23020,0
2019-05-29,56.8,57.3,57.9,56.4,70340,0
2019-05-28,57.3,56.8,57.6,56.5,27320,0
2019-05-27,57.1,57.1,57.9,56.6,43820,0
2019-05-26,57.8,56.6,58,56.6,30700,0
