date,open,high,low,close,volume,openinterest
2019-12-30,46,46,46.6,45.02,8140,0
2019-12-29,46,46,45.2,45,20680,0
2019-12-26,46,46,46.6,46.6,20,0
2019-12-24,46,46,46.7,46.6,10910,0
2019-12-23,46,46,46.5,45.1,101530,0
2019-12-22,46,46,46,46,2500,0
2019-12-19,46,46,45.5,45,150000,0
2019-12-18,46,46,46.7,45.21,27750,0
2019-12-17,46,46,45.1,45,30170,0
2019-12-15,46,46,46.98,45,223540,0
2019-12-12,46,46,45.2,45.1,22260,0
2019-12-11,46,46,47,45.25,156310,0
2019-12-10,46,46,47,44.5,328560,0
2019-12-09,46,46,47,45,499660,0
2019-12-08,46,45.5,45,45,50000,0
2019-12-05,45.5,45.5,45,45,100000,0
2019-12-04,45.5,45.5,46.5,44,343620,0
2019-12-03,45.5,45.5,47,44.75,8010,0
2019-12-02,45.5,45.5,45,44.8,128490,0
2019-12-01,45.5,45.5,45.25,44.25,330560,0
2019-11-28,45.5,44,46.98,43.3,73290,0
2019-11-27,44,42.5,45,43.97,77950,0
2019-11-26,42,42,42.5,41.6,124540,0
2019-11-25,42,42,42.9,41.6,263890,0
2019-11-24,42,42,42.9,42.9,2300,0
2019-11-21,42,41.5,42.9,41.54,8300,0
2019-11-20,42,42,43,41.5,57750,0
2019-11-19,42,42,43,41,228500,0
2019-11-18,42,41.5,42.75,41,391670,0
2019-11-17,41,41,42,41.4,574520,0
2019-11-14,41,41.5,42,40.08,347060,0
2019-11-13,41.5,41.5,42,41.05,130180,0
2019-11-12,42.5,42.5,43.9,42,80760,0
2019-11-11,42.5,40.5,43,40.45,442350,0
2019-11-07,39.3,38.7,40,38.9,61000,0
2019-11-06,38.7,38.7,38.9,38.4,83520,0
2019-11-05,38.6,38.7,39,38.4,100090,0
2019-11-04,38.7,38.7,38.9,38.58,48290,0
2019-11-03,38.7,40,41.5,38.4,226570,0
2019-10-31,40,40,41,41,6090,0
2019-10-30,40,38.2,41,38.34,103740,0
2019-10-29,37.5,37,39,36.5,134100,0
2019-10-28,37,34.7,37.45,34.95,202120,0
2019-10-27,34.7,34.7,35,34.25,134660,0
2019-10-24,34.7,34.7,35,35,21000,0
2019-10-23,34.7,34.7,35,35,3800,0
2019-10-22,34.7,35.2,35.4,34.49,101720,0
2019-10-21,35.1,35.6,35.6,34.25,418730,0
2019-10-20,35.6,35.6,35.6,35.4,67070,0
2019-10-17,35.6,35.6,35.7,35.4,97500,0
2019-10-16,35.6,35.7,35.4,35.4,4000,0
2019-10-15,35.7,35.9,36.25,35.4,119860,0
2019-10-14,35.9,35.9,37.4,35.8,127000,0
2019-10-13,35.9,35.9,36.4,36.25,16420,0
2019-10-10,35.9,36.2,36.25,35.8,53290,0
2019-10-09,36.2,36.2,36.7,35.8,91070,0
2019-10-07,36.2,36.2,36.75,36.75,48770,0
2019-10-06,37,37,37,36,120000,0
2019-10-03,37,37,36.5,36.5,3570,0
2019-10-02,37,35.5,38.5,36,193810,0
2019-10-01,35.5,35.5,35.5,35.5,100000,0
2019-09-30,35.5,35.5,36,35.67,131550,0
2019-09-29,35.5,35.5,35.5,35.5,50000,0
2019-09-26,35.5,35.2,35.4,35,286310,0
2019-09-25,35.2,35.5,35.75,34.25,239380,0
2019-09-24,35.5,35.5,35.75,35.75,5000,0
2019-09-23,35.5,35.5,35.7,35.7,11200,0
2019-09-22,35.5,36.5,36.6,35.05,89200,0
2019-09-19,36.5,37.5,37,36.25,43560,0
2019-09-18,37.5,37.8,37.7,37.25,5500,0
2019-09-17,37.8,37.8,37.72,37.6,14220,0
2019-09-16,37.8,37.8,38,37.6,33700,0
2019-09-15,37.8,37.8,37.72,37.7,2600,0
2019-09-12,38.5,38,38.4,38.4,26000,0
2019-09-11,38.5,38.5,38.7,38,7000,0
2019-09-09,38.5,38.5,38.75,38,100120,0
2019-09-08,38.5,38.5,38.7,38.3,14230,0
2019-09-05,38.5,39,38.8,38,30050,0
2019-09-04,39,39,38,38,7000,0
