date,open,high,low,close,volume,openinterest
2019-12-30,101.05,99.9,102.86,99.33,92490,0
2019-12-29,99.9,101.14,101.43,98.76,14980,0
2019-12-26,101.14,101.43,103.05,99.05,70410,0
2019-12-24,98.95,94.86,100,94.67,60990,0
2019-12-23,96.38,95.05,96.95,94.1,36380,0
2019-12-22,94.48,95.62,96.67,94.1,65430,0
2019-12-19,95.24,96.1,97.52,94.76,41300,0
2019-12-18,94.38,94,95.05,93.9,19820,0
2019-12-17,94.29,96.38,96.38,94.1,37820,0
2019-12-15,95.14,95.24,95.43,94.48,55550,0
2019-12-12,95.24,96.57,97.71,93.81,42040,0
2019-12-11,96.19,98,99.05,95.24,42060,0
2019-12-10,96.38,99.81,100.86,95.33,79150,0
2019-12-09,99.43,99.05,101.33,98.48,22430,0
2019-12-08,101.14,101.9,103.43,98,43280,0
2019-12-05,101.71,103.14,104.29,101.14,35820,0
2019-12-04,103.05,105.71,105.71,102.86,52090,0
2019-12-03,104.76,104.76,106.38,104,55830,0
2019-12-02,104.1,107.52,107.52,103.81,102210,0
2019-12-01,101.05,100.86,101.9,99.62,93610,0
2019-11-28,107.24,107.71,108.95,107.05,47390,0
2019-11-27,108.67,106.86,110.48,106,263620,0
2019-11-26,106.19,106,108.95,105.81,92660,0
2019-11-25,105.81,105.81,109.52,104.86,167990,0
2019-11-24,105.81,115.24,115.24,103.81,215980,0
2019-11-21,107.33,106,111.64,106,331600,0
2019-11-20,106.25,105.42,107.08,105.18,201030,0
2019-11-19,105.34,106.75,106.75,103.35,247070,0
2019-11-18,104.84,104.43,106.83,104.35,174490,0
2019-11-17,103.77,105.34,105.51,103.11,38750,0
2019-11-14,104.02,107.58,107.58,103.52,101250,0
2019-11-13,106.09,107.74,109.23,105.18,112110,0
2019-11-12,107.74,115.69,115.86,106.67,158650,0
2019-11-11,110.72,105.92,111.8,105.92,166210,0
2019-11-07,105.92,104.02,107.66,103.27,239610,0
2019-11-06,103.02,102.11,104.26,102.03,113340,0
2019-11-05,103.02,105.01,105.18,102.44,42930,0
2019-11-04,105.09,106.09,107.58,104.76,87160,0
2019-11-03,106.5,106.42,109.32,106.34,84200,0
