date,open,high,low,close,volume,openinterest
2019-12-30,21.1,21.3,21.3,21,1360000,0
2019-12-29,21.2,21.1,21.3,21.1,479570,0
2019-12-26,21,21,21.2,20.9,570600,0
2019-12-24,21,21.1,21.2,20.8,640400,0
2019-12-23,21.1,21.2,21.5,21,583210,0
2019-12-22,21.3,21.2,21.5,21,467250,0
2019-12-19,21.2,21.1,21.4,21.1,1010000,0
2019-12-18,21.1,21.3,21.3,20.9,743460,0
2019-12-17,21.1,21.6,21.7,21,763750,0
2019-12-15,21.7,21.8,21.9,21.6,513570,0
2019-12-12,21.8,21.6,21.9,21.5,600730,0
2019-12-11,21.6,21.8,22,21.4,630130,0
2019-12-10,21.8,22,22.2,21.6,548970,0
2019-12-09,21.8,21.9,22.1,21.7,806290,0
2019-12-08,22,22.3,22.4,21.9,605250,0
2019-12-05,22.3,22.6,22.9,22.2,1710000,0
2019-12-04,22.7,22.8,23,22.6,1100000,0
2019-12-03,22.7,23.5,23.5,22.5,1850000,0
2019-12-02,23.4,23.4,23.8,23,3420000,0
2019-12-01,23.4,22.5,23.4,22.4,2570000,0
2019-11-28,22.4,22.6,22.6,21.9,2450000,0
2019-11-27,22.6,22.3,23,22.3,4040000,0
2019-11-26,22.3,21.4,22.4,21.2,5810000,0
2019-11-25,21.4,21.6,21.6,21.2,1040000,0
2019-11-24,21.3,21.7,21.7,21.3,1240000,0
2019-11-21,21.6,21.6,21.7,21.5,1240000,0
2019-11-20,21.6,21.7,21.8,21.5,1310000,0
2019-11-19,21.7,21.5,21.8,21.5,1170000,0
2019-11-18,21.5,21.6,21.6,21.4,861020,0
2019-11-17,21.5,21.6,21.7,21.4,1090000,0
2019-11-14,21.6,21.5,21.7,21.3,902580,0
2019-11-13,21.5,21.7,21.7,21.3,1300000,0
2019-11-12,21.7,22,22,21.7,1200000,0
2019-11-11,22,22.4,22.6,21.9,1740000,0
2019-11-07,22.4,22.1,22.5,22,2440000,0
2019-11-06,21.9,21.5,22.2,21.2,3520000,0
2019-11-05,21.5,21.7,21.9,21.3,1320000,0
2019-11-04,21.7,22,22.1,21.5,823590,0
2019-11-03,22,22.2,22.4,21.9,580740,0
2019-10-31,22,22.5,22.6,21.8,929360,0
2019-10-30,22.4,22.7,22.7,22.1,670550,0
2019-10-29,22.5,23,23,22.3,665810,0
2019-10-28,22.8,22.8,23,22.5,283430,0
2019-10-27,22.7,23,23,22.4,406560,0
2019-10-24,23.1,22.6,23.1,22.6,844160,0
2019-10-23,22.7,22.8,23.1,22.3,1090000,0
2019-10-22,22.7,23.6,23.6,22.5,1380000,0
2019-10-21,23.4,23.5,23.6,23.2,1030000,0
2019-10-20,23.5,23.2,23.8,23.2,428780,0
2019-10-17,23.2,23.3,23.4,23,445530,0
2019-10-16,23.2,23.6,23.8,22.9,500020,0
2019-10-15,23.7,23.4,23.9,23.4,1420000,0
2019-10-14,23.4,23.2,23.5,23,1280000,0
2019-10-13,23.2,22.9,23.3,22.8,574960,0
2019-10-10,22.9,22.9,23.2,22.6,1230000,0
2019-10-09,22.9,22.9,23,22.4,2250000,0
2019-10-07,22.9,23.2,23.2,22.3,2160000,0
2019-10-06,23.2,23.7,23.7,22.8,915470,0
2019-10-03,23.6,23.8,23.9,23.5,760970,0
2019-10-02,23.8,24,24,23.7,775610,0
2019-10-01,24.1,24.5,24.6,24,1270000,0
2019-09-30,24.5,24.8,24.8,24.3,2640000,0
2019-09-29,24.6,24.4,24.7,24.4,1910000,0
2019-09-26,24.4,24.6,24.6,24.2,986020,0
2019-09-25,24.5,25.1,25.1,24.3,688010,0
2019-09-24,24.9,25.3,25.3,24.8,686410,0
2019-09-23,25,24.7,25.5,24.7,3250000,0
2019-09-22,24.4,24.4,24.4,24.1,180210,0
2019-09-19,24.3,24.5,24.7,24,600250,0
2019-09-18,24.4,24.6,24.8,24.3,790640,0
2019-09-17,24.3,24.6,24.7,24.2,750150,0
2019-09-16,24.4,24.9,24.9,24.4,538980,0
2019-09-15,24.5,24.8,24.9,24.4,593040,0
2019-09-12,24.4,24.7,24.7,24.3,1080000,0
2019-09-11,24.7,25.2,25.7,24.6,932900,0
2019-09-09,25.2,25.4,25.6,25.2,472880,0
2019-09-08,25.4,25.8,26,25.3,687930,0
2019-09-05,25.4,25.2,25.7,25.2,339380,0
2019-09-04,25.4,25.3,25.6,25.2,355120,0
2019-09-03,25.4,25.8,26,25.2,1190000,0
2019-09-02,25.8,26.6,26.6,25.6,587950,0
2019-09-01,26.5,26.1,26.5,26.1,603240,0
2019-08-29,26.3,26.5,26.5,26.1,1190000,0
2019-08-28,26.6,27.1,27.1,26.5,498890,0
2019-08-27,27,27.1,27.2,26.7,1490000,0
2019-08-26,27.1,27.5,27.5,27,575140,0
2019-08-25,27.6,27.7,28.2,27.5,466710,0
2019-08-22,27.8,28.2,28.2,27.5,468590,0
2019-08-21,27.8,28.4,28.4,27.5,1080000,0
2019-08-20,28.4,28.9,28.9,28.2,492200,0
2019-08-19,28.7,29.2,29.3,28.6,1190000,0
2019-08-18,28.8,28.7,29.7,28.7,654610,0
2019-08-08,29.6,28.8,29.7,28.8,1490000,0
2019-08-07,29,28.3,29.2,28.2,3270000,0
2019-08-06,28.2,28.2,28.9,28,1570000,0
2019-08-05,28,28.1,28.2,27.9,992110,0
2019-08-04,28.2,28.2,28.3,27.6,1160000,0
2019-08-01,27.8,27.8,28.2,27.6,923270,0
2019-07-31,27.7,27.4,27.9,27.2,723190,0
2019-07-30,27.2,27.2,27.5,27.1,385850,0
2019-07-29,27,27.1,27.4,26.9,451340,0
2019-07-28,27.3,27.4,27.5,26.9,386830,0
2019-07-25,27.2,27.3,27.8,27.1,452080,0
2019-07-24,27.1,26.6,27.3,26.5,835160,0
2019-07-23,26.6,26.4,26.7,26.2,850100,0
2019-07-22,26.4,26.5,27,26.3,716450,0
2019-07-21,26.7,26.5,27.6,26.5,512200,0
2019-07-18,27.5,27.2,27.7,27.2,312780,0
2019-07-17,27.4,27.5,27.9,27.2,227600,0
2019-07-16,27.4,27.2,27.8,26.8,437290,0
2019-07-15,26.9,27.1,27.3,26.6,616930,0
2019-07-14,27.2,27.3,27.6,27,562700,0
2019-07-11,27.6,27.7,28,27.4,716090,0
2019-07-10,27.7,28,28,27.5,914740,0
2019-07-09,28.1,28.4,28.4,28,791050,0
2019-07-08,28.4,28.4,28.5,28,855200,0
2019-07-07,28.4,28.5,28.6,28,585160,0
2019-07-04,28.5,27.5,29,27.3,1360000,0
2019-07-03,27.4,27.6,27.7,27.1,642960,0
2019-07-02,27.3,27.8,27.8,27.2,765160,0
2019-06-30,27.8,27.8,28,27.5,637960,0
2019-06-27,28.1,27.1,28.3,27.1,1910000,0
2019-06-26,27.1,27.3,27.4,27,806070,0
2019-06-25,27.3,27.4,27.7,27.2,1140000,0
2019-06-24,27.3,27.6,27.8,27.2,527280,0
2019-06-23,27.6,27,27.7,27,576730,0
2019-06-20,27.2,27.6,28,27,769490,0
2019-06-19,27.3,27.5,27.6,27.3,1290000,0
2019-06-18,27.5,27.5,27.6,27.2,982790,0
2019-06-17,27.5,27.4,27.9,27.2,1180000,0
2019-06-16,27.7,28.1,28.3,27.6,558400,0
2019-06-13,27.9,27.5,28.1,27.4,535760,0
2019-06-12,27.6,28.1,28.1,27.5,827240,0
2019-06-11,28,26.9,28.4,26.9,1210000,0
2019-06-10,26.9,27.3,27.3,26.6,1520000,0
2019-06-09,27.2,27.2,27.4,27,289610,0
2019-05-30,27.2,27.3,27.4,26.9,635400,0
2019-05-29,27.2,26.9,27.3,26.6,624300,0
2019-05-28,26.8,25.9,27.1,25.9,2620000,0
2019-05-27,25.8,25.8,26,25.5,655420,0
2019-05-26,25.8,25.3,26.1,25.3,893130,0
2019-05-23,25.3,25.2,25.4,25.2,1510000,0
2019-05-22,25.2,25.3,25.4,25.2,620670,0
2019-05-21,25.3,25.4,25.4,25,878350,0
2019-05-20,25.4,25.3,25.5,25,1210000,0
2019-05-19,25.3,25,25.8,25,3230000,0
2019-05-16,24.7,24.2,24.8,24.2,1630000,0
2019-05-15,24.2,24,24.3,23.9,319760,0
2019-05-14,24,24.1,24.3,24,329710,0
2019-05-13,24.1,24,24.8,23.6,1570000,0
2019-05-12,24.38,24.95,24.95,24.1,844080,0
2019-05-09,24.86,24.95,24.95,24.38,490540,0
2019-05-08,24.67,25.43,25.43,24.29,2060000,0
2019-05-07,25.33,26.38,26.48,25.14,1780000,0
2019-05-06,26.29,25.24,26.38,25.24,1700000,0
2019-05-05,24.95,24.29,25.24,24.29,1020000,0
2019-05-02,24.29,24.29,24.67,23.9,1050000,0
2019-04-30,24.1,23.9,24.19,23.62,988060,0
2019-04-29,24.19,23.81,24.57,23.81,877680,0
2019-04-28,24.19,23.71,24.29,23.43,1240000,0
2019-04-25,23.52,23.14,23.62,22.95,1290000,0
2019-04-24,23.14,24,24,22.95,910870,0
2019-04-23,23.62,22.95,23.81,22.86,958330,0
2019-04-21,22.95,22.57,23.05,21.43,2310000,0
