date,open,high,low,close,volume,openinterest
2018-12-27,5385.6,5385.6,5385.6,5385.6,0,0
2018-12-26,5349.2,5349.2,5349.2,5349.2,0,0
2018-12-24,5300.1,5300.1,5300.1,5300.1,0,0
2018-12-23,5281.8,5281.8,5281.8,5281.8,0,0
2018-12-20,5265.3,5265.3,5265.3,5265.3,0,0
2018-12-19,5242.6,5242.6,5242.6,5242.6,0,0
2018-12-18,5233.6,5233.6,5233.6,5233.6,0,0
2018-12-17,5218.0,5218.0,5218.0,5218.0,0,0
2018-12-13,5251.0,5251.0,5251.0,5251.0,0,0
2018-12-12,5265.8,5265.8,5265.8,5265.8,0,0
2018-12-11,5275.8,5275.8,5275.8,5275.8,0,0
2018-12-10,5295.7,5295.7,5295.7,5295.7,0,0
2018-12-09,5306.2,5306.2,5306.2,5306.2,0,0
2018-12-06,5332.8,5332.8,5332.8,5332.8,0,0
2018-12-05,5361.1,5361.1,5361.1,5361.1,0,0
2018-12-04,5345.4,5345.4,5345.4,5345.4,0,0
2018-12-03,5296.6,5296.6,5296.6,5296.6,0,0
2018-12-02,5290.8,5290.8,5290.8,5290.8,0,0
2018-11-29,5281.3,5281.3,5281.3,5281.3,0,0
2018-11-28,5286.7,5286.7,5286.7,5286.7,0,0
2018-11-27,5288.5,5288.5,5288.5,5288.5,0,0
2018-11-26,5279.3,5279.3,5279.3,5279.3,0,0
2018-11-25,5276.2,5276.2,5276.2,5276.2,0,0
2018-11-22,5306.0,5306.0,5306.0,5306.0,0,0
2018-11-20,5298.8,5298.8,5298.8,5298.8,0,0
2018-11-19,5257.1,5257.1,5257.1,5257.1,0,0
2018-11-18,5256.1,5256.1,5256.1,5256.1,0,0
2018-11-15,5244.6,5244.6,5244.6,5244.6,0,0
2018-11-14,5245.6,5245.6,5245.6,5245.6,0,0
2018-11-13,5258.6,5258.6,5258.6,5258.6,0,0
2018-11-12,5239.1,5239.1,5239.1,5239.1,0,0
2018-11-11,5279.0,5279.0,5279.0,5279.0,0,0
2018-11-08,5259.1,5259.1,5259.1,5259.1,0,0
2018-11-07,5242.2,5242.2,5242.2,5242.2,0,0
2018-11-06,5204.4,5204.4,5204.4,5204.4,0,0
2018-11-05,5224.9,5224.9,5224.9,5224.9,0,0
2018-11-04,5239.0,5239.0,5239.0,5239.0,0,0
2018-11-01,5258.5,5258.5,5258.5,5258.5,0,0
2018-10-31,5284.1,5284.1,5284.1,5284.1,0,0
2018-10-30,5299.1,5299.1,5299.1,5299.1,0,0
2018-10-29,5246.5,5246.5,5246.5,5246.5,0,0
2018-10-28,5212.2,5212.2,5212.2,5212.2,0,0
2018-10-25,5282.0,5282.0,5282.0,5282.0,0,0
2018-10-24,5276.3,5276.3,5276.3,5276.3,0,0
2018-10-23,5252.7,5252.7,5252.7,5252.7,0,0
2018-10-22,5252.0,5252.0,5252.0,5252.0,0,0
2018-10-21,5331.2,5331.2,5331.2,5331.2,0,0
2018-10-18,5381.5,5381.5,5381.5,5381.5,0,0
2018-10-17,5380.8,5380.8,5380.8,5380.8,0,0
2018-10-16,5399.9,5399.9,5399.9,5399.9,0,0
2018-10-15,5384.4,5384.4,5384.4,5384.4,0,0
2018-10-14,5446.4,5446.4,5446.4,5446.4,0,0
2018-10-11,5435.0,5435.0,5435.0,5435.0,0,0
2018-10-10,5436.2,5436.2,5436.2,5436.2,0,0
2018-10-09,5455.8,5455.8,5455.8,5455.8,0,0
2018-10-08,5440.9,5440.9,5440.9,5440.9,0,0
2018-10-07,5410.8,5410.8,5410.8,5410.8,0,0
2018-10-04,5418.3,5418.3,5418.3,5418.3,0,0
2018-10-03,5422.7,5422.7,5422.7,5422.7,0,0
2018-10-02,5380.9,5380.9,5380.9,5380.9,0,0
2018-10-01,5369.9,5369.9,5369.9,5369.9,0,0
2018-09-30,5369.0,5369.0,5369.0,5369.0,0,0
2018-09-27,5342.9,5342.9,5342.9,5342.9,0,0
2018-09-26,5390.9,5390.9,5390.9,5390.9,0,0
2018-09-25,5386.9,5386.9,5386.9,5386.9,0,0
2018-09-24,5357.5,5357.5,5357.5,5357.5,0,0
2018-09-23,5415.2,5415.2,5415.2,5415.2,0,0
2018-09-20,5467.1,5467.1,5467.1,5467.1,0,0
2018-09-19,5516.5,5516.5,5516.5,5516.5,0,0
2018-09-18,5472.6,5472.6,5472.6,5472.6,0,0
2018-09-17,5443.8,5443.8,5443.8,5443.8,0,0
2018-09-16,5464.2,5464.2,5464.2,5464.2,0,0
2018-09-13,5500.6,5500.6,5500.6,5500.6,0,0
2018-09-12,5528.9,5528.9,5528.9,5528.9,0,0
2018-09-11,5543.9,5543.9,5543.9,5543.9,0,0
2018-09-10,5540.1,5540.1,5540.1,5540.1,0,0
2018-09-09,5549.8,5549.8,5549.8,5549.8,0,0
2018-09-06,5574.2,5574.2,5574.2,5574.2,0,0
2018-09-05,5562.2,5562.2,5562.2,5562.2,0,0
2018-09-04,5552.8,5552.8,5552.8,5552.8,0,0
2018-09-03,5590.4,5590.4,5590.4,5590.4,0,0
2018-08-30,5600.6,5600.6,5600.6,5600.6,0,0
2018-08-29,5610.8,5610.8,5610.8,5610.8,0,0
2018-08-28,5619.4,5619.4,5619.4,5619.4,0,0
2018-08-27,5585.0,5585.0,5585.0,5585.0,0,0
2018-08-26,5596.9,5596.9,5596.9,5596.9,0,0
2018-08-20,5571.2,5571.2,5571.2,5571.2,0,0
2018-08-19,5538.5,5538.5,5538.5,5538.5,0,0
2018-08-16,5467.7,5467.7,5467.7,5467.7,0,0
2018-08-14,5408.5,5408.5,5408.5,5408.5,0,0
2018-08-13,5378.7,5378.7,5378.7,5378.7,0,0
2018-08-12,5407.2,5407.2,5407.2,5407.2,0,0
2018-08-09,5407.0,5407.0,5407.0,5407.0,0,0
2018-08-08,5406.0,5406.0,5406.0,5406.0,0,0
2018-08-07,5381.9,5381.9,5381.9,5381.9,0,0
2018-08-06,5353.4,5353.4,5353.4,5353.4,0,0
2018-08-05,5357.0,5357.0,5357.0,5357.0,0,0
2018-08-02,5399.8,5399.8,5399.8,5399.8,0,0
2018-08-01,5348.2,5348.2,5348.2,5348.2,0,0
2018-07-31,5302.6,5302.6,5302.6,5302.6,0,0
2018-07-30,5262.9,5262.9,5262.9,5262.9,0,0
2018-07-29,5280.1,5280.1,5280.1,5280.1,0,0
2018-07-26,5305.2,5305.2,5305.2,5305.2,0,0
2018-07-25,5319.4,5319.4,5319.4,5319.4,0,0
2018-07-24,5335.4,5335.4,5335.4,5335.4,0,0
2018-07-23,5348.1,5348.1,5348.1,5348.1,0,0
2018-07-22,5339.2,5339.2,5339.2,5339.2,0,0
2018-07-19,5337.4,5337.4,5337.4,5337.4,0,0
2018-07-18,5334.2,5334.2,5334.2,5334.2,0,0
2018-07-17,5325.5,5325.5,5325.5,5325.5,0,0
2018-07-16,5339.9,5339.9,5339.9,5339.9,0,0
2018-07-15,5336.7,5336.7,5336.7,5336.7,0,0
2018-07-12,5358.9,5358.9,5358.9,5358.9,0,0
2018-07-11,5379.2,5379.2,5379.2,5379.2,0,0
2018-07-10,5371.3,5371.3,5371.3,5371.3,0,0
2018-07-09,5341.3,5341.3,5341.3,5341.3,0,0
2018-07-08,5366.0,5366.0,5366.0,5366.0,0,0
2018-07-05,5362.3,5362.3,5362.3,5362.3,0,0
