date,open,high,low,close,volume,openinterest
2019-12-30,33.2,34.3,34.3,32.4,226810,0
2019-12-29,32.8,32.8,33.5,32.3,463560,0
2019-12-26,32.4,32,33,32,10800,0
2019-12-24,31.9,32.7,33.8,31.5,45430,0
2019-12-23,32.7,33,33.2,32,4110,0
2019-12-22,32.1,32,32.8,31.1,16760,0
2019-12-19,32.2,33.5,33.5,32.1,9250,0
2019-12-18,32.2,31.8,32.8,31.8,29480,0
2019-12-17,31.8,33.1,33.2,31.3,43430,0
2019-12-15,32.8,34.1,34.1,32.6,32910,0
2019-12-12,33.8,34.1,34.2,33.7,14100,0
2019-12-11,34,33.3,34.3,33.3,2710,0
2019-12-10,33.9,33.8,34.5,33.4,13660,0
2019-12-09,33.8,34.3,34.3,33,1260000,0
2019-12-08,33.2,34.1,34.1,33,160440,0
2019-12-05,34.5,35.1,35.1,34.2,11850,0
2019-12-04,34.9,34.5,35.1,34.5,61390,0
2019-12-03,34.5,35.5,35.5,34.4,92830,0
2019-12-02,34.7,34.6,35.7,34.6,1730000,0
2019-12-01,34.6,34.7,35,34.5,20880,0
2019-11-28,34.4,34.3,34.7,34.2,1100000,0
2019-11-27,34.3,34.7,34.7,34.1,163660,0
2019-11-26,34.7,34.5,34.7,34.3,11410,0
2019-11-25,34,34,34.3,33.9,36600,0
2019-11-24,34.4,35,35,34.3,88020,0
2019-11-21,35.1,35.2,35.3,34.9,79850,0
2019-11-20,35.1,35.5,35.6,34.6,167790,0
2019-11-19,35.3,35.6,35.6,35.1,42630,0
2019-11-18,35.5,35.3,35.6,34.9,129090,0
2019-11-17,35,34.9,35.4,34.9,58170,0
2019-11-14,34.9,35.4,35.4,34.7,42170,0
2019-11-13,35.3,35.8,35.9,35,163620,0
2019-11-12,35.7,35.5,35.8,35.3,177310,0
2019-11-11,35.5,34.7,35.6,34.5,269060,0
2019-11-07,34.8,35,35.4,34.8,122640,0
2019-11-06,34.8,35.5,35.5,34.7,40770,0
2019-11-05,35.1,35.5,35.5,34.6,72890,0
2019-11-04,35.3,35.6,35.6,34.7,167400,0
2019-11-03,35.6,35.7,35.8,35,122610,0
2019-10-31,35.3,35.2,35.5,34.7,251500,0
2019-10-30,35.1,35.7,35.7,35.1,130100,0
2019-10-29,35.3,35.1,35.7,34.6,174730,0
2019-10-28,34.8,35.7,35.7,34.4,124110,0
2019-10-27,35.4,35.4,35.7,34.8,113830,0
2019-10-24,35.6,35.4,35.9,35.4,69440,0
2019-10-23,35.7,35.9,35.9,35.3,85680,0
2019-10-22,35.7,36,36.6,35.1,156100,0
2019-10-21,35.8,35.3,36.3,34.9,615750,0
2019-10-20,35.2,35.4,35.9,34.8,75380,0
2019-10-17,35,35.2,35.9,34.8,395470,0
2019-10-16,34.9,33.5,35,33.3,298240,0
2019-10-15,34.8,34.8,34.9,34.5,177580,0
2019-10-14,34.7,34.6,34.8,34.5,199360,0
2019-10-13,34.6,34.6,34.7,34,366680,0
2019-10-10,34.6,34.7,34.8,34.4,303750,0
2019-10-09,34.7,34.9,35.3,34.4,16310,0
