date,open,high,low,close,volume,openinterest
2019-12-30,285.8,285.8,286.5,285,167120,0
2019-12-29,285.8,284.3,287.5,284.3,114280,0
2019-12-26,286.9,288,289.9,284,127080,0
2019-12-24,287.2,285,292.3,285,95270,0
2019-12-23,288.8,284.2,296,275.5,310360,0
2019-12-22,284.2,293,293,283,87380,0
2019-12-19,293.3,291.1,294.9,291.1,55840,0
2019-12-18,290,292,292,285.4,122140,0
2019-12-17,291.1,297.2,299.8,288.2,144860,0
2019-12-15,300,296.9,300.5,296,18890,0
2019-12-12,296.9,298.4,299.5,295.9,106120,0
2019-12-11,299,298.4,303.9,298.1,42110,0
2019-12-10,299.1,304,304,298.1,120590,0
2019-12-09,302.6,308,308,301.4,143400,0
2019-12-08,305.9,309.8,309.8,305,32340,0
2019-12-05,307.4,306,310,305,57540,0
2019-12-04,307,310,310,306.3,95870,0
2019-12-03,307.3,311.4,312.7,305.6,199190,0
2019-12-02,311.2,310.1,316,310.1,71510,0
2019-12-01,311.4,318,318,310,40860,0
2019-11-28,318.2,320,322.4,315,93540,0
2019-11-27,319.9,306.5,323,306.5,220550,0
2019-11-26,306.2,306,311.1,304,175240,0
2019-11-25,307.8,312,312,301.1,349810,0
2019-11-24,312,328.9,328.9,309.3,286750,0
2019-11-21,329.5,325,333,324.9,647250,0
2019-11-20,323.1,323.1,325.9,320.5,663950,0
2019-11-19,323,311.5,327,310.2,750290,0
2019-11-18,310.5,310.7,312.9,308.2,197680,0
2019-11-17,310.1,311,312,306.4,68400,0
2019-11-14,306.2,310.1,312.5,303.1,189930,0
2019-11-13,310.1,314.6,315.7,310,135970,0
2019-11-12,315.1,315,317.9,313.9,129130,0
2019-11-11,313.9,315.9,315.9,313.1,74360,0
2019-11-07,313.3,312.1,314.2,312.1,69450,0
2019-11-06,312.9,313,315,312.1,135700,0
2019-11-05,313.1,313.1,316,312.5,83860,0
2019-11-04,314.5,315.1,316.5,313.3,88180,0
2019-11-03,316.5,317,317.6,315.5,74530,0
2019-10-31,317.5,319.6,324,316.3,87410,0
2019-10-30,319.6,321.2,322.4,318,61610,0
2019-10-29,322.1,322.5,323,320.2,52300,0
2019-10-28,322.8,326,326,321.8,56070,0
2019-10-27,324.4,327.6,330.9,320,64580,0
2019-10-24,327.6,324,328.8,320.2,273870,0
2019-10-23,322.7,321.6,324.9,319,523920,0
2019-10-22,321.6,320,325,316,213030,0
2019-10-21,315.4,318.7,321.3,314.5,125830,0
2019-10-20,318.7,317,325,310,142730,0
2019-10-17,317.8,328.1,328.1,310,185980,0
2019-10-16,328.1,330,333,326.6,294870,0
2019-10-15,332.1,324.5,343,324.1,122290,0
2019-10-14,316.5,325,325,315.6,108700,0
2019-10-13,325.4,331.2,332.8,324.4,88380,0
2019-10-10,333,333.5,333.6,331.7,137700,0
2019-10-09,336,341,342,332.4,169890,0
2019-10-07,340.9,345.1,345.1,340.4,100950,0
2019-10-06,345.1,347,347,345,27990,0
2019-10-03,345.1,343.5,347,342.4,58310,0
2019-10-02,344.7,349,349,344,213410,0
2019-10-01,348.9,352.4,352.4,348,74480,0
2019-09-30,352.4,357.9,357.9,350.7,267550,0
2019-09-29,356.9,360,360,355.2,87340,0
2019-09-26,359.4,360,364,357.5,375310,0
2019-09-25,355.1,358,358,351.8,191940,0
2019-09-24,358.4,363.9,363.9,353.2,478750,0
2019-09-23,362.8,361,364.9,356.6,557370,0
2019-09-22,360.5,364,364.6,349.2,1070000,0
2019-09-19,335.3,320,335.3,317,150620,0
2019-09-18,308.4,313.4,314.4,307,114510,0
2019-09-17,312.6,309.9,314.8,309.9,193240,0
2019-09-16,308.2,306.6,309.4,306.6,105040,0
2019-09-15,306.1,305,307.5,301,69170,0
2019-09-12,304.1,305.1,306,296.1,119760,0
2019-09-11,305.1,309.9,309.9,302,170120,0
2019-09-09,308,300,315,297.1,326350,0
2019-09-08,299.2,295.5,300,289.1,86500,0
2019-09-05,295.5,289.4,298,284.7,102940,0
2019-09-04,289.4,294.7,297.4,287.2,241340,0
2019-09-03,294.7,300,304.1,290.4,313480,0
2019-09-02,304.1,312.1,312.1,303,185470,0
2019-09-01,310,312.1,314.9,309,97500,0
2019-08-29,312,316.8,316.8,311.4,245620,0
2019-08-28,316.8,320.1,320.1,316.1,77020,0
2019-08-27,320.1,314.5,322,313.4,128680,0
2019-08-26,313.5,316.7,317,310.2,219100,0
2019-08-25,316.8,319.7,319.7,316.4,103210,0
2019-08-22,319.7,324,325,319,101780,0
2019-08-21,323.3,327,327,322,114150,0
2019-08-20,326.6,324.9,327.2,324.9,173960,0
2019-08-19,323.9,318,327,317.4,208710,0
2019-08-18,317,315.3,318,315.3,53890,0
2019-08-08,317.7,316.9,318.8,316.9,321690,0
2019-08-07,318.8,322.2,322.2,316.9,166550,0
2019-08-06,322.2,321.8,325,321.6,94310,0
2019-08-05,321.4,334,334,320.4,189670,0
2019-08-04,337.1,337.1,337.6,332.4,127440,0
2019-08-01,337.1,333,337.6,332.4,127440,0
2019-07-31,332.4,325.1,333.9,325.1,160840,0
2019-07-30,325.7,326.8,329.9,324.1,155200,0
2019-07-29,327.3,325.2,331,325.2,129840,0
2019-07-28,324.8,324.6,326.8,320.5,115340,0
2019-07-25,324.7,323,325,320.8,156150,0
2019-07-24,320.4,323.2,325,316,212140,0
2019-07-23,323.2,322,329.2,318,138650,0
2019-07-22,322.5,325.3,325.3,322,197940,0
2019-07-21,325.3,325,329.5,325,144270,0
2019-07-18,330.3,330,334.9,328.4,128300,0
2019-07-17,326,330,332.9,325.5,227940,0
2019-07-16,328,329,330.9,325.1,208280,0
2019-07-15,324.4,344.7,344.8,322.8,374510,0
2019-07-14,344.7,333,346.5,331.3,140300,0
2019-07-11,331.6,333,338,330.4,265330,0
2019-07-10,334.1,341.5,341.5,329.1,198230,0
2019-07-09,340.8,346,346,340,238850,0
2019-07-08,345.2,351.7,352,345,105640,0
2019-07-07,351.7,358.8,358.8,340.1,71910,0
2019-07-04,359.8,364,364,359,59780,0
2019-07-03,359.7,364.9,364.9,359.1,103440,0
2019-07-02,360.3,365,365,359.1,128520,0
2019-06-30,364.7,365,366,363.2,90710,0
2019-06-27,365.1,363.5,365.5,363.1,226950,0
2019-06-26,363.1,360,363.9,360,121220,0
2019-06-25,358.9,360.9,360.9,357.9,273390,0
2019-06-24,357.9,359.2,360.2,357.4,77250,0
2019-06-23,360.2,359.6,361.8,359.1,60830,0
2019-06-20,359.3,360.4,363,358,82120,0
2019-06-19,360.4,363.9,365,359,138030,0
2019-06-18,362.7,358.3,364.4,358,106460,0
2019-06-17,357.3,358.1,358.9,356.2,53720,0
2019-06-16,357.9,363.5,364.5,355.6,90500,0
2019-06-13,361.4,360.3,362.9,359.1,102170,0
2019-06-12,361.3,365,365,360,129320,0
2019-06-11,364,357.4,365,357.4,137970,0
2019-06-10,355.8,355.1,359,350.3,123150,0
2019-06-09,356.4,355.1,357.8,355.1,50610,0
2019-05-30,355.1,350,356,350,163260,0
2019-05-29,349.8,350,350,347.1,94200,0
2019-05-28,349.7,341.8,350.3,341.8,180460,0
2019-05-27,341.1,338.6,343.7,338.6,71810,0
2019-05-26,338.2,340,340,337.1,58100,0
2019-05-23,337.9,349.4,349.4,336.7,180200,0
2019-05-22,342.8,344.1,347.8,340.7,71240,0
2019-05-21,343.4,347.1,347.9,342.2,106500,0
2019-05-20,348,350.1,350.1,347.4,39640,0
2019-05-19,351.1,348.3,352.9,347.5,94800,0
2019-05-16,345.3,346.4,348.6,343.2,63660,0
2019-05-15,346.4,346,350,345,93510,0
2019-05-14,346.6,350.5,350.5,340.3,162570,0
2019-05-13,348.1,351.5,352.2,347,195710,0
2019-05-12,352.4,356,356,352,46540,0
2019-05-09,354.1,358.7,358.8,352.9,68160,0
2019-05-08,354.6,356,358,353.8,99600,0
2019-05-07,354.4,360,361,351,220070,0
2019-05-06,359.4,362.1,362.5,358.6,133780,0
2019-05-05,362.5,361.9,363.5,360,61820,0
2019-05-02,358.2,358.7,362,357,261040,0
2019-04-30,358.7,361,362,358,112810,0
2019-04-29,360,365.5,365.5,358.6,149770,0
2019-04-28,365.2,365,367.7,360,55870,0
2019-04-25,364.2,371,371.7,362.3,118170,0
2019-04-24,367.9,374.8,374.8,367.5,152500,0
2019-04-23,369.4,372.4,375,368.5,53900,0
2019-04-21,374,368.5,377.5,368,99040,0
2019-04-18,368.4,372.5,372.5,367.1,137050,0
2019-04-17,372.9,375.8,375.8,370,118150,0
2019-04-16,371.7,378.9,380,369.8,184420,0
2019-04-15,377.8,369.8,379.9,369.8,150820,0
2019-04-11,367.7,364,369.5,357,204410,0
2019-04-10,357.6,363,363,355.5,490630,0
2019-04-09,362,373,373,360.5,250760,0
2019-04-08,370.9,376,376,365.7,615940,0
2019-04-07,375.5,385,385.5,375.1,366940,0
2019-04-04,387.9,399,399,387.4,387760,0
2019-04-03,399.4,407,407,397.3,430490,0
2019-04-02,409.6,417,419,409,277800,0
2019-04-01,417,409.2,419.7,409,624790,0
2019-03-31,409.2,407,411,404.5,265400,0
2019-03-28,407.4,410,410.9,405.5,209150,0
2019-03-27,408.5,410.1,411.9,405,304690,0
2019-03-25,409.5,401.4,410.5,399.1,568690,0
2019-03-24,401.4,398,404.8,397.3,340110,0
2019-03-21,397.3,399,399,394,85900,0
2019-03-20,394.9,394,402,394,476780,0
2019-03-19,391.7,389,394.2,389,166720,0
2019-03-18,388.4,385.5,389.9,385.5,72460,0
2019-03-14,387.1,385,392.8,385,100090,0
2019-03-13,385.5,391.7,393.9,385,265310,0
2019-03-12,392.9,384.3,395.2,384,299040,0
2019-03-11,384.9,385.8,385.8,384,145800,0
2019-03-10,385.3,387,387.2,385,62320,0
2019-03-07,385.8,390,393.8,384,262560,0
