date,open,high,low,close,volume,openinterest
2019-12-30,24.67,24.86,25.14,24.29,78000,0
2019-12-29,24.76,24.57,25.05,24.57,18500,0
2019-12-26,24.57,24,24.67,23.9,28930,0
2019-12-24,24,23.71,24.1,23.62,27770,0
2019-12-23,23.71,23.81,24,23.33,36310,0
2019-12-22,23.81,24.57,24.57,23.81,44870,0
2019-12-19,23.71,24.67,24.67,23.43,25170,0
2019-12-18,24.19,23.9,24.29,23.9,19540,0
2019-12-17,23.81,24.67,24.67,23.52,19480,0
2019-12-15,24.76,24.76,24.86,24.57,29800,0
2019-12-12,24.29,24.1,24.38,24,29130,0
2019-12-11,24,24.76,24.76,23.9,14650,0
2019-12-10,24.29,25.52,25.52,24.19,20780,0
2019-12-09,24.57,25.14,25.14,24.48,25440,0
2019-12-08,25.43,26,26.29,25.14,14110,0
2019-12-05,26.1,26.67,26.67,26,79830,0
2019-12-04,26.67,26.86,26.95,26.29,45390,0
2019-12-03,26.48,26.48,27.05,26.19,59640,0
2019-12-02,26.86,27.33,27.9,26.86,28640,0
2019-12-01,26.19,27.05,27.05,26,26260,0
2019-11-28,27.33,28.29,28.29,26.95,118620,0
2019-11-27,27.9,27.52,28.29,27.43,48710,0
2019-11-26,27.81,27.81,27.9,26.95,92350,0
2019-11-25,26.76,26.67,27.14,26.48,21610,0
2019-11-24,26.86,27.14,27.81,25.81,123860,0
2019-11-21,26.39,27.66,27.66,26.3,73630,0
2019-11-20,27.48,27.21,27.57,26.76,68670,0
2019-11-19,26.76,26.67,27.66,26.58,88560,0
2019-11-18,26.67,25.76,27.03,25.58,74640,0
2019-11-17,26.12,27.12,27.12,26.12,22600,0
2019-11-14,26.94,27.66,27.66,26.85,51540,0
2019-11-13,26.85,27.66,27.76,26.58,87030,0
2019-11-12,28.03,28.03,28.03,27.57,33080,0
2019-11-11,27.76,28.12,28.12,27.66,16040,0
2019-11-07,27.57,27.57,28.12,27.39,111920,0
2019-11-06,27.3,28.03,28.03,27.12,255710,0
2019-11-05,28.03,27.94,28.48,27.94,7520,0
2019-11-04,27.94,28.12,28.39,27.85,101430,0
2019-11-03,28.3,28.3,28.39,28.12,18430,0
2019-10-31,28.21,28.12,28.39,28.12,49200,0
2019-10-30,28.39,28.66,28.66,28.03,13760,0
2019-10-29,28.3,28.57,28.57,28.12,60590,0
2019-10-28,28.48,28.21,28.66,28.03,42720,0
2019-10-27,28.75,28.12,29.21,28.12,38140,0
2019-10-24,28.12,27.66,28.57,27.66,6140,0
2019-10-23,28.12,28.12,28.57,27.94,21810,0
2019-10-22,28.48,28.48,28.84,28.39,66760,0
2019-10-21,29.02,28.66,29.21,27.85,50930,0
2019-10-20,27.94,27.76,28.3,27.66,37200,0
2019-10-17,28.12,28.93,28.93,27.94,11940,0
2019-10-16,28.93,28.93,29.48,28.3,79760,0
2019-10-15,27.66,28.48,28.48,27.57,283180,0
2019-10-14,27.39,28.12,28.39,27.21,32900,0
2019-10-13,28.12,28.66,28.66,27.3,30960,0
2019-10-10,28.66,28.84,28.84,28.57,8400,0
2019-10-09,28.84,28.84,29.48,28.75,41520,0
2019-10-07,28.93,28.84,28.93,28.84,4980,0
2019-10-06,28.93,28.66,29.21,28.66,22660,0
2019-10-03,28.75,29.02,29.02,28.66,35430,0
2019-10-02,29.02,29.39,29.39,28.84,30050,0
2019-10-01,29.39,29.12,29.75,29.12,23080,0
2019-09-30,29.48,29.84,29.84,29.02,26180,0
2019-09-29,29.3,29.48,30.84,29.02,65970,0
2019-09-26,29.12,29.02,29.48,28.57,83780,0
2019-09-25,28.84,29.75,29.75,28.66,150820,0
2019-09-24,29.02,29.66,29.66,28.75,21540,0
2019-09-23,28.57,29.75,29.75,28.48,116990,0
2019-09-22,29.57,29.57,29.93,29.39,123120,0
2019-09-19,29.57,29.84,29.93,29.39,180290,0
2019-09-18,29.48,29.48,29.84,29.39,53220,0
2019-09-17,29.48,30.02,30.02,29.21,31710,0
2019-09-16,29.57,30.29,30.29,29.12,66050,0
2019-09-15,29.39,29.93,29.93,28.84,41160,0
2019-09-12,29.93,30.02,30.48,29.93,89700,0
2019-09-11,30.29,30.2,30.66,30.02,113760,0
2019-09-09,30.57,30.39,30.66,30.02,48840,0
2019-09-08,30.11,29.93,30.29,29.66,67380,0
2019-09-05,29.93,29.93,29.93,29.75,97770,0
2019-09-04,29.75,30.02,30.11,29.57,99540,0
2019-09-03,30.48,30.39,30.57,30.02,199310,0
