date,open,high,low,close,volume,openinterest
2019-12-30,45.4,45.4,45.6,44.9,258510,0
2019-12-29,44.9,45.4,46,44.5,108980,0
2019-12-26,45,46.9,46.9,44.9,263940,0
2019-12-24,45.9,46.3,46.6,45.7,70820,0
2019-12-23,46.4,46.4,46.9,46.1,73090,0
2019-12-22,46.2,46.9,46.9,46,61760,0
2019-12-19,46.7,47.2,47.2,46.2,51020,0
2019-12-18,46.5,46,47,45,60010,0
2019-12-17,45.6,47.9,47.9,45.1,93180,0
2019-12-15,47.1,48,48.2,46.8,85840,0
2019-12-12,48,50.5,50.5,47.5,134620,0
2019-12-11,49.9,49.4,50.4,49.3,19200,0
2019-12-10,50.3,50.5,51,50,46410,0
2019-12-09,50.5,51.6,52,50.2,48900,0
2019-12-08,50.2,50.7,52.4,50.1,105390,0
2019-12-05,50.7,51.9,51.9,50.2,99350,0
2019-12-04,51.1,50.6,51.4,50.3,82150,0
2019-12-03,50.6,51.4,51.6,50.3,51360,0
2019-12-02,51.3,52.3,52.3,51,110740,0
2019-12-01,52.2,52,52.8,51.8,85370,0
2019-11-28,51.8,51.2,52,50.3,37430,0
2019-11-27,51.2,52,52.4,51,103620,0
2019-11-26,52,51,52.4,50.5,135240,0
2019-11-25,50.3,51,51.3,49,260490,0
2019-11-24,50.2,51,51.4,49.5,88270,0
2019-11-21,50.4,50.7,51,49.9,200650,0
2019-11-20,50.4,50.9,50.9,49.7,179270,0
2019-11-19,50.3,50.1,50.9,50,63710,0
2019-11-18,50.5,50,50.9,49.8,77990,0
2019-11-17,49.9,50,50.5,49.6,62670,0
2019-11-14,50,49.1,50.5,49.1,75020,0
2019-11-13,49.7,50.8,51,49.5,130690,0
2019-11-12,50.8,51.1,51.2,50.1,124160,0
2019-11-11,50.8,50,51,49.8,138610,0
2019-11-07,49.8,49.5,50,49.1,164700,0
2019-11-06,49.2,48.7,49.5,48.7,132820,0
2019-11-05,48.4,48.8,48.8,48,35370,0
2019-11-04,48.5,49,49,47.9,88860,0
2019-11-03,48,48,49,47.8,60160,0
2019-10-31,47.9,50,50,46.9,471850,0
2019-10-30,50.6,50.1,51.9,50.1,234070,0
2019-10-29,50.7,49.5,51.5,47.8,518120,0
2019-10-28,48.7,48,49.1,47.5,150290,0
2019-10-27,47.9,47.9,48,47.4,45970,0
2019-10-24,47.6,47.2,48.2,47.2,342360,0
2019-10-23,47.1,47.3,47.3,46.6,88810,0
2019-10-22,47.1,46.7,47.4,46.3,169700,0
2019-10-21,46.7,46.7,46.9,46.6,51760,0
2019-10-20,46.9,47,47,46.8,105800,0
2019-10-17,47,46.5,47.7,46.5,80930,0
2019-10-16,46.9,48,48,46.8,82550,0
2019-10-15,47.9,47.8,48.1,47.3,74670,0
2019-10-14,46.7,47,47.2,46.6,152950,0
2019-10-13,46.9,47.8,47.8,46.6,141120,0
2019-10-10,46.7,47.4,47.4,46.7,91270,0
2019-10-09,47.4,48.1,48.1,46.7,86980,0
2019-10-07,48.1,48.5,48.5,47.7,20860,0
2019-10-06,48.5,48.7,48.7,48.1,144670,0
2019-10-03,49,48.9,49.4,48.7,103400,0
2019-10-02,48.6,47.6,48.8,47.6,40670,0
2019-10-01,47.9,48.9,49,47.8,92610,0
2019-09-30,48.8,48.9,49.7,47.8,193930,0
2019-09-29,48,48.2,48.7,47.8,73700,0
2019-09-26,48.8,48.4,49,47.6,139040,0
2019-09-25,48.3,48,48.7,47.7,83860,0
2019-09-24,48.6,49.7,49.7,48.3,310040,0
2019-09-23,49,47.8,50,47.8,415280,0
2019-09-22,47.4,47.5,47.7,46.6,164720,0
