date,open,high,low,close,volume,openinterest
2019-12-30,45.29,46.08,46.18,45.2,329510,0
2019-12-29,45.78,46.08,46.86,45.49,475840,0
2019-12-26,45.39,45.1,46.37,44.71,430280,0
2019-12-24,45,44.51,45.59,43.82,346830,0
2019-12-23,44.8,46.18,47.35,44.41,1090000,0
2019-12-22,46.18,44.12,46.57,42.16,568780,0
2019-12-19,44.61,42.06,45,42.06,1090000,0
2019-12-18,42.06,40.2,42.65,39.71,579900,0
2019-12-17,40.59,40.78,41.18,40.2,479930,0
2019-12-15,40.98,42.55,42.55,40.78,229700,0
2019-12-12,42.35,39.31,42.65,38.63,1120000,0
2019-12-11,39.41,38.14,40,37.84,442780,0
2019-12-10,37.35,37.06,38.33,37.06,261530,0
2019-12-09,37.06,37.55,37.75,36.86,133430,0
2019-12-08,37.75,39.02,39.02,37.55,80070,0
2019-12-05,38.43,39.31,39.31,38.24,140280,0
2019-12-04,38.73,38.63,39.8,38.53,191330,0
2019-12-03,38.63,40.2,40.2,38.43,137450,0
2019-12-02,39.22,40.88,40.88,38.92,287350,0
2019-12-01,38.63,39.31,39.51,38.24,268930,0
2019-11-28,41.57,41.67,42.45,41.08,260640,0
2019-11-27,41.57,40.49,43.14,40.39,649970,0
2019-11-26,40.2,39.02,40.69,39.02,347240,0
2019-11-25,38.92,39.22,40.1,38.82,158250,0
2019-11-24,39.22,38.04,40.2,38.04,329860,0
2019-11-21,38.14,38.24,38.63,37.75,146990,0
2019-11-20,37.55,39.22,39.22,37.45,383020,0
2019-11-19,39.61,39.9,40.59,39.41,247750,0
2019-11-18,39.8,41.67,41.67,39.22,293430,0
2019-11-17,42.06,42.06,42.35,41.37,128380,0
2019-11-14,41.96,42.65,42.65,41.67,128800,0
2019-11-13,42.65,44.31,44.31,42.25,333740,0
2019-11-12,44.31,44.51,45.29,44.02,205500,0
2019-11-11,44.02,43.33,44.41,42.94,367360,0
2019-11-07,43.24,41.67,43.63,41.67,616870,0
2019-11-06,41.67,41.76,42.55,41.18,242780,0
2019-11-05,41.67,42.55,42.65,41.47,128550,0
2019-11-04,42.65,42.25,43.43,42.16,303920,0
2019-11-03,42.25,42.16,42.84,41.18,213080,0
2019-10-31,42.16,40.49,42.55,39.8,297540,0
2019-10-30,40.49,42.35,42.55,39.71,346880,0
2019-10-29,41.96,42.94,43.14,41.67,145790,0
2019-10-28,43.14,45,45.29,42.35,359340,0
2019-10-27,47.16,45.88,48.04,45.2,245200,0
2019-10-24,46.08,44.61,46.76,43.82,329020,0
2019-10-23,44.12,45.88,45.88,42.55,241440,0
2019-10-22,45.78,49.22,49.22,45.2,311700,0
2019-10-21,49.22,49.71,49.71,48.92,183800,0
2019-10-20,49.51,50.29,50.88,49.02,323100,0
2019-10-17,50.59,53.04,53.14,50,242290,0
2019-10-16,53.04,50.2,53.43,50.2,353700,0
2019-10-15,49.12,50.2,50.49,48.63,212980,0
2019-10-14,49.12,50.88,50.98,48.92,247450,0
2019-10-13,50.88,53.92,53.92,49.8,420360,0
2019-10-10,53.73,56.96,56.96,53.14,234410,0
2019-10-09,57.06,57.35,57.84,56.96,87590,0
2019-10-07,57.65,58.53,58.73,57.35,67140,0
2019-10-06,58.04,59.61,59.61,57.84,138940,0
2019-10-03,58.53,59.22,59.8,58.43,142100,0
