date,open,high,low,close,volume,openinterest
2019-12-30,9,8.91,9,8.82,2170000,0
2019-12-29,8.91,8.91,9,8.82,1690000,0
2019-12-26,8.91,8.82,9,8.82,2300000,0
2019-12-24,8.73,8.73,8.82,8.64,2080000,0
2019-12-23,8.73,8.82,8.91,8.64,2460000,0
2019-12-22,8.82,8.82,8.91,8.73,1440000,0
2019-12-19,8.82,8.73,8.91,8.73,3000000,0
2019-12-18,8.73,8.73,8.82,8.55,2690000,0
2019-12-17,8.64,8.82,8.82,8.55,2910000,0
2019-12-15,8.82,8.82,8.91,8.73,1440000,0
2019-12-12,8.82,8.73,8.91,8.73,2060000,0
2019-12-11,8.73,8.82,8.91,8.64,1290000,0
2019-12-10,8.82,8.91,9.09,8.73,2480000,0
2019-12-09,8.91,9,9,8.73,1270000,0
2019-12-08,8.91,9,9.09,8.82,3190000,0
2019-12-05,9.09,9.27,9.36,9,3650000,0
2019-12-04,9.27,9.27,9.45,9.18,2210000,0
2019-12-03,9.27,9.45,9.45,9.18,3280000,0
2019-12-02,9.45,9.36,9.73,9.27,10120000,0
2019-12-01,9.27,8.82,9.36,8.82,7680000,0
2019-11-28,8.82,8.91,8.91,8.64,2770000,0
2019-11-27,8.91,8.73,9.09,8.73,3950000,0
2019-11-26,8.64,8.45,8.91,8.45,6320000,0
2019-11-25,8.45,8.45,8.55,8.36,4100000,0
2019-11-24,8.45,8.73,8.73,8.36,4680000,0
2019-11-21,8.64,8.73,8.73,8.55,2480000,0
2019-11-20,8.64,8.73,8.82,8.64,1760000,0
2019-11-19,8.73,8.73,8.82,8.64,1320000,0
2019-11-18,8.73,8.91,8.91,8.73,791340,0
2019-11-17,8.82,8.91,8.91,8.73,929700,0
2019-11-14,8.82,8.82,8.91,8.73,603870,0
2019-11-13,8.82,8.91,9,8.82,1240000,0
2019-11-12,8.91,9,9,8.82,1070000,0
2019-11-11,9,9,9.09,8.91,738100,0
2019-11-07,9.09,9,9.09,8.91,1980000,0
2019-11-06,9,8.91,9.09,8.91,1720000,0
2019-11-05,8.91,8.91,9,8.82,889120,0
2019-11-04,8.91,9.09,9.09,8.91,1130000,0
2019-11-03,9.09,9.09,9.27,9,1950000,0
2019-10-31,9.09,9.18,9.27,9,1420000,0
2019-10-30,9.18,9.09,9.18,8.91,2720000,0
2019-10-29,9,9.09,9.09,8.91,1340000,0
2019-10-28,9,9.18,9.18,8.91,2270000,0
2019-10-27,9.18,9.45,9.45,9.09,1220000,0
2019-10-24,9.27,9.09,9.27,9,4680000,0
2019-10-23,9.09,9,9.09,8.91,3510000,0
2019-10-22,9,9.09,9.18,8.82,3530000,0
2019-10-21,9.09,8.82,9.18,8.73,5470000,0
2019-10-20,8.82,8.82,8.91,8.55,2360000,0
2019-10-17,8.82,8.45,8.82,8.45,3900000,0
2019-10-16,8.55,8.64,8.64,8.36,1730000,0
2019-10-15,8.55,8.36,8.55,8.36,2450000,0
2019-10-14,8.27,8.27,8.36,8.18,2810000,0
2019-10-13,8.18,8.27,8.36,8.09,1730000,0
2019-10-10,8.27,8.45,8.45,8.18,1270000,0
2019-10-09,8.45,8.45,8.55,8.36,2040000,0
2019-10-07,8.45,8.55,8.55,8.36,836630,0
2019-10-06,8.55,8.64,8.64,8.45,664500,0
2019-10-03,8.64,8.64,8.73,8.55,1080000,0
2019-10-02,8.64,8.73,8.73,8.55,1410000,0
2019-10-01,8.73,8.82,8.91,8.64,1870000,0
2019-09-30,8.82,8.73,8.91,8.64,3290000,0
2019-09-29,8.73,8.55,8.91,8.55,3560000,0
2019-09-26,8.55,8.55,8.64,8.45,1610000,0
