date,open,high,low,close,volume,openinterest
2019-12-30,17.14,17.14,17.33,16.95,1500000,0
2019-12-29,17.14,17.33,17.52,17.05,940390,0
2019-12-26,17.14,16.67,17.33,16.67,1850000,0
2019-12-24,16.57,16.38,16.76,16.29,777990,0
2019-12-23,16.38,16.86,16.95,16.19,855210,0
2019-12-22,16.86,17.05,17.14,16.57,1130000,0
2019-12-19,17.05,16.38,17.52,16.38,2270000,0
2019-12-18,16.19,16,16.29,15.71,1260000,0
2019-12-17,15.9,16.57,16.57,15.81,1570000,0
2019-12-15,16.67,17.14,17.14,16.57,1130000,0
2019-12-12,16.95,16.86,17.14,16.57,1110000,0
2019-12-11,16.76,16.76,17.14,16.67,1340000,0
2019-12-10,16.76,17.14,17.33,16.67,936380,0
2019-12-09,16.76,17.24,17.24,16.57,2340000,0
2019-12-08,17.14,18.1,18.1,17.05,2420000,0
2019-12-05,18.1,18.38,18.48,18,3290000,0
2019-12-04,18.38,18.57,18.86,18.19,2500000,0
2019-12-03,18.48,18.1,18.86,17.81,3750000,0
2019-12-02,18,18.67,18.95,17.9,3850000,0
2019-12-01,18.57,18.57,19.33,18.38,5400000,0
2019-11-28,18.57,17.52,18.86,17.33,5570000,0
2019-11-27,17.52,17.81,18.29,17.24,5700000,0
2019-11-26,17.81,16.76,18,16.76,7010000,0
2019-11-25,16.76,16.38,16.86,16.1,4130000,0
2019-11-24,16.19,16.38,16.67,16.1,1930000,0
2019-11-21,16.38,15.9,16.67,15.9,3620000,0
2019-11-20,15.81,16,16.19,15.71,1550000,0
2019-11-19,16,16.38,16.48,15.9,2380000,0
2019-11-18,16.38,16.19,16.76,16.1,3430000,0
2019-11-17,16.19,15.71,16.67,15.52,5210000,0
2019-11-14,15.62,15.24,15.62,15.05,2640000,0
2019-11-13,15.24,15.71,15.9,15.05,2980000,0
2019-11-12,15.81,15.71,16.19,15.52,3920000,0
2019-11-11,16,15.05,16.1,14.86,2600000,0
2019-11-07,15.05,14.95,15.71,14.67,3900000,0
2019-11-06,14.95,13.81,14.95,13.52,6260000,0
2019-11-05,13.62,13.62,13.81,13.43,986390,0
2019-11-04,13.62,13.81,13.9,13.52,494020,0
2019-11-03,13.81,13.71,14,13.62,1510000,0
2019-10-31,13.71,13.62,13.81,13.43,1110000,0
2019-10-30,13.62,13.52,13.81,13.33,2320000,0
2019-10-29,13.33,13.52,13.81,13.24,726290,0
2019-10-28,13.52,13.9,13.9,13.43,462620,0
2019-10-27,13.9,14.1,14.1,13.81,476580,0
2019-10-24,14.1,13.9,14.19,13.71,634560,0
2019-10-23,13.81,13.81,14,13.62,590720,0
2019-10-22,13.81,14.19,14.19,13.71,671970,0
2019-10-21,14.1,14.29,14.38,14,951410,0
2019-10-20,14.19,14.19,14.29,14.1,562090,0
2019-10-17,14.19,14.38,14.38,14.1,508560,0
2019-10-16,14.29,14.48,14.57,14.19,827550,0
2019-10-15,14.38,14.29,14.48,14.29,1560000,0
2019-10-14,14,14.1,14.29,13.9,883430,0
2019-10-13,14.1,14.67,14.76,14,1030000,0
2019-10-10,14.57,14.95,15.05,14.48,759220,0
2019-10-09,14.95,15.14,15.24,14.95,505910,0
2019-10-07,15.14,15.33,15.33,15.14,330970,0
2019-10-06,15.33,15.33,15.52,15.24,475830,0
2019-10-03,15.43,15.43,15.52,15.24,1150000,0
2019-10-02,15.33,15.71,15.71,15.33,2290000,0
2019-10-01,15.62,16,16,15.62,898800,0
2019-09-30,15.81,15.62,16.29,15.52,3480000,0
2019-09-29,15.43,15.43,15.62,15.24,1830000,0
2019-09-26,15.33,15.33,15.62,15.14,1120000,0
2019-09-25,15.33,15.52,15.52,15.05,1260000,0
2019-09-24,15.52,15.81,15.9,15.43,515480,0
2019-09-23,15.62,15.24,16.1,15.24,2710000,0
2019-09-22,14.95,14.86,15.05,14.67,428190,0
2019-09-19,14.86,15.05,15.05,14.67,932430,0
2019-09-18,14.95,15.14,15.43,14.86,646540,0
2019-09-17,15.05,15.24,15.43,15.05,513080,0
2019-09-16,15.24,15.33,15.52,15.14,1170000,0
2019-09-15,15.33,15.33,15.52,15.24,366880,0
2019-09-12,15.43,15.33,15.62,15.24,816990,0
2019-09-11,15.43,15.9,16,15.33,669350,0
2019-09-09,15.9,16.38,16.38,15.9,1260000,0
2019-09-08,16.19,16.19,16.48,15.9,1690000,0
2019-09-05,15.9,16,16.19,15.9,1520000,0
2019-09-04,15.9,16.1,16.19,15.81,504500,0
