date,open,high,low,close,volume,openinterest
2019-12-30,33.6,33.9,34.1,33.5,689130,0
2019-12-29,33.8,34,34.3,33.7,540410,0
2019-12-26,33.9,34,34.4,33.7,715260,0
2019-12-24,33.8,34.3,34.6,33.5,650970,0
2019-12-23,34.1,34.7,35.2,33.9,767010,0
2019-12-22,34.6,35,35.4,34.4,736680,0
2019-12-19,34.8,35,35.7,34.6,1080000,0
2019-12-18,34.7,34.7,35.1,34.2,953760,0
2019-12-17,34.5,35.9,36,34.3,1160000,0
2019-12-15,35.4,36.8,37.6,35.1,860270,0
2019-12-12,36.7,35.6,37.9,34.9,2260000,0
2019-12-11,35.3,34.8,35.7,34.4,1310000,0
2019-12-10,34.5,34.7,35.5,34.3,1280000,0
2019-12-09,34.7,35.2,35.7,34.5,999030,0
2019-12-08,35.2,36.2,36.8,35,1890000,0
2019-12-05,36.2,37.6,37.9,35.9,2220000,0
2019-12-04,37.6,39,39.5,37.3,2250000,0
2019-12-03,38.7,36.5,39.5,35.6,4270000,0
2019-12-02,36.5,39.6,40,35.6,3670000,0
2019-12-01,39.4,39.8,41.3,38.6,7120000,0
2019-11-28,38.5,36.3,38.5,36,2010000,0
2019-11-27,35,32.5,35,32.2,12820000,0
2019-11-26,31.9,32,32.3,31.8,560620,0
2019-11-25,31.9,31.9,32,31.6,195610,0
2019-11-24,31.8,32,32,31.7,267850,0
2019-11-21,31.6,32,32.1,31.5,284880,0
2019-11-20,31.9,32,32.2,31.8,154580,0
2019-11-19,31.9,31.9,32.4,31.8,308430,0
2019-11-18,31.8,32,32,31.8,226690,0
2019-11-17,31.8,32.1,32.3,31.7,231740,0
2019-11-14,32.1,32.1,32.4,31.6,456350,0
2019-11-13,31.8,32.4,32.4,31.5,448160,0
2019-11-12,32.4,32.5,32.6,32.2,184230,0
2019-11-11,32.1,32.9,32.9,32,565430,0
2019-11-07,32.4,32.3,32.8,32.2,498660,0
2019-11-06,32.2,32.3,32.5,32,554540,0
2019-11-05,32.1,32,32.3,32,294160,0
2019-11-04,32,33,33,31.9,476680,0
2019-11-03,32.7,32.7,33.1,32.5,431910,0
2019-10-31,32.5,33,33.2,32.4,350840,0
2019-10-30,32.9,33.5,33.5,32.6,403990,0
2019-10-29,33.3,33.2,33.7,33,292190,0
2019-10-28,33.5,33.8,34,33.1,310040,0
2019-10-27,33.9,34,35.9,33.7,680840,0
2019-10-24,33.6,32.9,33.8,32.7,373760,0
2019-10-23,33,32.5,33.1,32.3,511920,0
2019-10-22,32.7,32.9,32.9,32.4,340690,0
2019-10-21,32.9,32.3,33,32.2,373110,0
2019-10-20,32.6,32.1,33,31.5,540960,0
2019-10-17,32,31.9,32.3,31.4,325830,0
2019-10-16,31.9,32.5,32.5,31.4,287460,0
2019-10-15,32,31.5,32.3,31.1,708850,0
2019-10-14,31,32.6,32.8,30.7,916470,0
2019-10-13,32.8,34.7,34.8,31.9,438390,0
2019-10-10,34.7,35.3,35.3,34.5,217940,0
2019-10-09,35.3,35.7,35.7,35.2,159770,0
2019-10-07,35.8,36.1,36.1,35.5,114920,0
2019-10-06,35.9,36.3,36.7,35.7,233740,0
2019-10-03,36,36.1,36.5,35.8,387520,0
2019-10-02,36.1,36.4,36.9,36.1,170830,0
2019-10-01,36.3,36.1,36.6,35.9,172880,0
2019-09-30,35.8,36.7,36.9,35.5,329290,0
2019-09-29,36.7,37,37.7,36.6,135400,0
2019-09-26,36.7,37,37.3,36.6,135090,0
2019-09-25,37,37,37.3,36.5,114910,0
2019-09-24,36.9,37.2,37.5,36.8,150150,0
2019-09-23,37.3,36.8,37.7,36.8,162340,0
2019-09-22,36.9,36.7,37.1,36.2,139870,0
2019-09-19,36.7,36.6,37.3,36.5,245600,0
2019-09-18,36.6,37.2,37.5,36.5,184480,0
2019-09-17,37.3,37.2,37.8,37.1,167070,0
2019-09-16,37.4,37.2,37.6,37.2,145140,0
2019-09-15,37.5,36.7,37.9,36.7,155990,0
2019-09-12,37.1,37.3,38,36.6,210280,0
2019-09-11,36.8,37.4,37.5,36.6,219850,0
2019-09-09,37.4,37.9,37.9,37.1,164290,0
2019-09-08,37.4,38,38,37.3,132910,0
2019-09-05,37.5,37.6,38.5,37.2,92440,0
2019-09-04,37.2,37.6,38,37.1,224340,0
2019-09-03,37.7,37.9,38.5,37.6,159400,0
2019-09-02,38,38.1,38.9,37.8,182540,0
2019-09-01,38.2,38.4,39.1,38.1,137140,0
2019-08-29,38.6,39.3,39.5,38.3,286790,0
2019-08-28,38.9,39.4,39.4,38.8,74290,0
2019-08-27,39,39.6,40.3,38.8,306840,0
2019-08-26,39.1,39.1,39.5,38.5,245950,0
2019-08-25,39.2,39.9,40,39,555510,0
2019-08-22,39.9,40,40.2,39.8,231710,0
2019-08-21,40,40.1,40.3,39.8,241020,0
2019-08-20,40.1,40.5,40.5,40,144090,0
2019-08-19,40.4,40,40.5,40,212820,0
2019-08-18,40.1,40,40.6,40,193300,0
2019-08-08,40.2,39.7,40.4,39.7,289610,0
2019-08-07,39.8,39.5,40.1,39.5,403230,0
2019-08-06,39.7,39.6,40.2,39.5,503280,0
2019-08-05,39.6,39.4,40,39.2,497170,0
2019-08-04,39.6,39.9,40.5,39.4,371690,0
2019-08-01,39.7,40,40.4,39.3,353490,0
2019-07-31,39.9,40,40.4,39.1,931140,0
2019-07-30,39.9,40.4,40.5,39.5,519640,0
2019-07-29,40.6,38.9,40.8,38.7,1100000,0
2019-07-28,39,38.7,39.4,38.4,505220,0
2019-07-25,38.4,37.9,39.1,37.7,534560,0
2019-07-24,37.8,37,38,37,364740,0
2019-07-23,37.2,36.4,37.5,36.3,169100,0
2019-07-22,36.1,36.7,36.7,36,298170,0
2019-07-21,36.6,36.4,38,36.4,350810,0
2019-07-18,37.6,37,38,37,495600,0
2019-07-17,37.3,36.8,37.6,36.5,525640,0
2019-07-16,36.6,36.2,36.7,36.2,186230,0
