date,open,high,low,close,volume,openinterest
2019-12-30,163.8,161.8,164.9,161.5,15370,0
2019-12-29,161.8,161.5,162.3,160.6,5600,0
2019-12-26,159.9,159,160.4,158.5,41330,0
2019-12-24,160,160.3,161.7,159.5,22180,0
2019-12-23,160.1,161,162,159.5,18770,0
2019-12-22,161.3,162.6,162.6,160.5,10960,0
2019-12-19,163.5,160.3,165,160.3,23270,0
2019-12-18,160.3,162.7,162.7,158.6,35570,0
2019-12-17,161.8,163.5,163.6,161,22480,0
2019-12-15,162.8,165,165,159.9,41010,0
2019-12-12,163.7,166,166.5,162.8,49360,0
2019-12-11,165.9,166.2,169.7,165.4,41580,0
2019-12-10,168.3,170.1,172,167.5,37970,0
2019-12-09,169.9,170.5,172.1,168.5,23010,0
2019-12-08,172.7,177.6,177.6,171.6,15460,0
2019-12-05,175.6,178,178,175.2,61740,0
2019-12-04,177.7,178.2,180,177,25020,0
2019-12-03,179.4,180.1,182,178,50810,0
2019-12-02,178.7,193,193,177.1,124040,0
2019-12-01,193.8,193.8,193.8,193.8,0,0
2019-11-28,193.8,193.7,193.9,192.8,219240,0
2019-11-27,193.6,194,194.6,193.5,373260,0
2019-11-26,193.7,197,197,193.1,564080,0
2019-11-25,194.2,193.2,194.5,193.2,302130,0
2019-11-24,193.7,194.1,194.9,193.6,170740,0
2019-11-21,194.2,194.8,194.8,193.8,89610,0
2019-11-20,194.6,194.1,196,194,126660,0
2019-11-19,194.5,193.6,194.9,193,47210,0
2019-11-18,193.6,195.8,195.8,192.4,51780,0
2019-11-17,193.8,197,197,193.4,36230,0
2019-11-14,195.1,194.5,196.5,194.5,46430,0
2019-11-13,195,197,197,194.7,51900,0
2019-11-12,195.5,202.7,202.7,194.6,100220,0
2019-11-11,195.6,199,203.3,119,150570,0
2019-11-07,196.1,194,201,194,172610,0
2019-11-06,198.4,197.7,199.2,194.5,81510,0
2019-11-05,196.5,200,200,194,39370,0
2019-11-04,197.3,196.9,201.4,194.6,193720,0
2019-11-03,196,190.9,197.1,190.5,71650,0
2019-10-31,189.4,188.9,189.7,187.6,36800,0
2019-10-30,187.9,187.3,189.7,186,18900,0
2019-10-29,187.6,189.9,190,187,31530,0
2019-10-28,189.9,190.1,191.7,188.1,26900,0
2019-10-27,190.1,191.8,193.9,188,27550,0
2019-10-24,190.9,195,195,188.2,36860,0
2019-10-23,191.5,183.5,193,183.5,71690,0
2019-10-22,184.5,184.2,185.3,183.2,52340,0
2019-10-21,184.5,186.9,186.9,183.3,20240,0
2019-10-20,184.8,183,187.2,183,12980,0
2019-10-17,183.4,183,184.9,183,33810,0
2019-10-16,184,190,190,183.7,17370,0
2019-10-15,185.6,186,188,183,37260,0
2019-10-14,182.5,184,185.4,182.1,27320,0
2019-10-13,183.9,187,187,183.7,18560,0
2019-10-10,186.3,185,186.8,183.6,12000,0
2019-10-09,186,186.1,186.9,185.3,25430,0
2019-10-07,185.2,185,193,184.5,19050,0
2019-10-06,184.5,194.5,194.5,180.1,126380,0
2019-10-03,194.1,200,201,193.6,79190,0
2019-10-02,199.8,189,201.9,189,317300,0
2019-10-01,187.1,184.1,188.7,184.1,37980,0
2019-09-30,184.4,184.6,186,182.2,28360,0
2019-09-29,182.5,180.6,183.7,180.6,3930,0
2019-09-26,181.5,183,183,180.8,32150,0
2019-09-25,181.4,183,183,180.5,45620,0
2019-09-24,182.9,185.7,185.7,182.5,13430,0
2019-09-23,183.3,185.8,186.4,182.2,43020,0
2019-09-22,183.9,185,185,181,28180,0
2019-09-19,182.2,180.1,185,180.1,20030,0
2019-09-18,181.3,185.7,185.7,181.1,19140,0
2019-09-17,185,185.3,185.3,182.3,34520,0
2019-09-16,183.9,180.8,184.8,180.4,11180,0
2019-09-15,180.2,182,183,180,17200,0
2019-09-12,180.8,182,182.4,180.5,35130,0
2019-09-11,181.9,185.1,185.1,181.1,54110,0
2019-09-09,185,187.9,187.9,183,29740,0
