date,open,high,low,close,volume,openinterest
2019-12-30,279.3,277.7,285,265,345480,0
2019-12-29,278.2,287,287,270,394180,0
2019-12-26,288.5,291,291,276.1,258210,0
2019-12-24,290.6,284.7,294.8,279,284620,0
2019-12-23,283,283,287,270,139240,0
2019-12-22,287.5,286.8,289.8,280,137410,0
2019-12-19,285.3,278.9,287.9,275.4,126680,0
2019-12-18,273.7,266.1,275.8,266.1,46130,0
2019-12-17,267.8,267.3,270,263,65550,0
2019-12-15,269.1,275,275,265.2,62960,0
2019-12-12,269.1,257,273.9,254,71650,0
2019-12-11,254.4,252,255.8,252,47040,0
2019-12-10,251.8,252,255.7,249.1,20910,0
2019-12-09,252.2,255,255.9,250.7,40550,0
2019-12-08,253.9,247,257.5,246.1,65040,0
2019-12-05,247.5,249.9,251.9,246.6,11730,0
2019-12-04,247.3,247.6,252,245.1,14860,0
2019-12-03,248.7,245.5,254,245.5,16750,0
2019-12-02,245.9,247.1,248.3,245.1,17340,0
2019-12-01,247.1,252.1,254.7,246,50060,0
2019-11-28,253.3,252.5,255,252.5,10700,0
2019-11-27,254.7,254,256,251.2,79540,0
2019-11-26,254.5,255.2,257.3,250,92230,0
2019-11-25,254.3,248.9,255.9,248.2,106940,0
2019-11-24,248.9,250,252,242.3,19770,0
2019-11-21,249.2,241.6,252.5,241.6,61450,0
2019-11-20,243.9,234.1,250,234.1,20860,0
2019-11-19,235.4,237.5,239.3,234.1,17530,0
2019-11-18,232.1,231.2,232.6,231.2,11500,0
2019-11-17,232.1,230.5,237,230,17290,0
2019-11-14,230.4,234,236,228.1,20420,0
2019-11-13,234.1,243.9,243.9,231.6,20390,0
2019-11-12,238.1,243.1,243.1,233.2,11200,0
2019-11-11,245.2,241,247.9,240,13850,0
2019-11-07,241.6,231.5,244.5,231.4,35750,0
2019-11-06,224.9,221.2,233,221.2,19960,0
2019-11-05,222.2,226,230,219.5,17540,0
2019-11-04,219.7,225,225,219.1,4590,0
2019-11-03,221.2,223,227,219.7,16490,0
2019-10-31,222.6,226.2,226.3,222.3,2890,0
2019-10-30,224.5,227,230,223.9,42700,0
2019-10-29,227.6,231.9,233,225.6,16160,0
2019-10-28,228.5,228.5,231.8,227,5260,0
2019-10-27,228.5,233,233,228,7250,0
2019-10-24,231.8,234.9,234.9,228.5,9290,0
2019-10-23,226.8,231,235,226.1,17200,0
2019-10-22,231.8,229.4,235,229.4,18970,0
2019-10-21,233.3,235,236.9,233,13520,0
2019-10-20,233.7,233,236.5,233,13180,0
2019-10-17,232.5,238.5,239,228,27960,0
2019-10-16,233.2,242.4,242.4,228,18870,0
2019-10-15,233.1,240,248,230,36880,0
2019-10-14,234.5,238,240.3,233.1,15190,0
2019-10-13,237.9,245.5,245.5,237,17900,0
2019-10-10,240.9,242.2,246.5,240.1,17640,0
2019-10-09,242.4,250,250,240.1,10520,0
2019-10-07,244,242.2,246.6,242.1,46030,0
2019-10-06,243.2,250,250,242.6,15890,0
2019-10-03,250.5,243.3,253.9,242,8990,0
2019-10-02,243.2,250,251.8,242.1,13280,0
2019-10-01,247,252,255,245,26100,0
2019-09-30,250.9,248.4,259.1,248,35810,0
2019-09-29,248.4,245,255,245,34430,0
2019-09-26,244,241,254.8,241,10570,0
2019-09-25,241.5,252.5,252.5,238.1,34280,0
2019-09-24,251.8,258.7,258.8,250.1,33120,0
2019-09-23,255.5,258.1,262.5,255,62010,0
2019-09-22,257.9,259,264.9,252,153560,0
2019-09-19,258.3,258.7,258.7,247,176430,0
2019-09-18,237.9,221.1,237.9,221.1,22970,0
2019-09-17,218.8,226.5,226.7,217,11340,0
2019-09-16,226.4,230,236.3,225.5,5740,0
2019-09-15,232,234.9,234.9,230.1,1840,0
2019-09-12,225.5,226.6,234.9,225,1160,0
2019-09-11,226.4,231,236.7,225.1,4330,0
2019-09-09,230.9,237.8,237.8,230.2,10850,0
2019-09-08,235.9,239,239,234,16710,0
2019-09-05,233.2,232,239.8,231.3,8640,0
2019-09-04,231.2,237,237,227.2,5180,0
2019-09-03,230.6,236,236,220.3,24840,0
2019-09-02,231.9,244.9,245,230.1,14380,0
2019-09-01,237.5,240.2,248.4,236.4,8530,0
2019-08-29,244.8,247.7,248,243.2,6340,0
2019-08-28,247.7,249.9,250.9,240.4,26950,0
2019-08-27,247.9,244,248.6,243.6,33030,0
2019-08-26,243.1,238,246,233.6,34300,0
2019-08-25,233,244,244,232.1,27800,0
2019-08-22,240.4,243.9,243.9,239.6,29110,0
2019-08-21,242,248,248,240.1,17460,0
2019-08-20,243.2,250,252,242,40720,0
2019-08-19,248,247,252,247,31920,0
2019-08-18,252.9,247,256.9,247,38780,0
2019-08-08,245.7,250.8,251.5,245.4,28040,0
2019-08-07,250.8,254,258.5,250,46130,0
2019-08-06,250.2,241.1,252.5,241.1,67060,0
2019-08-05,240.6,250,250,238,36140,0
2019-08-04,251.1,258,258.6,248.3,87410,0
2019-08-01,257.6,232,257.6,222.2,117830,0
2019-07-31,236.9,248,250,236,77100,0
2019-07-30,259.4,251.7,265.9,249,84780,0
2019-07-29,251.7,262.2,262.5,250,58340,0
2019-07-28,258.5,269,273,250,654080,0
2019-07-25,266.6,269,270.1,264.3,274230,0
2019-07-24,267.9,266.2,274.5,266,131770,0
2019-07-23,265.2,269,271.9,262.5,246040,0
2019-07-22,267.1,262,272,262,228100,0
2019-07-21,262.2,258,270,253.9,349930,0
2019-07-18,256.2,259,260,254.5,97790,0
2019-07-17,259.3,264.9,265.5,254,96430,0
2019-07-16,262.6,271,272,260,190710,0
2019-07-15,270.8,268,274.9,260,417230,0
2019-07-14,260.4,249.7,268.3,241.1,745720,0
2019-07-11,247.9,262.1,267.5,245.2,608320,0
2019-07-10,266.2,272.2,274,261.1,506120,0
2019-07-09,271.3,264,272.6,258,701770,0
2019-07-08,263.1,263.9,265.8,252,433770,0
2019-07-07,263.8,245,264.9,243.8,696950,0
2019-07-04,243.7,235,245,235,629230,0
2019-07-03,232.1,218.1,232.4,213.9,253770,0
2019-07-02,213.7,219.7,223.2,212.2,192940,0
2019-06-30,219.7,228.1,230,219,115840,0
2019-06-27,225.6,231.4,233.9,224,129750,0
2019-06-26,231.4,232.7,235,231.1,128180,0
2019-06-25,234.5,234.1,236,230,115430,0
2019-06-24,233.2,237.7,241,231.9,294570,0
2019-06-23,237.7,240,248,236,195650,0
2019-06-20,237.8,236,244.9,232,262520,0
2019-06-19,234.8,235,245.9,226.1,372210,0
2019-06-18,233.6,237,248,232,261500,0
2019-06-17,234.8,242.8,243,233.4,230720,0
2019-06-16,242.7,253.9,254.9,239,204660,0
2019-06-13,250.8,240,253.6,236.6,434280,0
2019-06-12,236.6,242,245.6,234,345420,0
2019-06-11,244.4,237,248.5,237,503560,0
2019-06-10,240.6,225,240.9,225,788360,0
2019-06-09,221.6,204.1,221.6,204,711200,0
2019-05-30,203.8,209.6,212,202.2,162900,0
2019-05-29,211.1,219,222.8,209,411170,0
2019-05-28,218,202,218,202,570570,0
2019-05-27,200.5,183.8,200.5,182.2,399860,0
2019-05-26,182.3,180,182.9,180,21920,0
2019-05-23,179.5,178.3,180,177.1,7940,0
2019-05-22,174.6,173.5,178,173.5,7240,0
2019-05-21,176.2,179.9,179.9,176,7600,0
2019-05-20,175.6,174,178,173.9,7830,0
2019-05-19,176.9,177.2,179.3,175.6,9800,0
2019-05-16,177.5,180,180,174.5,62160,0
2019-05-15,175.1,178,179.8,175,5170,0
2019-05-14,178,178.2,181,176.6,1300,0
2019-05-13,178.7,178.9,182.5,178.4,5170,0
2019-05-12,178.9,181,182.9,178,8840,0
2019-05-09,179.3,180.1,184.8,179.1,22010,0
2019-05-08,182.8,186.9,186.9,180,22230,0
2019-05-07,186.1,184,187.7,173.3,40480,0
2019-05-06,182.6,179,187,179,42450,0
2019-05-05,178.1,178.1,189,175.2,87460,0
2019-05-02,178.5,170,184.7,170,67110,0
2019-04-30,168.8,176.5,176.5,166.5,85300,0
2019-04-29,176.1,188,189.5,175.5,107620,0
2019-04-28,189,193,199,187.1,142360,0
2019-04-25,192.9,184,194.4,181,183720,0
2019-04-24,181.9,170.1,185.9,168.2,83840,0
2019-04-23,169.1,166,172.5,165.2,22510,0
2019-04-21,168.4,168.4,169.4,167.4,4810,0
2019-04-18,168.6,167.6,169.3,167.6,2180,0
2019-04-17,167.5,168.1,168.1,167,1850,0
2019-04-16,168.1,170.2,170.2,168,2620,0
2019-04-15,168.7,163,170,162.8,2580,0
2019-04-11,165.8,164.1,168,164.1,7400,0
2019-04-10,164.8,167,169.9,159.6,22210,0
2019-04-09,166.8,167.1,168.9,166.5,23950,0
2019-04-08,169.4,172,172,168.2,7010,0
2019-04-07,170.2,170.8,171,166.1,5670,0
2019-04-04,170,172.1,172.1,170,14170,0
2019-04-03,171.9,171.8,173.6,171.8,4280,0
2019-04-02,172.2,174.5,175,170.9,15090,0
2019-04-01,173.7,166.5,174.6,166.5,21590,0
2019-03-31,168.5,168.9,169,166.3,5180,0
2019-03-28,168.4,166.7,171,166.7,26070,0
2019-03-27,168.1,165.6,171.9,165.6,23140,0
2019-03-25,165.5,168.2,170,165.1,20080,0
2019-03-24,168.2,169,169,167.8,9350,0
2019-03-21,169.1,170.3,170.3,168.5,8060,0
2019-03-20,170,170,173,170,11000,0
2019-03-19,173.6,176.2,176.2,168,16940,0
2019-03-18,178.6,178,180,178,11480,0
2019-03-14,178.5,182,182.7,178.1,11280,0
2019-03-13,178.3,179.5,180,178.1,27730,0
2019-03-12,179.3,181.1,181.1,178.7,12650,0
2019-03-11,180.3,180.2,182.5,179.9,12460,0
2019-03-10,179.8,178.4,184,178.3,3240,0
2019-03-07,178.4,178.6,179.1,178.2,22650,0
2019-03-06,178.5,178.8,180,178.4,21430,0
2019-03-05,178.6,179.2,180.8,178.6,15140,0
2019-03-04,179,180.1,183.8,178.8,12410,0
2019-03-03,180.1,181.1,181.7,179.4,42750,0
2019-02-27,181,184.6,184.6,180.8,37750,0
2019-02-26,182.4,185.9,185.9,182,15430,0
2019-02-25,182.1,188.8,188.8,181.5,15820,0
2019-02-24,181.9,184.8,184.8,181.5,11680,0
2019-02-20,182.4,183.6,183.6,181.7,9580,0
2019-02-19,181.5,183,183,181.4,24550,0
2019-02-18,181.8,183.3,184.9,181.6,25830,0
2019-02-17,182,186,186,181.5,31530,0
2019-02-14,181.8,183.8,186,181.4,23080,0
2019-02-13,183.8,190.1,190.1,180,48070,0
2019-02-12,189.5,190,192,185,40240,0
2019-02-11,186.6,183.1,190.1,179,30560,0
2019-02-10,180.1,182,183.4,177.1,39870,0
2019-02-07,178.3,185,188,177,54420,0
2019-02-06,182.3,193,194.9,180.9,65380,0
2019-02-05,193.2,196,198.2,192.3,18920,0
2019-02-04,196.9,197.8,202,196.5,22600,0
2019-02-03,197.8,200.2,203,197,48710,0
2019-01-31,200.6,205,205,200,34430,0
2019-01-30,200.2,203.8,203.8,199.5,44480,0
2019-01-29,199.3,209,209,197,83970,0
2019-01-28,205.9,210.3,211.8,205,88110,0
2019-01-27,207.9,203.2,210,203,54590,0
2019-01-24,203.2,207.1,207.3,201.3,76690,0
2019-01-23,205.5,213.8,214,204.1,92700,0
2019-01-22,210.9,213.9,218,210,73270,0
2019-01-21,213.9,223,224.6,212.1,145530,0
2019-01-20,220.8,224.8,231,219.2,157030,0
2019-01-17,222.1,216.2,227,216.2,192590,0
2019-01-16,216.2,211,219,211,118560,0
2019-01-15,212.8,213,219,212,101860,0
2019-01-14,212.5,213.1,219.8,209.6,157110,0
2019-01-13,215.1,216,224,207.6,177440,0
2019-01-10,213.4,201.2,218,201.2,193310,0
2019-01-09,200.5,205,209,199,141310,0
2019-01-08,202,209.4,210.8,201,166260,0
2019-01-07,207.3,209.5,217.5,206,243530,0
2019-01-06,207.8,198,211.9,198,272920,0
2019-01-03,195.9,205,205,195.1,183730,0
2019-01-02,202.8,218,218,201,237130,0
2019-01-01,216.2,195,217.8,195,700310,0
2018-12-27,200.3,189.7,204,189.7,446120,0
2018-12-26,189.7,185,192,185,131040,0
2018-12-24,190.7,182,192.7,182,243070,0
2018-12-23,185.4,179,189.8,178.1,213900,0
2018-12-20,176.7,177.9,184,176,161870,0
2018-12-19,175.1,173.7,177.4,173.7,38890,0
2018-12-18,173,175,178.9,172.2,51160,0
2018-12-17,177.8,179.9,184.7,177,132980,0
2018-12-13,178.5,174.7,182.5,173.2,116960,0
2018-12-12,172,176.5,177.8,170.7,114020,0
2018-12-11,176.6,183.2,184,175,94850,0
2018-12-10,182.5,180,185.6,179,257240,0
2018-12-09,175.3,171.9,178.7,169,124150,0
2018-12-06,167.8,167.7,173,167,63630,0
2018-12-05,167.2,167.5,175.2,165,134480,0
2018-12-04,166.4,164.5,169,162.1,87130,0
2018-12-03,163.6,163.7,167.5,163,31420,0
2018-12-02,161.9,168.5,168.5,161.2,58930,0
2018-11-29,165,174,174,164,79820,0
2018-11-28,170.6,165.4,172.8,163,95060,0
2018-11-27,162.7,163.8,166,161.7,46650,0
2018-11-26,163.5,167,168,163,40490,0
2018-11-25,165.9,167.8,169.7,163,55040,0
2018-11-22,163.6,169.6,169.6,162.4,59350,0
2018-11-20,166.5,170.9,170.9,165.1,57230,0
2018-11-19,168.9,169.9,174,167.1,65470,0
2018-11-18,167,168.1,177.2,163.7,81910,0
2018-11-15,171.2,179.9,179.9,170.2,117590,0
2018-11-14,178.8,182.2,184.8,176.5,88310,0
2018-11-13,182.4,186.7,186.7,182.1,58800,0
2018-11-12,183.4,182,189.6,182,163720,0
2018-11-11,184,186,186.9,181.5,109110,0
2018-11-08,185.2,182,188,182,106830,0
2018-11-07,181.3,185.9,189.5,180.4,49920,0
2018-11-06,184.5,195,195,180,146090,0
2018-11-05,192.6,194.5,195.9,187.3,179110,0
2018-11-04,194.9,193.7,205,190,481450,0
2018-11-01,187.4,171.3,187.4,171.3,262070,0
2018-10-31,170.4,175,178,170,99710,0
2018-10-30,173.2,179.9,179.9,170,65850,0
2018-10-29,176.3,181,184.7,176,125130,0
2018-10-28,181,177.1,188.5,173.1,362720,0
2018-10-25,177.7,173.8,180,169.5,276060,0
2018-10-24,169.9,158.3,173.8,158.3,199340,0
2018-10-23,158.3,163.8,166,157.4,127230,0
2018-10-22,163.8,173.7,175.8,161.2,93870,0
2018-10-21,173.7,176.1,178.7,172.3,89440,0
2018-10-18,175.8,178,182,174,160250,0
2018-10-17,177.1,175.8,182,174.2,129320,0
2018-10-16,175.8,186.9,189,173.1,220410,0
2018-10-15,187.1,185.9,190,180.5,248320,0
2018-10-14,185.3,184,186.7,176,182320,0
2018-10-11,177.5,182.1,187.5,176.3,204200,0
2018-10-10,185.3,197,198.9,184,241950,0
2018-10-09,196.5,182,197.5,182,402400,0
2018-10-08,179.6,196.9,197,176.6,307970,0
2018-10-07,195.9,197,205.6,194.5,166220,0
2018-10-04,193,208,210,189.5,547160,0
2018-10-03,207.3,210,220.9,206.6,171870,0
2018-10-02,210,215,222.2,202.9,435120,0
2018-10-01,222.3,246.6,246.6,222.3,185390,0
2018-09-30,243.6,260,260,237.7,299480,0
2018-09-27,260.4,269.8,277,257,340610,0
2018-09-26,267.7,252.9,271.7,246.4,642160,0
2018-09-25,249.9,269,270.7,242,326190,0
2018-09-24,265.1,280,283.3,257.2,393410,0
2018-09-23,276.2,275,280,265,561210,0
2018-09-20,273.7,278.6,278.9,265,686280,0
2018-09-19,256.5,240,256.5,240,395100,0
2018-09-18,235.9,223.8,235.9,223.8,421980,0
2018-09-17,217,229,229,212.1,940390,0
2018-09-16,222.3,217.8,225,208.2,285020,0
2018-09-13,206.9,206.9,206.9,193.5,782540,0
2018-09-12,188.1,188.1,188.1,188.1,107540,0
2018-09-11,171,151.1,171,151,242380,0
2018-09-10,155.5,149,156.1,149,95740,0
2018-09-09,149.8,153,156.2,149.7,94300,0
2018-09-06,151.8,146,152.8,142.2,195500,0
2018-09-05,142.7,147,147.3,142.6,56040,0
2018-09-04,147.1,141.3,147.6,141.3,75690,0
2018-09-03,143.7,145,147.7,141.3,55540,0
2018-08-30,144.6,139.1,145.5,139.1,150210,0
2018-08-29,139.2,139.9,141.6,139,45560,0
2018-08-28,138.7,142,142,138.1,14420,0
2018-08-27,142.3,139,142.8,134.6,69300,0
2018-08-26,137.13,137.13,140.61,134.87,46130,0
