date,open,high,low,close,volume,openinterest
2019-12-30,165,164.5,167.9,159,54670,0
2019-12-29,164.5,161.8,165,161.8,15360,0
2019-12-26,161.8,163.6,163.6,159,12820,0
2019-12-24,160.1,158,160.4,158,39330,0
2019-12-23,157.4,158,158.5,157.1,31100,0
2019-12-22,158.9,163.1,163.1,158.2,13990,0
2019-12-19,163,159.3,163.5,158.9,34390,0
2019-12-18,157.3,157.1,158.5,156.9,45540,0
2019-12-17,157.6,157.9,159.1,157,47110,0
2019-12-15,158.9,154.7,159.8,154.7,27530,0
2019-12-12,155.7,158.1,160,155,57290,0
2019-12-11,158.5,156,162,155.8,56770,0
2019-12-10,155,156.8,158,155,226940,0
2019-12-09,155.8,160,160,154,50140,0
2019-12-08,159.3,168.4,168.4,158.1,36130,0
2019-12-05,164.3,165.1,167.7,164,11140,0
2019-12-04,165.7,166.3,168,165.5,38860,0
2019-12-03,167.2,172.1,173,165.8,58860,0
2019-12-02,172.6,176.4,178,171.5,56000,0
2019-12-01,176.4,180.1,182,175.5,30840,0
2019-11-28,183.2,184,184.6,182.3,87600,0
2019-11-27,182.8,185.8,185.9,181.6,78620,0
2019-11-26,185.1,181.9,185.8,180,79220,0
2019-11-25,180,176.5,182,176.5,32720,0
2019-11-24,177.6,180.5,180.5,177.2,41530,0
2019-11-21,178.4,180.3,180.5,178.2,17090,0
2019-11-20,180.3,182,183.8,180,28790,0
2019-11-19,181.5,182.5,182.5,181,32000,0
2019-11-18,183.2,185,187,182.2,32490,0
2019-11-17,184.5,176,190,173.3,56450,0
2019-11-14,176.3,175.2,177.5,174.1,43340,0
2019-11-13,175.7,183.8,183.8,175,50270,0
2019-11-12,183.7,193,193.1,180.2,59150,0
2019-11-11,187.5,193,193,186,35940,0
2019-11-07,191.4,191,194.9,184.5,44020,0
2019-11-06,185.9,176.1,190.9,175,172580,0
2019-11-05,176.8,173.3,179,172.1,52120,0
2019-11-04,173.3,171.2,173.6,171,30090,0
2019-11-03,172.2,169.5,173.7,169.5,38480,0
2019-10-31,168.2,166,169,162.1,41340,0
2019-10-30,165.6,170,179,160,101220,0
