date,open,high,low,close,volume,openinterest
2019-12-30,24,24.6,24.6,24,229080,0
2019-12-29,24,24.6,24.6,24,87050,0
2019-12-26,24,24.5,24.5,24,113020,0
2019-12-24,24.2,24.7,24.7,24.2,336320,0
2019-12-23,24.3,24.5,24.8,24.3,360110,0
2019-12-22,24.4,24.6,24.8,24.3,340420,0
2019-12-19,24.4,24.3,24.7,24.3,197530,0
2019-12-18,24.5,24.6,24.8,24.4,329150,0
2019-12-17,24.5,24.4,24.7,24.4,174650,0
2019-12-15,24.5,24.5,24.7,24.5,214890,0
2019-12-12,24.7,24.6,24.7,24.6,88160,0
2019-12-11,24.9,24.7,24.9,24.7,64440,0
2019-12-10,24.8,24.9,25,24.7,171580,0
2019-12-09,24.9,24.8,25,24.8,52680,0
2019-12-08,25,25.3,25.4,24.9,179740,0
2019-12-05,25.1,25.4,25.4,25,195640,0
2019-12-04,25.3,25.7,25.7,25.1,1640000,0
2019-12-03,25.4,26.1,26.1,25.2,56060,0
2019-12-02,25.9,25.3,26.1,25.3,2100000,0
2019-12-01,25.4,25.5,25.7,25.3,2050000,0
2019-11-28,25.4,24.7,25.5,24.7,87480,0
2019-11-27,25.2,25.2,25.5,24.9,51210,0
2019-11-26,24.8,24.5,24.9,24.5,101970,0
2019-11-25,24.8,24.9,25,24.4,29030,0
2019-11-24,24.7,23.7,25,23.7,69410,0
2019-11-21,25,24.6,25,24.5,85950,0
2019-11-20,24.8,24.9,24.9,24.5,20380,0
2019-11-19,24.6,24.8,25,24.5,367970,0
2019-11-18,24.8,25.1,25.2,24.7,487330,0
2019-11-17,24.9,25.1,25.2,24.8,358770,0
2019-11-14,25,25,25.4,24.9,295390,0
2019-11-13,25.4,25,25.5,24.9,125730,0
2019-11-12,25.5,25.2,25.6,24.6,149290,0
2019-11-11,25.1,25.3,25.7,25,233920,0
2019-11-07,25.4,25.5,25.9,25.3,322540,0
2019-11-06,25.4,25.5,26,25.3,353900,0
2019-11-05,25.4,25.5,25.7,25.1,483600,0
2019-11-04,25.4,24.5,25.8,24.5,576090,0
2019-11-03,25.6,25.8,25.8,25.4,4520,0
2019-10-31,26.1,26,26.3,25.6,179760,0
2019-10-30,26,26,26,25.6,57940,0
2019-10-29,25.9,26,26,25.3,58430,0
2019-10-28,25.5,25.4,26,25.1,159910,0
2019-10-27,25.6,25.1,25.9,25,110410,0
2019-10-24,25.1,25.7,25.7,24.9,811310,0
2019-10-23,25.9,25.8,26.8,25.6,395670,0
2019-10-22,26,25.8,27,24,292410,0
2019-10-21,25.8,25,26.7,24.9,1060000,0
2019-10-20,24.8,24.3,25,24.3,70060,0
2019-10-17,24.9,24.3,25,24.3,9190,0
2019-10-16,24.8,24.2,25,24.2,77980,0
2019-10-15,24.3,24.6,24.7,24.1,22260,0
2019-10-14,24.3,24.6,24.6,24,23300,0
2019-10-13,24.1,23.7,24.7,23.7,323970,0
2019-10-10,24.3,24.3,24.7,24.2,76940,0
