date,open,high,low,close,volume,openinterest
2019-12-30,192.2,191.2,193.8,191.1,5080,0
2019-12-29,191,190.2,194,190.2,5400,0
2019-12-26,193.2,191.8,193.8,189.1,4660,0
2019-12-24,191.8,191,192.8,190,13160,0
2019-12-23,191.6,195.5,195.5,190,14350,0
2019-12-22,196.1,198,199.6,193,19160,0
2019-12-19,197.8,199.8,202.6,197.6,19630,0
2019-12-18,198.3,199.5,200,197,5010,0
2019-12-17,199.2,200,203.8,198.6,4110,0
2019-12-15,199.3,200,201.6,198,2350,0
2019-12-12,201.5,203.4,207.2,200,880,0
2019-12-11,202.5,208.5,208.5,202.1,7670,0
2019-12-10,208.1,208.1,210,207,2430,0
2019-12-09,210,210.3,210.6,209,4380,0
2019-12-08,211.2,211.1,212,210.3,1870,0
2019-12-05,211.9,213.1,217,210.4,3850,0
2019-12-04,215.9,214,216,214,10910,0
2019-12-03,212.4,215.5,218.4,212,4100,0
2019-12-02,213.5,215,215.8,212.1,8280,0
2019-12-01,214.4,216,216,213.5,3640,0
2019-11-28,216.1,217,219,213.2,6700,0
2019-11-27,216,214.1,222,213.1,33460,0
2019-11-26,228,231.1,231.1,227.4,22010,0
2019-11-25,228.9,230.5,232,227,11640,0
2019-11-24,229.9,230,230,224.5,28060,0
2019-11-21,229.3,230,230,227.7,8530,0
2019-11-20,228.6,228.1,230,227,11150,0
2019-11-19,228.1,229,229,225.1,19700,0
2019-11-18,228.4,221.5,229,221.5,22610,0
2019-11-17,224.6,226,228,224.1,10030,0
2019-11-14,227.7,225.5,228.5,225.1,10030,0
2019-11-13,225.8,228.9,228.9,223.8,19070,0
2019-11-12,225.1,229.8,229.9,224.7,14030,0
2019-11-11,227.9,232,232,226,13770,0
2019-11-07,227.2,230.3,231.8,225.1,18570,0
2019-11-06,230.1,235.9,235.9,230,39030,0
2019-11-05,230.1,232.8,233.8,230,95450,0
2019-11-04,231.6,231.6,233.7,230,18430,0
2019-11-03,234.2,232,235.9,232,3500,0
2019-10-31,232.5,230.1,234.8,230.1,10380,0
2019-10-30,234.7,236.9,236.9,232.7,11070,0
2019-10-29,236.9,235.1,240,234.5,85540,0
2019-10-28,239.3,230,240.5,230,114260,0
2019-10-27,237.4,226,240,226,150950,0
2019-10-24,227,214,231.9,214,152090,0
2019-10-23,213.5,211,214.9,209.4,43640,0
2019-10-22,210.6,211.2,213.9,210,14990,0
2019-10-21,213.1,215.6,215.6,212.2,22960,0
2019-10-20,214.3,211.5,217.5,211.5,14980,0
2019-10-17,214.3,220,220.1,214.1,11510,0
2019-10-16,220.6,220,224,217.7,9410,0
2019-10-15,215.2,216.5,220,215,28690,0
2019-10-14,219,220.7,225.8,217.3,25590,0
2019-10-13,223,225,228,221,29160,0
2019-10-10,224.6,225,228.8,221,53180,0
2019-10-09,226.4,228.9,230,224.4,67460,0
2019-10-07,228.4,238,238,227.3,139630,0
2019-10-06,235.8,238,245,231,118240,0
2019-10-03,229,214,229,214,236880,0
2019-10-02,210.6,208,211.5,208,8170,0
2019-10-01,208.5,207.5,209.7,207.4,3770,0
2019-09-30,208.5,211,211,207.9,7010,0
2019-09-29,209.8,208,212,206.3,2690,0
2019-09-26,209.1,210.2,211,205,11110,0
2019-09-25,212.2,215,215,209.6,15520,0
2019-09-24,212.2,205,217.3,205,24610,0
2019-09-23,203.3,200,205.5,200,6020,0
2019-09-22,202.6,203.5,206.5,202.1,11220,0
2019-09-19,203,203,206.2,202.6,22950,0
2019-09-18,204.8,206.3,209.9,204.5,19780,0
2019-09-17,205.2,206.3,211,202,34080,0
2019-09-16,206,207.2,209.7,205,7730,0
2019-09-15,206.9,214.5,214.5,206.5,12470,0
2019-09-12,214.2,220.1,220.1,210.1,5840,0
2019-09-11,220.2,223,223,220,5010,0
2019-09-09,220.8,221.7,221.7,220.4,4040,0
2019-09-08,220.2,220.5,222.5,219.9,10690,0
2019-09-05,220.2,222.5,225,220,14330,0
2019-09-04,221.5,224.6,224.6,220.1,12370,0
2019-09-03,224.1,224.5,226,222.1,2800,0
2019-09-02,224.2,225.5,225.8,224,3160,0
2019-09-01,225,225.9,225.9,224.4,2150,0
2019-08-29,224.9,225,226.9,224.6,2670,0
2019-08-28,224.7,223.7,225,223.7,4500,0
2019-08-27,223.3,224.8,226.2,223.3,2030,0
2019-08-26,223.8,226,226,223.5,2680,0
2019-08-25,224.6,223.3,226.5,223.3,3920,0
2019-08-22,222.8,226.2,226.2,222.5,14730,0
2019-08-21,225.9,226.6,226.7,225.6,8360,0
2019-08-20,225.4,225.5,225.5,224.8,9900,0
2019-08-19,225.4,224,226.6,224,3110,0
2019-08-18,224.9,224,226.8,224,7610,0
2019-08-08,224.3,227.2,227.2,223.7,11260,0
2019-08-07,226.8,225,227.5,223.7,11270,0
2019-08-06,224.7,225,225,224.5,9620,0
2019-08-05,225.1,226.7,226.7,223,6450,0
2019-08-04,226.6,226.1,227.5,223.9,5990,0
2019-08-01,227.1,223.2,227.5,223.2,6210,0
2019-07-31,225.4,226,226,223.2,20030,0
2019-07-30,226,226.8,227.4,224.6,28780,0
2019-07-29,226.8,225.2,227.3,225.1,11120,0
2019-07-28,224.6,226.5,226.5,224,18180,0
2019-07-25,225.2,225.7,227.5,223.9,12760,0
2019-07-24,224.9,226,226,224,11120,0
2019-07-23,224.1,224,230.1,222.5,25560,0
2019-07-22,226.4,225,229,225,6030,0
2019-07-21,229.6,227.3,230.2,227,11480,0
2019-07-18,227,228.2,228.2,226.7,9910,0
2019-07-17,227.7,229.5,229.5,226.4,15580,0
2019-07-16,230.2,229,230.8,227.5,18140,0
2019-07-15,230.7,226.5,231.7,226.5,28540,0
2019-07-14,226.5,231.4,231.4,226.3,4640,0
2019-07-11,227.9,228,229.9,227.2,4150,0
2019-07-10,230.3,227.2,231,227,12000,0
2019-07-09,228.2,228.1,228.4,228,7100,0
2019-07-08,229,233.9,234,229,5730,0
2019-07-07,233.6,228.5,234.8,228.1,20050,0
2019-07-04,231.3,230.4,232.1,229,19540,0
2019-07-03,231.8,231,232,228.1,19410,0
2019-07-02,230.6,229,240,226.1,40670,0
2019-06-30,227.9,228.5,230,225.5,23630,0
2019-06-27,225.5,223.2,226,223.2,8850,0
2019-06-26,224.8,225.1,225.3,223.5,4630,0
2019-06-25,225.1,223.1,227.5,223.1,21810,0
2019-06-24,222.6,224,225.8,222.3,13560,0
2019-06-23,223.9,224.3,225.9,223.1,12510,0
2019-06-20,224.2,225.6,228.3,224.1,12630,0
2019-06-19,225.6,223.1,229.9,222,4520,0
2019-06-18,226.2,228.2,228.2,226.1,5400,0
2019-06-17,227.2,230.1,230.1,226,12530,0
2019-06-16,227.6,231.2,231.2,227.5,3850,0
2019-06-13,229.9,229,230.9,229,7050,0
2019-06-12,230.2,231.7,231.7,230,11340,0
2019-06-11,231,230.3,232,229.9,22630,0
2019-06-10,229.8,228.8,230,228.3,8880,0
2019-06-09,228.2,226.2,229,226.2,9710,0
2019-05-30,226.9,226.2,228.6,226.2,850,0
2019-05-29,227.5,228.1,228.1,224.5,6830,0
2019-05-28,227.9,224.2,229.5,223,5030,0
2019-05-27,224.2,224.6,226,222.3,4630,0
2019-05-26,224.4,226.5,226.5,223.1,2090,0
2019-05-23,226.1,223.1,226.4,223,2010,0
2019-05-22,223.1,224.9,224.9,222.5,19730,0
2019-05-21,224.6,227,227,224.2,4590,0
2019-05-20,226.1,223.6,227,223.6,3440,0
2019-05-19,223.3,227.4,227.4,223,23980,0
2019-05-16,226.2,228.1,228.5,225.6,610,0
2019-05-15,228.1,230,230,225,6280,0
2019-05-14,228.3,225.5,230.7,225.5,7690,0
2019-05-13,228,225.2,228.5,225.2,5110,0
2019-05-12,228.1,227,229,225,10040,0
2019-05-09,227.4,226.1,229.1,225,5000,0
2019-05-08,224.9,232.5,232.5,224.3,27180,0
2019-05-07,227.9,231.1,231.1,227.6,13020,0
2019-05-06,231.1,228.5,232,228.5,2220,0
2019-05-05,227.7,0,230.5,225.6,8340,0
2019-05-02,227.8,229.5,229.5,227.5,1970,0
2019-04-30,231.2,229.7,235,226.7,11930,0
2019-04-29,229.8,229.9,231,227.1,5550,0
2019-04-28,230.2,229.6,231,227.2,3080,0
2019-04-25,229.6,225.8,230,225.6,11490,0
2019-04-24,227,227,228.9,226.1,360,0
2019-04-23,226.9,234.8,234.9,223.1,7050,0
2019-04-21,230.2,232,232,228,7390,0
2019-04-18,230,230.5,235,229.8,8390,0
2019-04-17,233,227.3,245,225.8,20470,0
2019-04-16,225.8,227.5,227.5,224,1380,0
2019-04-15,226.7,225.2,227.9,225.2,9610,0
2019-04-11,224.7,234,236,220,17620,0
2019-04-10,229.5,230.3,232,225.5,6190,0
2019-04-09,230.3,229,234.5,229,7460,0
2019-04-08,230.4,234,234,230.1,6300,0
2019-04-07,231.3,232,236,229.6,16260,0
2019-04-04,231.9,238,238,231.4,22560,0
2019-04-03,235.1,237.8,238.7,234.1,6350,0
2019-04-02,234.6,237,237,233,27310,0
2019-04-01,233.3,238,238,232.1,2640,0
2019-03-31,235.1,239,239.7,234.1,20940,0
2019-03-28,236.2,238,238,232.7,3010,0
2019-03-27,234.5,238,238,233,11600,0
2019-03-25,234,239.7,240,233,13300,0
2019-03-24,234.8,239.5,241,234.1,21470,0
2019-03-21,237,239.9,242,235.2,28750,0
2019-03-20,236.1,237.5,240.5,233.5,30210,0
2019-03-19,235.9,234,237.9,229.7,38900,0
2019-03-18,233.9,236,236,233,20530,0
2019-03-14,235.3,237.9,237.9,235,13410,0
2019-03-13,236.9,238,238,236.6,12630,0
2019-03-12,238.2,243,243,237.3,3290,0
2019-03-11,237.2,241.9,241.9,236.7,1570,0
2019-03-10,240.6,240,243,238.1,11320,0
2019-03-07,237.9,242.9,244,237,19570,0
2019-03-06,240.1,241,245,239.4,17700,0
2019-03-05,239.4,238.1,241.9,237,18290,0
2019-03-04,239.8,238.9,242,238.9,14040,0
2019-03-03,238.9,243,245,238,26410,0
2019-02-27,241.9,243,245,240.1,14040,0
2019-02-26,241,240.7,241.5,238.9,34640,0
2019-02-25,240.7,242,243,239.2,17540,0
2019-02-24,242.1,237.9,243,237.5,21620,0
2019-02-20,237.9,239.7,240,236,11620,0
2019-02-19,236.8,236.4,238,234.2,10690,0
2019-02-18,236.4,234.5,240,233.5,15920,0
2019-02-17,233.7,239.9,239.9,232.5,43760,0
2019-02-14,238,239,240.9,237.6,9700,0
2019-02-13,238.8,240,243,238,25780,0
2019-02-12,238.6,244,244.9,238,39010,0
2019-02-11,240.2,249.7,249.7,239.4,35100,0
2019-02-10,245.3,251,251,243.1,38690,0
2019-02-07,248.4,250.4,253.8,247,59210,0
2019-02-06,247.9,255.9,255.9,247,41370,0
2019-02-05,255.9,250,259.8,248,160130,0
2019-02-04,247.4,241.7,253,241,39950,0
2019-02-03,242.7,245.1,246.1,241.5,29460,0
2019-01-31,247,248.7,249.7,243.2,30570,0
2019-01-30,248.7,248,251,244,55990,0
2019-01-29,247.2,243,254.9,243,85520,0
2019-01-28,247.5,239.1,250,239.1,34210,0
2019-01-27,239.1,240,240,237,12900,0
2019-01-24,238.3,240.3,240.9,237.3,11030,0
2019-01-23,241.3,243.5,243.7,240,19170,0
2019-01-22,244.1,247,249.7,242,13980,0
2019-01-21,244.1,247.6,247.6,241.5,18400,0
2019-01-20,244.5,250,250.9,240,27910,0
2019-01-17,249.9,251,253.5,245,45020,0
2019-01-16,251.7,249.5,255.9,248.1,55730,0
2019-01-15,249.5,245.7,256,245.7,138290,0
2019-01-14,244.4,241.5,248,240,30890,0
2019-01-13,241.5,245,250,237.6,78410,0
2019-01-10,241.4,235.2,246,235.2,56950,0
2019-01-09,235.2,231.2,236,231.2,26410,0
2019-01-08,233.2,235,236,232,18690,0
2019-01-07,231,228.3,241,227.3,48620,0
2019-01-06,228.3,226,230,226,16530,0
2019-01-03,227,225,227,225,16790,0
2019-01-02,224.7,225,226.8,224,2740,0
2019-01-01,225.2,222.2,225.8,222.2,12800,0
2018-12-27,223.1,226.9,226.9,223,14430,0
2018-12-26,223.5,225,233,223.3,15610,0
2018-12-24,221.5,220.6,223.5,220.6,18170,0
2018-12-23,221.3,222.9,224.1,220,34440,0
2018-12-20,233.9,232.6,235,232.5,34350,0
2018-12-19,233.3,230,236,230,9430,0
2018-12-18,233.1,233,235.4,232.8,11870,0
2018-12-17,233.7,232,234.7,232,28880,0
2018-12-13,233.2,232.4,234.9,232.4,10340,0
2018-12-12,233.1,232.6,236,232.2,18630,0
2018-12-11,232.8,232.1,235,232.1,19190,0
2018-12-10,232,234.4,234.7,231.5,12680,0
2018-12-09,231.7,231.6,234,231.1,25100,0
2018-12-06,231.6,231.5,234.5,231.5,26890,0
2018-12-05,233.4,236.7,240.5,231,22910,0
2018-12-04,230.7,234.8,234.9,229.9,18980,0
2018-12-03,230.4,236.3,237,229.7,48790,0
2018-12-02,232.2,231,237,229.2,27800,0
2018-11-29,230.8,235,235.9,230.3,20840,0
2018-11-28,235,235.1,236,234.2,8680,0
2018-11-27,235.9,236,239.7,235,15030,0
2018-11-26,236.2,236.9,244.7,235.1,14360,0
2018-11-25,232.7,234.6,236.5,232.6,19320,0
2018-11-22,234.5,238.8,238.8,231.4,33080,0
2018-11-20,234.6,238,238.9,232.6,19920,0
2018-11-19,236.4,236,245,235,49850,0
2018-11-18,236.1,239,243.9,235.1,13470,0
2018-11-15,236.4,233,241.9,233,51330,0
2018-11-14,234.2,239.6,240,232.6,86070,0
2018-11-13,241.3,254,254,236.9,60450,0
2018-11-12,250.5,244.9,255,244.9,176510,0
2018-11-11,242.2,239.6,243.8,238.2,75800,0
2018-11-08,239,235.6,239.5,235.6,45870,0
2018-11-07,237.5,236,240,233.6,63520,0
2018-11-06,233,227,236.7,226,45950,0
2018-11-05,225.3,227.7,229,225,33260,0
2018-11-04,229,229.2,229.2,228.5,1080,0
2018-11-01,229,230.1,231.7,228.3,3810,0
2018-10-31,229.3,227,234,227,5490,0
2018-10-30,227,229,229,226.6,5370,0
2018-10-29,228.7,231,231,226.5,5670,0
2018-10-28,228.1,226.9,229.3,226.9,7150,0
2018-10-25,231.3,226.3,232,226.2,14890,0
2018-10-24,230,227.3,233.9,226,9350,0
2018-10-23,227.2,232,232,226,8420,0
2018-10-22,230.3,233,233.4,227,2240,0
2018-10-21,230.5,230.2,230.9,230.2,2590,0
2018-10-18,230.3,231.5,231.5,230.1,4060,0
2018-10-17,230.7,230.5,230.8,230.5,9060,0
2018-10-16,231.5,231,232.8,230.4,4860,0
2018-10-15,231.3,230.9,232.8,230.8,6990,0
2018-10-14,230.6,231,232,230.2,8050,0
2018-10-11,232.2,231.9,233.7,230.2,11140,0
2018-10-10,231.9,230.2,233,230.2,3040,0
2018-10-09,230.5,232,233.6,230.2,13920,0
2018-10-08,234,232.9,234.7,231.7,9620,0
2018-10-07,230.1,230,231.8,230,3600,0
2018-10-04,230.7,230.5,233.5,229.2,2230,0
2018-10-03,230.2,232.1,234.5,229.2,16370,0
2018-10-02,231.5,233.4,233.4,229.1,9100,0
2018-10-01,230.9,234.4,234.4,229,7020,0
2018-09-30,230.9,233.1,234.4,229,12090,0
2018-09-27,232.6,234,236.8,230,17890,0
2018-09-26,231.4,227.9,233.4,227.9,12920,0
2018-09-25,229.5,231.1,231.7,228,16540,0
2018-09-24,232.3,234,234,232.1,8980,0
2018-09-23,233.6,234,237.9,232.1,22680,0
2018-09-20,232.7,237,240,232.5,18730,0
2018-09-19,232,234,237,231.7,31080,0
2018-09-18,232.4,230.5,234.9,230,25830,0
2018-09-17,229.7,232,232,229,14720,0
2018-09-16,231.5,231.7,239.9,230,14980,0
2018-09-13,231.4,232.6,234,230.1,48890,0
2018-09-12,232,232,234.7,231.2,13550,0
2018-09-11,232.7,233.1,236.5,232.1,20030,0
2018-09-10,233.1,234.5,235.1,232.1,20470,0
2018-09-09,233.3,238.3,239.8,232.3,53220,0
2018-09-06,238.1,243.4,243.4,238,62840,0
2018-09-05,243.4,235.1,244.8,235.1,75050,0
2018-09-04,237.2,232,244.8,230.7,109610,0
2018-09-03,231.4,231,233.7,231,37690,0
2018-08-30,232.4,233.6,234.4,232,8900,0
2018-08-29,233.5,233.8,237.7,233,46570,0
2018-08-28,233.8,230,234.8,229.2,14680,0
2018-08-27,230.1,231.2,231.2,228.4,2590,0
2018-08-26,230.2,232.6,232.7,229.5,18880,0
2018-08-20,229.3,229.5,232,226.1,12360,0
2018-08-19,227.5,226.5,230,226.5,10300,0
2018-08-16,226.9,225.7,227.5,225.6,11190,0
2018-08-14,225.7,224.4,227,224.2,8920,0
2018-08-13,225.5,225.3,226.5,225.2,3330,0
2018-08-12,226.2,225,228,224,5200,0
2018-08-09,225.6,226.5,226.5,225.5,5950,0
2018-08-08,226.1,225.1,227.3,225.1,5820,0
2018-08-07,225.2,223,227,223,6140,0
2018-08-06,225.1,225,226,225,8520,0
2018-08-05,225.2,224.2,226,224,12960,0
2018-08-02,224.8,223.4,225,223.4,9890,0
2018-08-01,224.7,225,226.6,224.2,15160,0
2018-07-31,225,226.3,227.9,224.6,14270,0
2018-07-30,226.3,225.2,226.9,225.2,19230,0
2018-07-29,225.8,226,226.8,225,7330,0
2018-07-26,226,224,226.7,224,10150,0
2018-07-25,224.5,226.2,227,223.5,22400,0
2018-07-24,226.2,224.2,227.5,224.1,21140,0
2018-07-23,223.4,222.6,223.5,222.3,30060,0
2018-07-22,223,222.4,223.5,221,24880,0
2018-07-19,223.2,224.5,226,223.1,8730,0
2018-07-18,225.4,228.5,228.5,225.1,13250,0
2018-07-17,226.9,223.4,228.6,223.3,8330,0
2018-07-16,224.3,224.1,227.4,221.5,9450,0
2018-07-15,225.6,229.8,230,225,18350,0
2018-07-12,227.3,224.3,229.6,224.1,10370,0
2018-07-11,224.1,227.6,230,222,36690,0
2018-07-10,228.8,229.8,229.8,226.1,8770,0
2018-07-09,228.1,223.7,230,223.7,8670,0
2018-07-08,225.2,224.2,227,224.2,6710,0
2018-07-05,224.8,227.2,232.5,224,15540,0
2018-07-04,228,229.6,230,226.7,11010,0
2018-07-03,229.6,233,233.4,228.8,20800,0
2018-07-02,231.6,231.8,240,228,75930,0
2018-06-28,228.5,230,231,228,52880,0
2018-06-27,229,229.6,231.5,228.1,78730,0
2018-06-26,229,227.3,229.8,227.2,58350,0
2018-06-25,226.8,232.8,232.8,225,26670,0
2018-06-24,230.1,229,234,227.4,57220,0
2018-06-21,226.8,229.5,229.5,226.2,15750,0
2018-06-20,228.1,232,235.5,228,13360,0
2018-06-19,228,230,231,227.3,45520,0
2018-06-18,230,228.6,230.7,225,12540,0
2018-06-12,228.7,230.1,231.7,228,10730,0
2018-06-11,230.7,231,232,230.1,27980,0
2018-06-10,230.6,232,232,230.2,8640,0
2018-06-07,231.1,230.5,232,230.5,5040,0
2018-06-06,230.8,232.7,232.7,230.3,5030,0
2018-06-05,231.1,234.9,234.9,230.5,9300,0
2018-06-04,234.6,233.1,235,232,4790,0
2018-06-03,233.2,230,241.9,230,30740,0
2018-05-31,231.9,234,234,231.5,3390,0
2018-05-30,231.8,234,236,231.5,14990,0
2018-05-29,233.6,234.1,235,231,8550,0
2018-05-28,234.1,233,235,232,31000,0
2018-05-27,231.5,231.6,234.5,230.8,6710,0
2018-05-24,231.6,230.5,237,230.5,23610,0
2018-05-23,235.1,230,238,228.4,45910,0
2018-05-22,228.1,228,229,228,8540,0
2018-05-21,229.5,229.4,230,229.3,15780,0
2018-05-20,229.6,229.3,230,229.3,6400,0
2018-05-17,229.8,228.4,230,228.4,10730,0
2018-05-16,230.1,229.1,231,229,5770,0
2018-05-15,230,230.5,230.6,229.7,16270,0
