date,open,high,low,close,volume,openinterest
2019-12-30,180.4,178.7,185.4,176.7,336160,0
2019-12-29,178.6,180,180,177.4,54420,0
2019-12-26,178.1,172.8,180.8,172.8,33570,0
2019-12-24,172.8,172.7,175.4,171,37600,0
2019-12-23,172.7,173,173.9,172,22830,0
2019-12-22,174.2,172.9,175.4,170.9,35580,0
2019-12-19,174.1,170,174.9,169.6,40580,0
2019-12-18,167.8,169.5,171.4,165.3,57150,0
2019-12-17,170.2,173.2,173.8,170,51780,0
2019-12-15,172.6,172.6,174.5,171.6,27220,0
2019-12-12,172.4,175,175.9,171.6,81480,0
2019-12-11,174.2,175.6,177.8,173.2,41590,0
2019-12-10,176.6,178,179.6,175.5,31910,0
2019-12-09,177.2,179,179,175,72710,0
2019-12-08,177.2,180.2,180.2,176.5,67770,0
2019-12-05,179.9,181.1,181.9,179.7,80950,0
2019-12-04,181.6,182.5,184,181,43170,0
2019-12-03,182.9,185.6,185.6,182,68950,0
2019-12-02,184.3,185,186.7,183.5,79380,0
2019-12-01,185.6,182.8,188,182,103300,0
2019-11-28,181.6,179.6,183,179.1,56950,0
2019-11-27,179.8,182.8,182.8,178.7,93530,0
2019-11-26,178.5,183.9,183.9,177,162200,0
2019-11-25,182.4,182,184.3,181.5,89080,0
2019-11-24,182.2,183.9,184.1,181.6,34240,0
2019-11-21,183.9,184.3,184.4,181.4,52970,0
2019-11-20,180.7,185.9,185.9,180,130150,0
2019-11-19,183.9,183.6,185,183,138200,0
2019-11-18,184.9,184.1,185.5,183,151210,0
2019-11-17,184.1,183.1,185.6,182.5,52440,0
2019-11-14,185.8,183.6,187.8,180.7,103820,0
2019-11-13,183.1,189,190,181.1,197820,0
2019-11-12,187.6,187,189.8,185.3,108610,0
2019-11-11,187.5,190,190,187.2,44920,0
2019-11-07,188,190.9,191,187.3,44660,0
2019-11-06,189.9,189.5,191.6,189,94230,0
2019-11-05,191.5,186,192.6,185.1,140010,0
2019-11-04,185.3,190.2,190.2,184.3,81620,0
2019-11-03,189,190.6,191.9,188.4,154730,0
2019-10-31,190.4,200.1,200.1,189,245930,0
2019-10-30,199.5,196.7,202,195.2,104880,0
2019-10-29,196.7,200.3,200.3,195.2,88350,0
2019-10-28,200.1,202,202,199.3,140430,0
2019-10-27,201.3,205.5,205.5,200.7,97840,0
2019-10-24,205.4,206.2,206.7,205,115560,0
