date,open,high,low,close,volume,openinterest
2019-12-30,36.3,36.3,36.5,36.2,123980,0
2019-12-29,36.1,36,36.5,36,159760,0
2019-12-26,36,36.3,36.7,35.9,389980,0
2019-12-24,36.3,36.2,36.5,36.2,88440,0
2019-12-23,36.3,36.8,36.8,36.1,159930,0
2019-12-22,36.8,36.4,36.9,36.4,121490,0
2019-12-19,36.3,36.1,36.5,36.1,158310,0
2019-12-18,36.1,36.1,36.4,35.9,85030,0
2019-12-17,36.2,37,37.1,36,286150,0
2019-12-15,37.2,37.3,37.5,36.8,93100,0
2019-12-12,37.3,37.2,38,36.7,418900,0
2019-12-11,36.8,36.2,37,35.9,325260,0
2019-12-10,36.3,36.5,36.5,36.1,191780,0
2019-12-09,36.3,36.3,36.5,36.1,154150,0
2019-12-08,36.3,37,37,36.1,636500,0
2019-12-05,36.9,37,37.2,36.8,128070,0
2019-12-04,37,37,37.2,36.8,405670,0
2019-12-03,37,37.3,37.3,36.9,376980,0
2019-12-02,37.2,37.2,37.4,37,307740,0
2019-12-01,37.2,37.4,37.5,37.1,276360,0
2019-11-28,37.4,37.6,37.6,37.2,165400,0
2019-11-27,37.3,37.7,37.7,37.1,995520,0
2019-11-26,37.6,37.6,37.7,37.2,248950,0
2019-11-25,37.5,37.6,37.7,37.2,195780,0
2019-11-24,37.3,37.6,37.6,37.2,197690,0
2019-11-21,37.6,38,38.1,37.5,150540,0
2019-11-20,37.7,37.9,38,37.6,373200,0
2019-11-19,37.9,37.2,37.9,37.2,411430,0
2019-11-18,37.4,37.4,37.8,37.1,353850,0
2019-11-17,37.2,37.8,37.8,37.1,198740,0
2019-11-14,37.4,37.7,38,37.3,231670,0
2019-11-13,37.7,37.7,38,37.6,273560,0
2019-11-12,37.7,37.7,38.1,37.6,274530,0
2019-11-11,37.7,37.5,37.9,37.5,453480,0
2019-11-07,37.5,37.5,38,37,1120000,0
2019-11-06,37.3,37.2,37.4,36.8,502730,0
2019-11-05,37,37.3,37.4,36.8,481400,0
2019-11-04,37.2,37.7,37.7,37,967350,0
2019-11-03,37.5,37.8,37.9,37.4,287640,0
2019-10-31,37.5,37.9,38.1,37.4,465630,0
2019-10-30,37.9,37.9,38.1,37.6,494110,0
2019-10-29,37.9,38.1,38.5,37.5,483950,0
2019-10-28,38.3,38.2,38.8,37.8,520080,0
2019-10-27,38.2,38.2,38.6,38.1,577940,0
2019-10-24,38.2,38.1,38.6,38,374720,0
2019-10-23,38.1,38.4,38.8,38,313430,0
2019-10-22,38.6,38.5,39.2,38.3,996510,0
2019-10-21,38.8,38,39,37.8,1470000,0
2019-10-20,38,39,39,37.2,2080000,0
2019-10-17,41.3,41.5,41.7,41.1,3140000,0
2019-10-16,41.5,41.4,41.7,41.1,2120000,0
2019-10-15,41.1,41.3,41.5,40.8,1870000,0
2019-10-14,41.2,41.7,41.9,41.1,1680000,0
2019-10-13,41.6,42.2,42.3,41.5,1210000,0
2019-10-10,42,43,43.8,41.8,4790000,0
2019-10-09,41.3,41.8,41.9,41,804320,0
2019-10-07,41.8,41.6,42,41.3,1460000,0
2019-10-06,41.6,41.9,41.9,41.5,1030000,0
2019-10-03,41.8,42.2,42.3,41.6,1820000,0
2019-10-02,42.4,42.3,43,41.9,1290000,0
2019-10-01,42,41.5,42.2,41,2690000,0
2019-09-30,41.4,41.8,42,41.3,684210,0
2019-09-29,41.6,41.7,41.8,41.4,665290,0
2019-09-26,41.7,41.8,41.9,41.4,816420,0
2019-09-25,41.8,41.7,42.5,41.4,2150000,0
2019-09-24,41.5,41.3,42,41,3590000,0
2019-09-23,40.3,39.9,40.4,39.5,266040,0
2019-09-22,39.8,40.2,40.5,39.6,518710,0
2019-09-19,40.3,40.1,40.6,40.1,377890,0
2019-09-18,40.1,40.5,40.6,40,154000,0
2019-09-17,40.4,40.4,40.5,39.8,335930,0
2019-09-16,40.2,39.9,40.3,39.9,145400,0
2019-09-15,40.1,40,40.4,39.6,144030,0
2019-09-12,39.9,40.3,40.7,39.6,363930,0
2019-09-11,40.5,40.2,40.8,40.1,355320,0
2019-09-09,40.3,40.7,40.9,40.2,311840,0
2019-09-08,40.2,40.6,40.6,40,220700,0
2019-09-05,40.2,40.5,40.8,40.1,274660,0
2019-09-04,40.3,40.7,41.1,40,341960,0
2019-09-03,40.3,40.4,40.8,40,418480,0
2019-09-02,40.5,41,41,40.2,241130,0
2019-09-01,40.9,40.4,41.2,39.9,668010,0
2019-08-29,40.5,41,41.2,40.4,317500,0
2019-08-28,41.3,40.6,41.5,40.4,825280,0
2019-08-27,40.6,40.6,41.1,40,325490,0
2019-08-26,40.6,41.1,41.2,40.5,161150,0
2019-08-25,41.2,41.3,41.3,41,299850,0
2019-08-22,41.1,40.5,41.6,40.4,635630,0
2019-08-21,40.5,40.8,41,40.3,196200,0
2019-08-20,40.8,40.7,41.3,40.5,341000,0
2019-08-19,40.6,40.3,40.7,40.3,193320,0
2019-08-18,40.3,39.9,40.7,39.9,466310,0
2019-08-08,40.7,40.2,41,40,501340,0
2019-08-07,40.2,39.7,40.7,39.4,426120,0
2019-08-06,39.3,39.5,39.7,39.2,291210,0
2019-08-05,39.4,39.7,40.2,39.3,308420,0
2019-08-04,39.6,39.4,39.7,39.1,150500,0
2019-08-01,39.4,38.9,39.8,38.9,263140,0
2019-07-31,39,39,39.3,38.8,247970,0
2019-07-30,38.9,39.1,39.5,38.8,475420,0
2019-07-29,39,39.7,39.7,38.9,436330,0
2019-07-28,39.3,39.3,39.7,39,292750,0
2019-07-25,39,38.4,39.2,38.2,509470,0
2019-07-24,38.7,38,38.9,38,705970,0
2019-07-23,38.3,38,38.7,37.8,680950,0
2019-07-22,38.1,37.5,39.9,37.5,1200000,0
2019-07-21,39.5,39.3,39.7,39.1,278260,0
2019-07-18,39.2,39.6,40,39,503860,0
2019-07-17,39.6,39.6,40,39.2,660200,0
2019-07-16,39.9,40.1,40.2,39.9,292040,0
2019-07-15,40.2,40.1,40.3,40,374290,0
2019-07-14,40.4,40.4,40.4,40.2,250860,0
2019-07-11,40.3,40.5,40.6,40.3,119520,0
2019-07-10,40.6,40.9,41,40.5,298150,0
2019-07-09,40.9,40.9,41.1,40.8,248760,0
2019-07-08,40.9,41,41.3,40.9,249150,0
2019-07-07,41.1,41.2,41.2,40.9,209850,0
2019-07-04,41,41.3,41.3,40.9,434610,0
2019-07-03,41.2,41.6,41.6,40.9,357090,0
2019-07-02,41.7,42,42.4,41.2,459450,0
2019-06-30,42,41.8,42.2,41.5,647070,0
2019-06-27,41.8,41.3,42,41.3,409970,0
2019-06-26,41.3,41.6,41.7,41.2,272140,0
2019-06-25,41.6,41.3,41.8,41.2,472190,0
2019-06-24,41.4,41.1,41.5,40.9,309870,0
2019-06-23,41.1,41.3,41.4,40.8,376490,0
2019-06-20,41.3,40.7,41.5,40.7,498350,0
2019-06-19,40.6,40.6,40.9,40.4,380660,0
2019-06-18,40.5,40.4,40.6,40.4,341870,0
2019-06-17,40.5,40.8,40.8,40.4,456060,0
2019-06-16,40.6,40.7,40.8,40.4,461070,0
2019-06-13,40.7,40.8,40.9,40.6,660490,0
2019-06-12,40.8,41.3,41.3,40.7,415830,0
2019-06-11,41.1,40.6,41.2,40.5,426150,0
2019-06-10,40.7,40.5,40.9,40.5,489240,0
2019-06-09,40.5,40.7,41,40.4,630910,0
2019-05-30,40.7,41.3,41.3,40.5,523160,0
2019-05-29,41.1,40.2,41.5,40.2,1410000,0
2019-05-28,40.3,39.9,40.5,39.8,470190,0
2019-05-27,39.9,40.3,40.3,39.6,168100,0
2019-05-26,39.8,39.2,40,39.2,287480,0
2019-05-23,39.3,39.2,39.6,39,467670,0
2019-05-22,39.3,40,40,39.1,738920,0
2019-05-21,40.3,39.7,40.5,39.4,452960,0
2019-05-20,39.8,39.4,39.8,39,791550,0
2019-05-19,39.2,39.2,39.4,39,447040,0
2019-05-16,39.2,39.4,39.5,39.1,149810,0
2019-05-15,39.3,39,39.5,39,172440,0
2019-05-14,39,38.9,39.4,38.9,286270,0
2019-05-13,39,39.5,39.5,38.9,577290,0
2019-05-12,39.3,39.8,39.8,39.1,393830,0
2019-05-09,39.4,39.6,39.6,39.2,383960,0
2019-05-08,39.5,40,40,39.4,346730,0
2019-05-07,40,40.4,40.4,39.4,338730,0
2019-05-06,40.1,40,40.4,39.6,984820,0
2019-05-05,39.7,39.7,39.9,39.3,542990,0
2019-05-02,39.7,39.1,40,39.1,522480,0
2019-04-30,39.1,39.6,39.6,38.7,546770,0
2019-04-29,39.3,39.4,39.5,39.2,142140,0
2019-04-28,39.3,39.5,39.6,39.3,239750,0
2019-04-25,39.5,39.9,39.9,39.4,229330,0
2019-04-24,39.6,39.7,39.9,39.4,332570,0
2019-04-23,39.7,40.2,40.2,39.6,323710,0
2019-04-21,40,39.6,40.1,39.3,745760,0
2019-04-18,39.5,39.8,40,39.3,528530,0
2019-04-17,39.4,40.2,40.2,39.1,161130,0
2019-04-16,39.8,40,40.5,39.6,224120,0
2019-04-15,39.9,39.8,40,39.8,289420,0
2019-04-11,39.8,39.8,40.3,39.6,582960,0
2019-04-10,39.9,40.1,40.1,39.8,482840,0
2019-04-09,40.1,40.5,40.7,40,567320,0
2019-04-08,40.4,40.1,40.8,40.1,203800,0
2019-04-07,40.1,40.1,40.4,40,311290,0
2019-04-04,40.1,40.5,40.5,39.9,712250,0
2019-04-03,40.5,40.5,41.4,40.5,550580,0
2019-04-02,40.5,41,41,40.2,583130,0
2019-04-01,40.4,41.1,41.1,40.2,350440,0
2019-03-31,41.1,40.4,42,40.4,1030000,0
2019-03-28,40.4,40.3,40.7,40,480660,0
2019-03-27,40.1,40.1,41,39.2,276300,0
2019-03-25,40.4,41.3,41.3,40.3,597620,0
2019-03-24,40.3,41.5,41.5,40,824730,0
2019-03-21,41.3,41.5,41.8,41.1,329670,0
2019-03-20,41.2,41.7,41.8,40.7,175170,0
2019-03-19,40.9,42.1,42.1,40.6,553690,0
2019-03-18,41.7,42,42,41,735010,0
2019-03-14,41.8,42.3,42.3,41.7,325850,0
2019-03-13,42.2,42.5,42.6,42.1,579240,0
