date,open,high,low,close,volume,openinterest
2019-12-30,180.95,180.1,182,179.43,428820,0
2019-12-29,179.9,180,180.95,178.57,173190,0
2019-12-26,179.33,177.14,179.9,177.14,313280,0
2019-12-24,177.05,174.29,179.71,174.29,535900,0
2019-12-23,173.33,173.43,174.57,172.1,670920,0
2019-12-22,173.43,174.29,175.05,172.95,182530,0
2019-12-19,174.29,174.76,174.76,173.71,247820,0
2019-12-18,173.71,177.9,177.9,172.38,540190,0
2019-12-17,177.9,181.33,181.33,177.05,398850,0
2019-12-15,181.33,181.05,181.9,180,93860,0
2019-12-12,180.95,181.81,182.19,179.52,516590,0
2019-12-11,181.05,180.95,181.9,178.76,351430,0
2019-12-10,178.38,182.1,184.38,177.14,694760,0
2019-12-09,182,188.76,188.76,181.33,484610,0
2019-12-08,189.14,190.67,191.43,188.76,235920,0
2019-12-05,190.29,191.81,192.29,190,279350,0
2019-12-04,191.81,190.86,194,190.76,232200,0
2019-12-03,190.86,196.48,196.48,189.05,411640,0
2019-12-02,195.14,201.71,201.71,194.19,478380,0
2019-12-01,198.1,198,199.24,196.67,187250,0
2019-11-28,198.38,203.52,203.71,197.71,514770,0
2019-11-27,201.71,202.29,202.86,200.95,951700,0
2019-11-26,202.29,203.81,203.81,201.9,409900,0
2019-11-25,203.52,204.67,205.71,202.57,285590,0
2019-11-24,204.67,207.62,208.48,204.19,240280,0
2019-11-21,207.52,206.57,209.52,206.1,383320,0
2019-11-20,204.19,214.19,214.19,201.9,1020000,0
2019-11-19,212.37,212.73,213.97,211.84,320290,0
2019-11-18,212.19,211.39,212.73,210.77,105600,0
2019-11-17,211.21,216.29,216.29,209.61,554450,0
2019-11-14,215.93,214.51,217.18,214.06,270100,0
2019-11-13,214.33,211.57,214.95,211.48,178670,0
2019-11-12,211.48,211.84,212.55,211.13,290870,0
2019-11-11,211.84,211.57,212.19,210.95,333170,0
2019-11-07,210.95,210.68,211.84,209.88,386940,0
2019-11-06,209.97,210.32,210.86,209.52,365450,0
2019-11-05,210.32,211.3,211.75,209.79,163110,0
2019-11-04,211.48,209.7,212.28,208.72,156640,0
2019-11-03,209.26,211.84,211.84,208.99,185740,0
2019-10-31,211.39,211.84,212.46,209.17,171890,0
2019-10-30,210.59,213.44,214.51,210.06,263630,0
2019-10-29,212.19,214.6,214.6,211.93,320740,0
2019-10-28,212.82,213.88,216.02,212.28,297730,0
2019-10-27,213.8,213.62,214.24,212.46,228270,0
2019-10-24,212.1,212.02,214.15,211.39,241980,0
2019-10-23,212.02,210.95,213.62,208.28,254360,0
2019-10-22,210.86,214.33,214.33,208.63,385960,0
2019-10-21,214.33,212.02,215.4,211.93,152150,0
2019-10-20,212.02,213.35,213.62,210.59,479090,0
2019-10-17,212.28,215.4,216.29,211.66,342840,0
2019-10-16,213.88,213.44,214.51,213.17,633480,0
2019-10-15,212.99,214.24,215.04,212.46,542110,0
2019-10-14,215.22,211.57,216.29,211.57,401450,0
2019-10-13,211.57,214.15,214.15,210.95,314540,0
2019-10-10,214.15,213.17,215.04,212.37,967960,0
2019-10-09,211.93,210.06,212.73,208.99,197720,0
2019-10-07,209.88,208.28,211.84,208.28,144140,0
2019-10-06,208.9,208.63,209.97,208.37,111710,0
2019-10-03,208.63,209.17,209.88,207.83,322520,0
2019-10-02,209.52,210.24,210.5,208.72,76110,0
2019-10-01,210.15,211.66,211.66,210.06,297180,0
2019-09-30,210.86,209.17,211.84,208.46,91120,0
2019-09-29,209.35,209.88,210.06,208.72,224090,0
2019-09-26,208.99,211.75,211.75,207.12,258670,0
2019-09-25,208.99,210.68,210.86,207.65,499560,0
2019-09-24,210.59,211.84,216.11,209.79,433430,0
2019-09-23,211.48,204.72,213.17,203.03,414300,0
2019-09-22,201.96,203.83,208.19,201.16,708500,0
2019-09-19,203.65,210.5,212.64,201.07,742910,0
2019-09-18,210.41,215.75,215.75,209.17,582530,0
2019-09-17,215.31,216.29,216.29,214.69,215100,0
2019-09-16,216.11,217.18,217.18,215.4,141120,0
2019-09-15,217.09,217.36,217.98,215.49,358980,0
2019-09-12,217.27,219.85,219.85,216.55,443850,0
2019-09-11,219.49,219.85,221.1,218.96,155490,0
2019-09-09,219.14,221.18,222.07,218.78,201510,0
2019-09-08,219.4,219.05,221.45,218.96,183460,0
2019-09-05,218.87,222.52,222.52,218.25,437060,0
2019-09-04,222.61,222.88,223.32,222.25,201060,0
2019-09-03,223.23,223.41,224.3,222.25,287080,0
2019-09-02,223.23,224.3,224.3,222.52,119220,0
2019-09-01,224.21,225.63,225.63,224.03,189080,0
2019-08-29,225.28,226.43,227.32,225.01,105210,0
2019-08-28,225.72,223.85,226.52,223.85,628460,0
2019-08-27,223.68,223.68,224.21,223.05,285010,0
2019-08-26,223.76,223.94,224.48,223.41,96450,0
2019-08-25,223.94,223.76,224.65,223.5,217810,0
2019-08-22,223.59,223.5,224.3,223.41,199770,0
2019-08-21,223.5,223.41,224.74,223.23,176820,0
2019-08-20,223.23,223.5,224.3,223.05,340180,0
2019-08-19,223.5,223.23,224.57,223.23,177590,0
2019-08-18,223.5,223.32,225.46,223.32,310640,0
2019-08-08,225.19,224.03,225.28,223.68,275790,0
2019-08-07,223.94,225.54,225.63,223.59,450250,0
