date,open,high,low,close,volume
2020-12-30,219.5,215.5,220.4,215.4,1820000
2020-12-29,218.1,217,221.3,215.7,1010000
2020-12-28,216.9,213.1,218.7,208.8,1960000
2020-12-27,213.4,207.6,217,207,1460000
2020-12-24,207.6,204.9,208,204.2,891210
2020-12-23,205.1,202.9,206.1,201.2,1130000
2020-12-22 ,202.9,203.2,203.4,200,563070
2020-12-21,203.2,198.3,203.7,198.2,1050000
2020-12-20,198.2,200.8,201,197,511450
2020-12-17,200.5,200.8,201.7,198.5,512110
2020-12-15,199.9,202,204,199.1,500630
2020-12-14,201.1,197.5,202.1,196.2,868340
2020-12-13,197,197.8,198.3,196.3,407510
2020-12-10,196.9,195.5,197.4,195.5,359300
2020-12-09,196,196.7,197,195.5,518650
2020-12-08,196.7,197.9,197.9,194.6,487090
2020-12-07,197.5,193,198.1,193,938290
2020-12-06,192.3,188.8,193,188.7,373880
2020-12-03,187.1,185.4,188,185.4,680620
2020-12-02,185.4,184.5,186,184.4,543660
2020-12-01,184.7,185,185.5,184,482470
2020-11-30,183.9,188.4,189,183,771280
2020-11-29,188.9,190,190.8,187.9,328620
2020-11-26,190,192,192.7,188.4,474890
2020-11-25,192,191.8,193.4,191.6,320530
2020-11-24,191.9,191.9,192.9,191,301390
2020-11-23,191.9,196.1,196.1,186.5,1420000
2020-11-22,198.1,207.5,207.5,207.5,1230000
2020-11-19,198.1,198,199.24,196.67,1230000
2020-11-18,197.81,198.1,198.19,196.19,728650
2020-11-17,197.81,200,200.29,196.95,716350
2020-11-16,199.62,195.24,199.9,194.29,1550000
2020-11-15,194.48,195.24,198.38,193.33,1090000
2020-11-12,192.95,191.9,193.33,191.62,309370
2020-11-11,191.9,192.19,192.57,191.62,398410
2020-11-10,192.67,192.38,192.95,192,494820
2020-11-09,192.76,192.38,193.24,192,240280
2020-11-08,192.29,193.14,194.1,191.81,337190
2020-11-05,193.14,191.05,194.29,190.38,589520
2020-11-04,191.05,192.19,192.19,189.81,264340
2020-11-03,192.1,191.33,193.33,190.38,281670
2020-11-02,190.1,190,191.43,188.57,417150
2020-11-01,188.67,189.05,190.29,187.33,414370
2020-10-29,188.95,190.48,191.33,188.57,565760
2020-10-28,190,192,192,187.81,959900
2020-10-27,192.1,193.81,194.29,191.43,1260000
2020-10-25,193.52,196.76,197.14,193.14,653690
2020-10-22,195.33,194.38,196.57,193.52,533420
2020-10-21,194.19,195.24,195.62,193.52,452490
2020-10-20,194.19,194.76,195.81,193.9,340810
2020-10-19,194.38,194,196.19,192.57,418150
2020-10-18,194,195.14,195.14,193.52,266220
2020-10-15,195.14,196.19,196.67,194.19,425720
2020-10-14,196.19,196.29,197.05,195.9,322870
2020-10-13,196.29,195.81,197.9,195.71,503870
2020-10-12,195.71,193.33,196.48,192.76,436990
2020-10-11,193.9,191.9,194.48,191.9,454640
2020-10-08,192.86,194.48,194.76,192.38,399360
2020-10-07,192.86,191.81,196.48,191.43,727370
2020-10-06,191.81,191.71,193.05,191.24,499450
2020-10-05,191.71,193.05,193.62,191.43,633230
2020-10-04,192.86,195.24,195.9,192.48,489970
2020-10-01,194.1,195.14,195.14,191.43,618490
2020-09-30,194.29,195.81,195.9,193.9,586820
2020-09-29,196.29,196.67,196.76,194.95,739460
2020-09-28,196.1,196.19,197.43,195.52,660290
2020-09-27,196.19,196.67,197.9,195.43,438340
2020-09-24,196.29,197.14,197.81,195.81,640580
2020-09-23,195.71,196.19,198.38,194.86,745530
2020-09-22,195.81,200.48,200.57,194.76,966060
2020-09-21,200,203.33,203.33,199.52,732050
2020-09-20,203.33,204.76,206,202.86,609140
2020-09-17,205.05,205.9,206.57,204.48,754590
2020-09-16,205.9,207.05,207.14,205.62,581200
2020-09-15,206.67,205.71,207.05,204,493250
2020-09-14,205.62,206.57,206.57,204.1,893490
2020-09-13,205.62,202.67,207.43,202.67,724340
2020-09-10,202.67,201.33,202.86,201.14,702650
2020-09-09,201.24,203.43,203.43,200.48,1430000
2020-09-08,203.33,203.33,203.81,200.95,739870
2020-09-07,202.76,202.86,203.81,202.38,606420
2020-09-06,202.95,203.14,203.71,200.95,658780
2020-09-03,203.14,204.29,204.67,202.57,915650
2020-09-02,204.29,206.67,206.67,203.05,1710000
2020-09-01,206.29,209.52,210,204.86,683170
2020-08-31,208.48,206.1,209.71,205.52,1630000
2020-08-27,206.1,207.62,208.95,205.24,905760
2020-08-26,207.05,202.86,209.14,202.86,958760
2020-08-25,202.67,201.14,203.71,200,937050
2020-08-24,200.29,197.14,202.67,190,879460
2020-08-23,199.33,195.62,202.1,195.62,1110000
2020-08-20,195.62,194.29,197.43,192.86,1040000
2020-08-19,193.43,190.48,195.33,190.48,834370
2020-08-18,190.29,193.52,196,189.14,1230000
2020-08-17,195.14,193.9,197.14,192.95,1240000
2020-08-16,193.9,193.43,196.19,190.57,1480000
2020-08-13,192.95,196.19,198.86,191.71,1820000
2020-08-12,195.52,190.48,197.33,190.48,1990000
2020-08-10,190.48,190.48,195.24,188,1790000
2020-08-09,190,179.52,192.57,179.52,2350000
2020-08-06,179.52,177.14,180.48,176.19,653850
2020-08-05,175.9,177.62,178.48,175.05,654020
2020-08-04,177.62,178.57,179.62,176.19,1130000
2020-08-03,178.1,172.38,179.05,172.38,1730000
2020-07-30,172.38,170.48,172.76,169.05,784980
2020-07-29,170.67,170.48,171.24,169.05,335620
2020-07-28,170.38,171.81,172.86,169.62,372460
2020-07-27,171.81,172.57,173.33,170.67,826910
2020-07-26,172.19,166.57,172.95,166.57,1070000
2020-07-23,166.38,166.86,166.86,166.19,577800
2020-07-22,166.67,166.95,167.52,166.29,328250
2020-07-21,166.95,166.67,167.62,166.38,672830
2020-07-20,166.95,166.29,167.62,164.86,586500
2020-07-19,166.29,168.19,168.19,164.29,558620
2020-07-16,168.19,169.52,169.52,166.57,362930
2020-07-15,169.81,173.81,174.19,169.14,503550
2020-07-14,173.52,172.29,175.33,172.29,822040
2020-07-13,172.29,172.38,175.33,170.19,1180000
2020-07-12,172.1,166.86,172.67,166.86,667460
2020-07-09,166.57,164.29,167.9,164.29,4010000
2020-07-08,164.29,164.29,164.29,164.29,177050
2020-07-07,164.29,164.29,164.29,164.29,89620
2020-07-06,164.29,164.29,164.29,164.29,502050
2020-07-05,164.29,164.29,164.29,164.29,24300
2020-07-02,164.29,164.29,164.29,164.29,54040
2020-06-30,164.29,164.29,164.29,164.29,282190
2020-06-29,164.29,164.29,164.29,164.29,205780
2020-06-28,164.29,164.29,164.29,164.29,175020
2020-06-25,164.29,164.29,164.29,164.29,86030
2020-06-24,164.29,164.29,164.29,164.29,63600
2020-06-23,164.29,164.29,164.29,164.29,64510
2020-06-22,164.29,164.29,164.29,164.29,70760
2020-06-21,164.29,164.29,164.29,164.29,77310
2020-06-18,164.29,164.29,164.29,164.29,62960
2020-06-17,164.29,164.29,164.29,164.29,47530
2020-06-16,164.29,164.29,164.29,164.29,43150
2020-06-15,164.29,164.29,164.29,164.29,48940
2020-06-14,164.29,164.29,164.29,164.29,128740
2020-06-11,164.29,164.29,164.29,164.29,116110
2020-06-10,164.29,164.29,164.29,164.29,139680
2020-06-09,164.29,164.29,164.38,164.29,232800
2020-06-08,164.29,164.29,164.29,164.29,173420
2020-06-07,164.29,164.29,165.71,164.29,590520
2020-06-04,164.29,164.29,164.29,164.29,94910
2020-06-03,164.29,164.29,164.29,164.29,191400
2020-06-02,164.29,167.33,167.33,164.29,994540
2020-06-01,167.33,180.95,186.76,166.19,1520000
2020-05-31,180.57,164.29,180.67,164.29,1130000
2020-03-29,172.5,172.5,172.5,172.5,273170
2020-03-25,164.29,164.29,164.29,164.29,286830
2020-03-24,164.29,164.29,164.29,164.29,145950
2020-03-23,164.29,164.29,164.29,164.29,311150
2020-03-22,164.29,164.29,164.29,164.29,275520
2020-03-19,162.29,162.29,162.29,162.29,69480
2020-03-18,151.9,157.14,164,149.05,1210000
2020-03-16,156.38,169.52,169.52,152.38,1550000
2020-03-15,168.95,170.29,170.48,163.81,522480
2020-03-12,171.24,172.86,172.95,169.33,582700
2020-03-11,172.86,171.81,174.48,170.86,758190
2020-03-10,169.81,165.71,172.57,164.76,900300
2020-03-09,165.05,177.14,177.14,163.52,926610
2020-03-08,177.52,176.38,178.95,174.76,527640
2020-03-05,176.38,178.1,179.52,176.19,384320
2020-03-04,177.43,182.86,182.86,176.19,471000
2020-03-03,181.9,183.71,183.81,181.14,917270
2020-03-02,182.1,184.29,184.29,180.57,423230
2020-03-01,184.19,184.1,185.43,176.67,610070
2020-02-27,184.19,189.52,189.52,183.81,481030
2020-02-26,187.71,190.76,191.43,187.62,597030
2020-02-25,190.57,191.52,194.19,190.48,719150
2020-02-24,193.81,195.52,196.19,192.86,390640
2020-02-23,195.81,198.95,199.33,194.95,247440
2020-02-20,198,196.19,199.33,195.05,681360
2020-02-19,195.71,197.14,197.14,194.29,391130
2020-02-18,196.86,197.14,201.52,196.29,654600
2020-02-17,196.29,194.38,197.71,194,478400
2020-02-16,194.19,190.48,194.76,189.62,424450
2020-02-13,189.62,188.1,190.38,188.1,296610
2020-02-12,188.19,188.57,189.52,187.71,312050
2020-02-11,188.48,188.57,190.29,188.1,290310
2020-02-10,187.71,187.05,188.48,186.67,210650
2020-02-09,186.76,187.71,188,186.67,372540
2020-02-06,187.71,188.57,189.52,187.43,182700
2020-02-05,190.19,187.24,190.48,187.24,315830
2020-02-04,187.62,187.71,188.48,187.52,559730
2020-02-03,187.71,187.71,188,187.14,564790
2020-02-02,187.62,188.57,188.67,187.14,399920
2020-01-30,188.76,188.1,192.19,188.1,507440
2020-01-29,188,188.48,189.05,187.71,400100
2020-01-28,188.57,188.76,189.05,188.1,619540
2020-01-27,188.57,188.76,189.05,188,824700
2020-01-26,188.67,189.52,189.9,188.29,626440
2020-01-23,189.43,189.9,192.38,188.57,1020000
2020-01-22,189.33,186.76,191.14,186.19,820710
2020-01-21,185.81,186.67,190.67,182.86,1460000
2020-01-20,185.9,186.67,191.43,184,1250000
2020-01-19,183.62,172.38,184.67,171.9,1060000
2020-01-16,169.9,158.57,171.43,158.19,1280000
2020-01-15,158.1,155.81,160,155.81,983210
2020-01-14,154.95,160,160.48,153.33,508520
2020-01-13,160.29,164.29,164.29,159.71,181430
2020-01-12,163.71,162.48,164.67,160.95,151630
2020-01-09,162.48,166.76,166.76,161.9,448200
2020-01-08,166.76,173.14,173.33,165.71,489740
2020-01-07,172,176.19,176.19,171.52,248630
2020-01-06,174.19,176.95,177.62,172.67,515480
2020-01-05,176.95,180.1,180.1,176.48,120310
2020-01-02,180,180,180.86,179.05,610890
2020-01-01,179.71,181.14,183.24,179.05,152670
2019-12-30,180.95,180.1,182,179.43,428820
2019-12-29,179.9,180,180.95,178.57,173190
2019-12-26,179.33,177.14,179.9,177.14,313280
2019-12-24,177.05,174.29,179.71,174.29,535900
2019-12-23,173.33,173.43,174.57,172.1,670920
2019-12-22,173.43,174.29,175.05,172.95,182530
2019-12-19,174.29,174.76,174.76,173.71,247820
2019-12-18,173.71,177.9,177.9,172.38,540190
2019-12-17,177.9,181.33,181.33,177.05,398850
2019-12-15,181.33,181.05,181.9,180,93860
2019-12-12,180.95,181.81,182.19,179.52,516590
2019-12-11,181.05,180.95,181.9,178.76,351430
2019-12-10,178.38,182.1,184.38,177.14,694760
2019-12-09,182,188.76,188.76,181.33,484610
2019-12-08,189.14,190.67,191.43,188.76,235920
2019-12-05,190.29,191.81,192.29,190,279350
2019-12-04,191.81,190.86,194,190.76,232200
2019-12-03,190.86,196.48,196.48,189.05,411640
2019-12-02,195.14,201.71,201.71,194.19,478380
2019-12-01,198.1,198,199.24,196.67,187250
2019-11-28,198.38,203.52,203.71,197.71,514770
