date,open,high,low,close,volume,openinterest
2019-12-30,30.9,31.1,31.1,30.8,132070,0
2019-12-29,31,31.4,31.4,30.8,71880,0
2019-12-26,31.1,31.4,31.6,31.1,174170,0
2019-12-24,31.2,31.2,31.4,30.8,161170,0
2019-12-23,31.1,31.2,31.4,31,38610,0
2019-12-22,31.2,31.1,31.4,30.8,41570,0
2019-12-19,31.1,31.3,31.3,30.9,67930,0
2019-12-18,31.1,31.1,31.2,30.8,81470,0
2019-12-17,31.1,31.7,31.8,31,100190,0
2019-12-15,31.4,31.5,31.8,31.4,20130,0
2019-12-12,31.6,31.7,31.8,31.5,36770,0
2019-12-11,31.5,31.8,31.8,31.3,62580,0
2019-12-10,31.7,31.9,31.9,31.6,65240,0
2019-12-09,31.9,32.1,32.1,31.8,37940,0
2019-12-08,32,32.3,32.3,31.9,103050,0
2019-12-05,32.3,32.5,32.9,32.2,71860,0
2019-12-04,32.3,32.5,32.5,32.2,102560,0
2019-12-03,32.5,32.6,32.7,32.3,59430,0
2019-12-02,32.6,32.5,32.9,32.2,95290,0
2019-12-01,32.7,32.9,33.1,32.6,162170,0
2019-11-28,32.8,33.2,33.2,32.6,195960,0
2019-11-27,33,33.8,33.9,32.9,469760,0
2019-11-26,33.3,34.2,34.4,33,362790,0
2019-11-25,33.8,34.4,34.5,33.7,138370,0
2019-11-24,34.1,34.5,34.5,34,221710,0
2019-11-21,34.3,34.7,34.7,34,142160,0
2019-11-20,34.7,35.3,35.3,34.6,87530,0
2019-11-19,35.3,35.5,36.1,35,287600,0
2019-11-18,38,37.5,38.3,37.2,426230,0
2019-11-17,37.9,37.2,38,37,160720,0
2019-11-14,37.2,37.2,37.8,37.1,108400,0
2019-11-13,37.2,38.5,38.5,37.1,190460,0
2019-11-12,38.7,37.6,39,37.5,389790,0
2019-11-11,37.7,38.2,38.2,37.4,136820,0
2019-11-07,38.2,38,38.5,37.2,283280,0
2019-11-06,37.8,37.2,38,37,249130,0
2019-11-05,37.5,37.4,37.7,36.7,307190,0
2019-11-04,37.2,36.8,37.4,36.4,233900,0
2019-11-03,36.8,36.6,37,36.1,219260,0
2019-10-31,36.2,36.7,36.7,36.2,97020,0
2019-10-30,36.7,36.3,36.8,36.3,240670,0
2019-10-29,36.2,36.3,36.3,36.1,71240,0
2019-10-28,36.5,36.6,36.7,36.2,37560,0
2019-10-27,36.4,36.5,37.2,36,431500,0
2019-10-24,36,34.8,36.1,34.8,145950,0
2019-10-23,35,34.8,35.1,34.7,45390,0
2019-10-22,34.9,35.2,35.2,34.8,52250,0
2019-10-21,35.2,34.8,35.3,34.7,28850,0
2019-10-20,34.8,35.1,35.1,34.7,39980,0
2019-10-17,34.8,35.2,35.2,34.7,71530,0
2019-10-16,35.1,35,35.6,34.7,138600,0
2019-10-15,34.6,35.2,35.2,34.5,145350,0
2019-10-14,35.2,35.8,35.9,35.1,134840,0
2019-10-13,35.7,35.6,36,35.6,39980,0
2019-10-10,35.8,35.9,36,35.7,74480,0
2019-10-09,35.8,36,36.1,35.7,63310,0
2019-10-07,36,36.5,36.6,36,65320,0
2019-10-06,36.4,36.8,36.8,36.1,46570,0
2019-10-03,36.5,36.4,37,36.3,165220,0
2019-10-02,36.3,36.5,36.5,36,49670,0
2019-10-01,36.4,36.5,36.6,35.4,155290,0
2019-09-30,35.9,36.3,36.3,35.5,225740,0
2019-09-29,36.2,36.2,36.4,36,61600,0
2019-09-26,36.2,36.1,36.4,35.9,21910,0
2019-09-25,36.1,36.2,36.5,35.9,31650,0
2019-09-24,36.2,36,36.8,36,112490,0
2019-09-23,35.7,36.6,36.6,35.4,75510,0
2019-09-22,36.1,36.7,36.7,36,22920,0
2019-09-19,36.2,36.3,36.4,36.2,54830,0
2019-09-18,36.3,36.7,36.7,36.2,33610,0
2019-09-17,36.5,36.6,36.6,36.3,35320,0
2019-09-16,36.3,36.3,36.6,36.2,37780,0
2019-09-15,36.3,36.5,36.7,36.1,84000,0
2019-09-12,36.3,37,37.3,36.1,118000,0
2019-09-11,36.9,37.1,37.1,36.9,31830,0
2019-09-09,37.1,37,37.3,36.9,51130,0
2019-09-08,36.8,37,37.3,36.7,60910,0
2019-09-05,37,37.1,37.2,36.8,44450,0
2019-09-04,37.2,38,38,37,74460,0
2019-09-03,37.1,37.3,37.3,37,60790,0
2019-09-02,37.3,37.6,37.6,37.2,115660,0
2019-09-01,37.6,37.9,38,37.5,61550,0
2019-08-29,37.9,38,38,37.8,58330,0
2019-08-28,38,38.3,38.3,37.9,55140,0
2019-08-27,38,38.3,38.3,37.9,44460,0
2019-08-26,38.3,38.5,38.7,38.3,35420,0
2019-08-25,38.5,38.9,38.9,38.4,48460,0
2019-08-22,38.5,38.5,38.7,38.3,90260,0
2019-08-21,38.5,38.6,38.6,38.3,84910,0
2019-08-20,38.5,39.1,39.1,38.5,55690,0
2019-08-19,38.8,38,38.9,38,138650,0
2019-08-18,38.1,37.8,38.2,37.8,109650,0
2019-08-08,38.1,37.8,38.4,37.8,68940,0
2019-08-07,37.8,37.8,38.3,37.5,106210,0
2019-08-06,38,37.5,38,37.3,75920,0
2019-08-05,37.4,37.7,37.8,37.4,60290,0
2019-08-04,37.5,37.6,38,37.4,92410,0
2019-08-01,37.6,37.7,37.9,37.4,52650,0
2019-07-31,37.7,37.8,38.2,37.6,32800,0
2019-07-30,38,38.2,38.3,37.8,57560,0
2019-07-29,37.9,38,38.2,37.3,64500,0
2019-07-28,37.8,37.8,38.3,37.7,105630,0
2019-07-25,37.6,38,38,37.1,76040,0
2019-07-24,38,37.3,38.2,37.1,121380,0
2019-07-23,37.2,37.6,37.6,36.7,177390,0
2019-07-22,37.5,37.3,38,37.3,172180,0
2019-07-21,37.8,37.9,38,37.8,32920,0
2019-07-18,37.9,37.9,38.4,37.8,26150,0
2019-07-17,37.8,38.2,38.2,37.8,53770,0
2019-07-16,38,38.5,38.8,38,62780,0
2019-07-15,38.5,39.3,39.4,38.4,36480,0
2019-07-14,38.9,38.6,39,38.5,54670,0
2019-07-11,38.7,39,39.2,38.6,98240,0
2019-07-10,39.1,39.3,39.6,39,41990,0
2019-07-09,39.4,39.3,39.6,39.1,73460,0
2019-07-08,39.3,39.2,39.4,39.2,64420,0
2019-07-07,39.3,39.3,39.8,39.1,68780,0
2019-07-04,39.4,40,40,39.1,54120,0
2019-07-03,39.7,40,40.5,39.1,229480,0
2019-07-02,39.8,39.8,40.1,39.5,631880,0
2019-06-30,39.7,39.9,39.9,39.4,94650,0
2019-06-27,39.8,39.6,40,39.4,398330,0
2019-06-26,39.3,39.3,39.5,39.1,243420,0
2019-06-25,39.2,38.9,39.4,38.7,154450,0
2019-06-24,39,38.9,39.1,38.8,88210,0
2019-06-23,38.8,39,39,38.7,120330,0
2019-06-20,38.7,39,39,38.5,244240,0
2019-06-19,38.7,38.9,39,38.6,138690,0
2019-06-18,38.9,39.1,39.3,38.8,123170,0
2019-06-17,39.1,39.8,39.9,39,97920,0
2019-06-16,39.5,39.7,39.7,39.3,86650,0
2019-06-13,39.6,39.4,39.7,39,146420,0
2019-06-12,39.4,39.3,39.4,39.2,188180,0
2019-06-11,39.1,38.8,39.2,38.8,124400,0
2019-06-10,38.9,38.5,39,38.5,88380,0
2019-06-09,38.6,38.5,38.8,38.4,51370,0
2019-05-30,38.7,38.5,38.9,38.5,40820,0
2019-05-29,38.5,38.7,38.7,38.3,108400,0
2019-05-28,38.3,38.6,38.7,38.1,110630,0
2019-05-27,38.2,38.5,38.5,38,184340,0
2019-05-26,38.4,38.9,38.9,38.2,174880,0
2019-05-23,38.6,38.6,38.9,38.2,61840,0
2019-05-22,38.5,39,39,38.4,99040,0
2019-05-21,38.6,39.3,39.3,38.5,116950,0
2019-05-20,39,39.2,39.4,38.7,171690,0
2019-05-19,39.2,38.7,39.6,38.5,195900,0
2019-05-16,38.8,39.2,39.3,38.7,180800,0
2019-05-15,39.5,40.4,40.4,39.2,156300,0
2019-05-14,40,39.2,41.3,39.1,1090000,0
2019-05-13,38.9,38.7,39.2,38.6,105510,0
2019-05-12,38.4,38.9,38.9,38.3,77380,0
