date,open,high,low,close,volume,openinterest
2019-12-30,223,230.82,234.09,220.91,165940,0
2019-12-29,230.82,235.46,235.46,229.46,187230,0
2019-12-26,234.18,223,234.64,220.82,342240,0
2019-12-24,220.82,208.18,223,201.18,214780,0
2019-12-23,205.09,210.91,210.91,198.36,142010,0
2019-12-22,207.91,212.73,214.54,204.54,110460,0
2019-12-19,212.27,216.36,216.36,211.46,61080,0
2019-12-18,212.91,217.73,217.73,211.09,79400,0
2019-12-17,213.64,220.91,220.91,209.54,128340,0
2019-12-15,219.09,217.27,221.73,217.27,67760,0
2019-12-12,217.36,224.09,224.09,216.36,115450,0
2019-12-11,223.09,226.36,228.64,220.46,168380,0
2019-12-10,222.46,227.18,231.64,219.54,107610,0
2019-12-09,224.46,231.09,231.64,218.54,117410,0
2019-12-08,228.36,232.82,235.46,227.27,84270,0
2019-12-05,232.82,231.82,238.18,229,73820,0
2019-12-04,230.18,235.46,235.46,229.09,64600,0
2019-12-03,232.73,234.54,236.82,231.82,90860,0
2019-12-02,233.09,238,240.64,232.73,112050,0
2019-12-01,278.91,278.18,281.82,277.64,163410,0
2019-11-28,238.73,242.18,243.64,237.27,147070,0
2019-11-27,240.36,238.09,244.27,238.09,264580,0
2019-11-26,238.09,239.09,240,237.64,110240,0
2019-11-25,238.64,239.27,241.73,238.18,82070,0
2019-11-24,239.27,238.36,240.73,238.27,37870,0
2019-11-21,239.64,239.46,241.54,238.18,108070,0
2019-11-20,239.54,238.27,241.82,238.27,60280,0
2019-11-19,238.82,248,248.64,237.73,109800,0
2019-11-18,243,236.46,245.27,236.36,160340,0
2019-11-17,236.46,244.46,244.46,235.54,148630,0
2019-11-14,242.18,242.82,245.64,238.91,111020,0
2019-11-13,246.54,250.91,251.82,245.64,150580,0
2019-11-12,250.09,239.09,250.91,236.46,210270,0
2019-11-11,237,238,239.82,235.91,82080,0
2019-11-07,239,242.27,243.18,238,81840,0
2019-11-06,240.82,245.36,245.36,239.27,147860,0
2019-11-05,242.54,246.09,246.36,240.36,122750,0
2019-11-04,244.54,250.46,250.91,243.64,90030,0
2019-11-03,247.82,248.18,251,246.36,68130,0
2019-10-31,246.36,247.27,250.36,245.46,80420,0
2019-10-30,246.36,250,250.54,245.46,123480,0
2019-10-29,248.36,245.54,252.73,240.91,111440,0
2019-10-28,245.82,255.91,256,244.82,159860,0
2019-10-27,255.64,265.45,265.45,252.82,202150,0
2019-10-24,265.91,258.45,267.36,257.55,310420,0
2019-10-23,257.45,260.36,260.36,252.91,101340,0
2019-10-22,260.36,259.09,265.64,254.09,354950,0
2019-10-21,258.36,241.27,261.91,238.54,509520,0
2019-10-20,241,234.91,242.54,232.18,221830,0
2019-10-17,231.09,236.27,236.27,229.54,134030,0
2019-10-16,235.54,244.73,247.09,232.27,175300,0
2019-10-15,242.46,236.27,245.36,231.09,308840,0
2019-10-14,232.09,240.82,240.82,230,159810,0
2019-10-13,236.91,240,241.64,235.18,122610,0
2019-10-10,236.54,246.36,246.82,235.46,183260,0
2019-10-09,245.36,251.82,251.82,243.64,104170,0
2019-10-07,246.36,252.73,254.36,234.54,348720,0
2019-10-06,253.09,262.64,262.64,252.73,177300,0
2019-10-03,260.18,271.73,271.73,258.64,186320,0
2019-10-02,269,272.55,274.55,268.18,125260,0
2019-10-01,270.82,274.55,278.18,269.64,130090,0
2019-09-30,272.45,279.09,280.82,271.36,163170,0
2019-09-29,276.27,281.82,281.82,275.27,129500,0
2019-09-26,279.55,279.09,286.18,277.73,161380,0
2019-09-25,276.09,273.27,279.82,273.27,157160,0
2019-09-24,273.27,283.36,285.36,271.82,261320,0
2019-09-23,283.36,294.55,297.18,280.91,305800,0
2019-09-22,290.82,296.27,296.27,286.64,198550,0
2019-09-19,290.91,301.36,305.36,287.45,248310,0
2019-09-18,301.18,299,307.18,299,230380,0
2019-09-17,296,286.45,299.36,285.91,333220,0
2019-09-16,286.45,286.36,290.82,283.64,118050,0
2019-09-15,290.36,291.82,293.09,282,246800,0
2019-09-12,291.91,290.73,299.73,286.55,288050,0
2019-09-11,290.73,304.64,305,282.73,310650,0
2019-09-09,307,318.18,318.18,305.64,467360,0
2019-09-08,321.24,314.88,323.06,314.88,1370000,0
2019-09-05,317.85,319.83,319.83,309.92,410000,0
2019-09-04,319.26,326.03,327.27,311.65,293500,0
2019-09-03,326.2,323.97,327.93,323.14,584600,0
2019-09-02,322.98,328.02,328.02,321.9,194170,0
2019-09-01,326.53,325.21,328.76,321.07,605340,0
2019-08-29,324.96,321.4,326.28,318.18,908570,0
2019-08-28,320.83,326.2,328.93,319.26,331640,0
2019-08-27,324.96,337.19,337.6,319.83,664810,0
2019-08-26,336.12,339.5,342.23,334.63,529010,0
2019-08-25,339.5,333.88,342.98,333.88,1390000,0
2019-08-22,331.49,326.86,337.77,323.72,2060000,0
2019-08-21,325.95,324.71,326.78,322.31,923410,0
2019-08-20,323.64,327.27,327.27,322.07,198760,0
2019-08-19,326.78,324.46,329.75,324.46,369340,0
2019-08-18,326.53,319.92,328.84,319.92,842620,0
2019-08-08,322.64,327.27,329.59,319.5,373290,0
2019-08-07,326.03,319.01,327.19,318.18,932330,0
2019-08-06,317.52,320.5,320.5,313.31,514980,0
2019-08-05,317.6,315.12,328.93,314.88,661560,0
2019-08-04,317.02,316.53,320.99,313.72,482160,0
2019-08-01,314.63,317.77,321.49,311.57,461020,0
2019-07-31,315.04,323.14,324.71,311.57,723320,0
2019-07-30,322.98,331.49,331.49,321.49,530450,0
2019-07-29,329.67,327.11,334.63,327.11,647320,0
2019-07-28,326.53,313.97,327.93,312.4,780480,0
2019-07-25,313.55,313.22,314.05,309.67,388240,0
2019-07-24,311.9,312.15,313.22,309.17,196690,0
2019-07-23,310,314.88,314.88,309.09,336790,0
2019-07-22,313.64,310.08,314.05,310.08,499920,0
2019-07-21,311.32,313.64,313.64,310.08,306780,0
2019-07-18,312.73,310.58,313.64,308.76,301640,0
2019-07-17,308.1,307.44,310.33,305.79,259960,0
2019-07-16,307.02,310.41,314.88,306.2,254910,0
2019-07-15,312.31,311.98,315.29,311.4,512240,0
2019-07-14,312.15,309.26,313.22,308.68,210830,0
2019-07-11,309.26,309.09,312.31,306.61,181170,0
2019-07-10,310.41,311.57,314.05,308.68,322520,0
2019-07-09,308.84,307.6,310.74,304.13,259840,0
2019-07-08,307.6,310.41,310.5,306.2,126790,0
2019-07-07,310.41,313.88,314.05,309.09,355390,0
2019-07-04,312.56,317.36,320.25,312.23,389870,0
2019-07-03,314.21,309.92,318.18,305.7,420900,0
2019-07-02,310,318.02,318.1,309.09,510510,0
2019-06-30,316.61,318.18,321.16,315.87,675890,0
2019-06-27,316.86,310.74,317.36,310.74,986120,0
2019-06-26,310.25,307.44,311.74,304.55,639460,0
2019-06-25,305.21,305.7,307.36,302.73,521220,0
2019-06-24,304.63,311.49,312.89,303.31,538030,0
2019-06-23,308.43,309.92,311.98,307.19,971530,0
2019-06-20,306.12,300.58,307.44,300,700130,0
2019-06-19,299.26,300.5,301.49,295.45,280360,0
2019-06-18,298.84,304.96,311.57,296.86,578140,0
2019-06-17,304.96,299.17,306.53,299.17,590730,0
2019-06-16,298.76,301.65,304.13,298.02,238160,0
2019-06-13,301.07,308.27,308.27,298.51,609340,0
2019-06-12,307.11,301.65,308.84,301.65,966970,0
2019-06-11,300.99,291.74,301.57,290.08,785920,0
2019-06-10,291.4,284.3,293.39,284.3,631000,0
2019-06-09,284.13,278.6,284.71,278.6,980020,0
2019-05-30,278.93,276.69,280.17,276.03,412420,0
2019-05-29,276.12,270.74,276.86,268.6,451890,0
2019-05-28,268.18,264.55,269.34,264.46,189830,0
2019-05-27,266.45,272.23,273.14,264.88,284920,0
2019-05-26,270.74,266.94,272.15,266.94,395060,0
2019-05-23,268.1,266.03,270.83,264.46,351200,0
2019-05-22,264.21,261.57,266.36,260.74,198170,0
2019-05-21,261.57,263.64,263.64,259.75,177780,0
2019-05-20,263.88,264.3,266.12,262.31,143300,0
2019-05-19,262.23,261.9,264.3,260,195230,0
2019-05-16,259.83,260,260.41,258.18,124210,0
2019-05-15,259.42,260.25,260.33,256.78,102490,0
2019-05-14,258.84,262.73,262.73,257.44,135510,0
2019-05-13,259.34,259.5,263.64,257.85,216380,0
2019-05-12,257.11,254.63,257.85,253.72,144890,0
2019-05-09,254.38,251.65,259.26,251.65,96290,0
2019-05-08,253.72,260.33,262.81,252.56,259330,0
2019-05-07,260.66,266.94,267.77,259.67,291990,0
2019-05-06,264.63,256.94,266.03,256.94,450900,0
2019-05-05,254.3,0,257.44,247.6,1080000,0
2019-05-02,243.8,235.29,246.28,233.88,300860,0
2019-04-30,233.22,233.55,237.77,232.23,218350,0
2019-04-29,233.47,235.7,237.85,231.49,275580,0
2019-04-28,232.31,239.67,239.67,228.26,351910,0
2019-04-25,243.22,260.41,260.41,243.22,965260,0
2019-04-24,266.53,277.69,277.69,262.98,411240,0
2019-04-23,276.94,278.51,285.87,271.9,784550,0
2019-04-21,271.07,256.2,278.51,252.89,653560,0
2019-04-18,256.12,272.73,273.55,250.41,629860,0
2019-04-17,271.82,284.3,284.3,269.67,175210,0
2019-04-16,282.73,284.21,285.95,280.17,323220,0
2019-04-15,280.58,280.83,286.45,276.86,615290,0
2019-04-11,278.1,284.3,288.35,276.61,321550,0
2019-04-10,281.16,308.27,308.68,280.99,798470,0
2019-04-09,307.93,312.48,314.88,306.45,558280,0
2019-04-08,314.96,320.66,321.49,312.73,1070000,0
2019-04-07,318.51,320.66,322.07,302.4,1070000,0
2019-04-04,318.6,344.79,345.7,316.53,1660000,0
2019-04-03,342.98,344.63,345.37,340.5,1110000,0
2019-04-02,342.73,340.41,344.63,339.67,1070000,0
2019-04-01,338.93,334.55,340.5,333.55,1160000,0
2019-03-31,333.14,330.99,334.71,328.1,1130000,0
2019-03-28,328.18,332.15,332.89,325.79,352650,0
2019-03-27,329.92,331.32,332.07,328.51,660170,0
2019-03-25,329.67,330.5,330.74,324.88,494050,0
2019-03-24,328.43,333.06,333.06,326.78,339460,0
2019-03-21,331.65,332.23,334.46,329.75,507560,0
2019-03-20,332.23,332.23,334.46,324.79,756250,0
2019-03-19,332.31,337.93,338.76,330.66,647270,0
2019-03-18,335.04,333.88,338.02,332.23,820010,0
2019-03-14,333.72,329.75,334.63,328.18,1210000,0
2019-03-13,329.75,327.69,330.41,325.95,1100000,0
2019-03-12,327.44,329.59,329.59,325.62,563830,0
2019-03-11,326.61,323.97,328.02,321.98,871630,0
2019-03-10,320.83,327.27,327.27,319.67,432000,0
2019-03-07,326.94,333.8,335.45,322.81,642800,0
2019-03-06,330.33,322.4,330.91,322.31,1040000,0
2019-03-05,321.4,325.62,326.94,318.84,1620000,0
2019-03-04,325.21,336.36,337.77,323.31,653680,0
2019-03-03,336.94,336.86,338.76,330.91,1110000,0
2019-02-27,336.78,338.68,342.56,334.3,986860,0
2019-02-26,338.68,342.89,345.7,335.12,865750,0
